"","participant_id","attn_check","dv","ask_size_check","scenario","ask_size","interaction_history","direct_likelihood","negotiation_likelihood","likelihood_q_order","date","experimenter","age_day_of","negotiating_request"
"1","p065","idk","Can I stay up for 10 more minutes after bedtime?","alot","bedtime","small","none",0,1,2,"3/25/26","AL",6.220396988,0
"2","p065","3","If I brush my teeth, can I have ten more candies?","alot","food","big","failed",0,1,2,"3/25/26","AL",6.220396988,1
"3","p065","2","If I clean my room, can I play one more round of game?","alittle","activity","small","failed",0,1,1,"3/25/26","AL",6.220396988,1
"4","p065","1","If I share my toys, can I get five more toys?","alittle","toy","big","none",1,2,1,"3/25/26","AL",6.220396988,1
"5","p074","1","If I share my toys, can I get five more toys?","alot","toy","big","failed",0,1,1,"4/9/26","US",4.366872005,1
"6","p074","7","If I wake up early tomorrow, can I stay up for 1 more hour after bedtime?","alot","bedtime","big","none",0,0,2,"4/9/26","US",4.366872005,1
"7","p074","1","If I brush my teeth, can I have one more candy?","alot","food","small","failed",0,0,1,"4/9/26","US",4.366872005,1
"8","p074","2","If I clean my room, can I play one more round of game?","alittle","activity","small","none",0,0,2,"4/9/26","US",4.366872005,1
"9","p076","3","Can I have one more candy?","alittle","food","small","failed",0,1,2,"4/9/26","US",5.560574949,0
"10","p076","7:30","Can I stay up for 1 more hour after bedtime?","alot","bedtime","big","none",1,0,1,"4/9/26","US",5.560574949,0
"11","p076","1","Can I get five more toys?","alittle","toy","big","failed",1,2,1,"4/9/26","US",5.560574949,0
"12","p076","2","Can I play one more round of game?","alittle","activity","small","none",1,1,1,"4/9/26","US",5.560574949,0
"13","p093","9","Can I stay up for 10 more minutes after bedtime?","alittle","bedtime","small","none",2,0,1,"4/16/26","AL",4.804928131,0
"14","p093","1","If I share my toys, can I get five more toys?","alittle","toy","big","failed",2,0,1,"4/16/26","AL",4.804928131,1
"15","p093","1","If I brush my teeth, can I have ten more candies?","alot","food","big","none",2,2,1,"4/16/26","AL",4.804928131,1
"16","p093","2","If I clean my room, can I play one more round of game?","alot","activity","small","failed",2,2,2,"4/16/26","AL",4.804928131,1
"17","p092","9pm","Can I stay up for 1 more hour after bedtime?","alot","bedtime","big","failed",2,2,2,"4/16/26","AL",4.495550992,0
"18","p092","3","If I brush my teeth, can I have ten more candies?","alittle","food","big","none",2,2,1,"4/16/26","AL",4.495550992,1
"19","p092","2","If I clean my room, can I play one more round of game?","alittle","activity","small","none",2,2,1,"4/16/26","AL",4.495550992,1
"20","p092","1","If I share my toys, can I get one more toy?","alittle","toy","small","failed",1,2,1,"4/16/26","AL",4.495550992,1
"21","p089","1","If I share my toys, can I get one more toy?","alittle","toy","small","failed",2,1,1,"4/14/26","CS",5.700205339,1
"22","p089","i forget","If I wake up early tomorrow, can I stay up for 10 more minutes after bedtime?","alot","bedtime","small","none",1,1,2,"4/14/26","CS",5.700205339,1
"23","p089","3","If I brush my teeth, can I have ten more candies?","alot","food","big","failed",0,1,2,"4/14/26","CS",5.700205339,1
"24","p089","2","If I clean my room, can I play five more rounds of games?","alittle","activity","big","none",0,1,2,"4/14/26","CS",5.700205339,1
"25","p063","9pm","If I wake up early tomorrow, can I stay up for 1 more hour after bedtime?","alot","bedtime","big","failed",1,1,1,"3/25/26","AL",7.296372348,1
"26","p063","2","If I clean my room, can I play one more round of game?","alittle","activity","small","failed",1,2,1,"3/25/26","AL",7.296372348,1
"27","p063","1","If I share my toys, can I get one more toy?","alittle","toy","small","none",1,2,1,"3/25/26","AL",7.296372348,1
"28","p063","3","If I brush my teeth, can I have ten more candies?","alot","food","big","none",0,1,1,"3/25/26","AL",7.296372348,1
"29","p079","9","Can I stay up for 1 more hour after bedtime?","alot","bedtime","big","failed",1,0,2,"4/9/26","US",7.575633128,0
"30","p079","1","If I share my toys, can I get one more toy?","alot","toy","small","failed",0,1,1,"4/9/26","US",7.575633128,1
"31","p079","3","If I brush my teeth, can I have one more candy?","alittle","food","small","none",0,1,1,"4/9/26","US",7.575633128,1
"32","p079","2","If I clean my room, can I play five more rounds of games?","alot","activity","big","none",0,1,1,"4/9/26","US",7.575633128,1
"33","p061","1","If I share my toys, can I get five more toys?","alot","toy","big","failed",0,1,2,"3/25/26","US",7.550992471,1
"34","p061","3","If I brush my teeth, can I have one more candy?","alot","food","small","failed",0,0,1,"3/25/26","US",7.550992471,1
"35","p061","9","Can I stay up for 10 more minutes after bedtime?","alot","bedtime","small","none",0,0,1,"3/25/26","US",7.550992471,0
"36","p061","2","If I clean my room, can I play five more rounds of games?","alot","activity","big","none",0,0,1,"3/25/26","US",7.550992471,1
"37","p099","1","If I share my toys, can I get one more toy?","alittle","toy","small","failed",0,1,2,"4/23/26","",7.329226557,1
"38","p099","12","If I wake up early tomorrow, can I stay up for 1 more hour after bedtime?","alot","bedtime","big","failed",0,1,2,"4/23/26","",7.329226557,1
"39","p099","2","If I clean my room, can I play one more round of game?","alittle","activity","small","none",0,2,2,"4/23/26","",7.329226557,1
"40","p099","3","If I brush my teeth, can I have ten more candies?","alot","food","big","none",0,1,1,"4/23/26","",7.329226557,1
"41","p098","2","If I clean my room, can I play five more rounds of games?","alot","activity","big","failed",1,2,2,"4/23/26","",6.902121834,1
"42","p098","1","If I share my toys, can I get one more toy?","alittle","toy","small","failed",1,2,1,"4/23/26","",6.902121834,1
"43","p098","3","Can I have ten more candies?","alot","food","big","none",1,1,2,"4/23/26","",6.902121834,0
"44","p098","9;30","If I wake up early tomorrow, can I stay up for 10 more minutes after bedtime?","alot","bedtime","small","none",2,2,2,"4/23/26","",6.902121834,1
"45","p057","3","Can I have ten more candies?","alot","food","big","failed",1,0,2,"3/18/26","US",6.105407255,0
"46","p057","9","If I wake up early tomorrow, can I stay up for 1 more hour after bedtime?","alot","bedtime","big","none",0,1,1,"3/18/26","US",6.105407255,1
"47","p057","1","If I share my toys, can I get one more toy?","alittle","toy","small","failed",1,2,1,"3/18/26","US",6.105407255,1
"48","p057"," 2","If I clean my room, can I play one more round of game?","alot","activity","small","none",1,2,1,"3/18/26","US",6.105407255,1
"49","p045","2","If I clean my room, can I play five more rounds of games?","alot","activity","big","failed",2,1,2,"2/27/26","US",4.470910335,1
"50","p045","1","If I share my toys, can I get five more toys?","alot","toy","big","none",2,2,1,"2/27/26","US",4.470910335,1
"51","p045","sun goes got","If I wake up early tomorrow, can I stay up for 10 more minutes after bedtime?","alot","bedtime","small","none",2,2,2,"2/27/26","US",4.470910335,1
"52","p045","3","If I brush my teeth, can I have one more candy?","alittle","food","small","failed",2,2,2,"2/27/26","US",4.470910335,1
"53","p087","2","If I clean my room, can I play five more rounds of games?","alot","activity","big","none",1,1,2,"4/14/26","CS",6.195756331,1
"54","p087","3","Can I have one more candy?","alittle","food","small","none",1,1,2,"4/14/26","CS",6.195756331,0
"55","p087","9","Can I stay up for 10 more minutes after bedtime?","alot","bedtime","small","failed",0,0,2,"4/14/26","CS",6.195756331,0
"56","p087","1","Can I get five more toys?","alot","toy","big","failed",1,1,1,"4/14/26","CS",6.195756331,0
"57","p050","1","If I share my toys, can I get five more toys?","alittle","toy","big","none",2,2,2,"3/11/26","MC",5.837097878,1
"58","p050","1","If I brush my teeth, can I have ten more candies?","alot","food","big","failed",1,1,2,"3/11/26","MC",5.837097878,1
"59","p050","9","If I wake up early tomorrow, can I stay up for 10 more minutes after bedtime?","alittle","bedtime","small","failed",1,1,2,"3/11/26","MC",5.837097878,1
"60","p050","8","If I clean my room, can I play one more round of game?","alittle","activity","small","none",0,0,2,"3/11/26","MC",5.837097878,1
"61","p073","3","Can I have ten more candies?","alot","food","big","none",1,0,2,"4/2/26","AL",8.1724846,0
"62","p073","2","If I clean my room, can I play five more rounds of games?","alot","activity","big","failed",1,0,2,"4/2/26","AL",8.1724846,1
"63","p073","9pm","Can I stay up for 10 more minutes after bedtime?","alot","bedtime","small","failed",1,0,1,"4/2/26","AL",8.1724846,0
"64","p073","1","If I share my toys, can I get one more toy?","alittle","toy","small","none",0,1,2,"4/2/26","AL",8.1724846,1
"65","p086","1","If I share my toys, can I get five more toys?","alot","toy","big","none",2,2,2,"4/14/26","MC",8.933607118,1
"66","p086","9:00","If I wake up early tomorrow, can I stay up for 10 more minutes after bedtime?","alot","bedtime","small","failed",1,1,2,"4/14/26","MC",8.933607118,1
"67","p086","2","Can I play one more round of game?","alittle","activity","small","none",2,2,2,"4/14/26","MC",8.933607118,0
"68","p086","3","If I brush my teeth, can I have ten more candies?","alot","food","big","failed",0,2,2,"4/14/26","MC",8.933607118,1
"69","p080","5","Can I get one more toy?","alittle","toy","small","failed",2,0,1,"4/9/26","US",4.262833676,0
"70","p080","3","Can I have ten more candies?","alot","food","big","none",2,1,2,"4/9/26","US",4.262833676,0
"71","p080","4","Can I play five more rounds of games?","alittle","activity","big","failed",2,1,1,"4/9/26","US",4.262833676,0
"72","p080","4","Can I stay up for 10 more minutes after bedtime?","alot","bedtime","small","none",0,0,2,"4/9/26","US",4.262833676,0
"73","p068","2","If I clean my room, can I play five more rounds of games?","alot","activity","big","none",2,2,2,"4/2/26","AL",4.353182752,1
