"success","timeout","failed_images","failed_audio","failed_video","trial_type","trial_index","time_elapsed","internal_node_id","rt","response","view_history","scenario","ask_size","interaction_history","buttons","button_pressed","correct","stimulus"
"true","false","[]","[]","[]","preload","0","3580","0.0-0.0","","","","","","","","","",""
"","","","","","survey-text","1","8673","0.0-1.0","5089","{""Q0"":""p065""}","","","","","","","",""
"","","","","","instructions","2","9548","0.0-2.0","874","","[{""page_index"":0,""viewing_time"":874}]","","","","","","",""
"","","","","","instructions","3","34156","0.0-3.0-0.0","24608","","[{""page_index"":0,""viewing_time"":19827},{""page_index"":1,""viewing_time"":127},{""page_index"":2,""viewing_time"":4653}]","","","","","","",""
"","","","","","KiN_response","4","47387","0.0-3.0-1.0","","Can I get crayons?","","warmup","","","[""Can I get a teddy bear?"",""Can I get crayons?""]","right","true",""
"","","","","","instructions","5","55134","0.0-3.0-2.0","7746","","[{""page_index"":0,""viewing_time"":4694},{""page_index"":1,""viewing_time"":3052}]","","","","","","",""
"","","","","","instructions","6","60678","0.0-5.0","5543","","[{""page_index"":0,""viewing_time"":5543}]","","","","","","",""
"","","","","","instructions","7","64923","0.0-6.0-0.0","4244","","[{""page_index"":0,""viewing_time"":4244}]","","","","","","",""
"","","","","","instructions","8","82416","0.0-6.0-1.0","17493","","[{""page_index"":0,""viewing_time"":8589},{""page_index"":1,""viewing_time"":5093},{""page_index"":2,""viewing_time"":3811}]","","","","","","",""
"","","","","","survey-text","9","104983","0.0-6.0-2.0","22550","{""Q0"":""idk""}","","","","","","","",""
"","","","","","instructions","10","111500","0.0-6.0-3.0","6517","","[{""page_index"":0,""viewing_time"":6517}]","","","","","","",""
"","","","","","KiN_response","11","128978","0.0-6.0-4.0","","alot","","bedtime","small","none","[""alittle"",""alot""]","right","",""
"","","","","","instructions","12","137442","0.0-6.0-5.0","8463","","[{""page_index"":0,""viewing_time"":3884},{""page_index"":1,""viewing_time"":4579}]","","","","","","",""
"","","","","","KiN_response","13","152908","0.0-6.0-6.0","","Can I stay up for 10 more minutes after bedtime?","","bedtime","small","none","[""If I wake up early tomorrow, can I stay up for 10 more minutes after bedtime?"",""Can I stay up for 10 more minutes after bedtime?""]","right","",""
"","","","","","html-button-response","14","166155","0.0-6.0-7.0","13244","1","","","","","","","","
          <span style=""font-size: 2vw; font-weight:bold;"">If I wake up early tomorrow, can I stay up for 10 more minutes after bedtime?</span><br><br>
          <img style = 'width: 10vw;' src=""stim/more-stim/bedtime-agent.png""> 
            "
"","","","","","instructions","15","168065","0.0-6.0-8.0","1909","","[{""page_index"":0,""viewing_time"":1909}]","","","","","","",""
"","","","","","html-button-response","16","180307","0.0-6.0-9.0","12240","2","","","","","","","","
          <span style=""font-size: 2vw; font-weight:bold;"">Can I stay up for 10 more minutes after bedtime?</span><br><br>
          <img style = 'width: 10vw;' src=""stim/more-stim/bedtime-agent.png""> 
        "
"","","","","","instructions","17","183993","0.0-6.0-10.0","3685","","[{""page_index"":0,""viewing_time"":3685}]","","","","","","",""
"","","","","","instructions","18","191138","0.0-6.0-0.1","7145","","[{""page_index"":0,""viewing_time"":7145}]","","","","","","",""
"","","","","","instructions","19","212259","0.0-6.0-1.1","21121","","[{""page_index"":0,""viewing_time"":8464},{""page_index"":1,""viewing_time"":3361},{""page_index"":2,""viewing_time"":2575},{""page_index"":3,""viewing_time"":2903},{""page_index"":4,""viewing_time"":3817}]","","","","","","",""
"","","","","","survey-text","20","217472","0.0-6.0-2.1","5199","{""Q0"":""3""}","","","","","","","",""
"","","","","","instructions","21","224258","0.0-6.0-3.1","6785","","[{""page_index"":0,""viewing_time"":6785}]","","","","","","",""
"","","","","","KiN_response","22","236914","0.0-6.0-4.1","","alot","","food","big","failed","[""alittle"",""alot""]","right","",""
"","","","","","instructions","23","257663","0.0-6.0-5.1","20750","","[{""page_index"":0,""viewing_time"":4437},{""page_index"":1,""viewing_time"":2677},{""page_index"":2,""viewing_time"":4519},{""page_index"":3,""viewing_time"":4186},{""page_index"":4,""viewing_time"":4931}]","","","","","","",""
"","","","","","KiN_response","24","272474","0.0-6.0-6.1","","If I brush my teeth, can I have ten more candies?","","food","big","failed","[""If I brush my teeth, can I have ten more candies?"",""Can I have ten more candies?""]","left","",""
"","","","","","html-button-response","25","283593","0.0-6.0-7.1","11116","1","","","","","","","","
          <span style=""font-size: 2vw; font-weight:bold;"">If I brush my teeth, can I have ten more candies?</span><br><br>
          <img style = 'width: 10vw;' src=""stim/more-stim/food-agent.png""> 
            "
"","","","","","instructions","26","284719","0.0-6.0-8.1","1124","","[{""page_index"":0,""viewing_time"":1124}]","","","","","","",""
