"success","timeout","failed_images","failed_audio","failed_video","trial_type","trial_index","time_elapsed","internal_node_id","rt","response","view_history","scenario","ask_size","interaction_history","buttons","button_pressed","correct","stimulus"
"true","false","[]","[]","[]","preload","0","2758","0.0-0.0","","","","","","","","","",""
"","","","","","survey-text","1","340286","0.0-1.0","337531","{""Q0"":""p074""}","","","","","","","",""
"","","","","","instructions","2","355900","0.0-2.0","15612","","[{""page_index"":0,""viewing_time"":15612}]","","","","","","",""
"","","","","","instructions","3","368738","0.0-3.0-0.0","12837","","[{""page_index"":0,""viewing_time"":5090},{""page_index"":1,""viewing_time"":2734},{""page_index"":2,""viewing_time"":5013}]","","","","","","",""
"","","","","","KiN_response","4","382175","0.0-3.0-1.0","","Can I get crayons?","","warmup","","","[""Can I get a teddy bear?"",""Can I get crayons?""]","right","true",""
"","","","","","instructions","5","392176","0.0-3.0-2.0","10000","","[{""page_index"":0,""viewing_time"":6595},{""page_index"":1,""viewing_time"":3404}]","","","","","","",""
"","","","","","instructions","6","397775","0.0-5.0","5598","","[{""page_index"":0,""viewing_time"":5598}]","","","","","","",""
"","","","","","instructions","7","398989","0.0-6.0-0.0","1213","","[{""page_index"":0,""viewing_time"":1213}]","","","","","","",""
"","","","","","instructions","8","418913","0.0-6.0-1.0","19923","","[{""page_index"":0,""viewing_time"":12131},{""page_index"":1,""viewing_time"":4469},{""page_index"":2,""viewing_time"":3323}]","","","","","","",""
"","","","","","survey-text","9","430674","0.0-6.0-2.0","11751","{""Q0"":""1""}","","","","","","","",""
"","","","","","instructions","10","435735","0.0-6.0-3.0","5060","","[{""page_index"":0,""viewing_time"":5060}]","","","","","","",""
"","","","","","KiN_response","11","446322","0.0-6.0-4.0","","alot","","toy","big","failed","[""alittle"",""alot""]","right","",""
"","","","","","instructions","12","468064","0.0-6.0-5.0","21741","","[{""page_index"":0,""viewing_time"":5262},{""page_index"":1,""viewing_time"":3070},{""page_index"":2,""viewing_time"":4520},{""page_index"":3,""viewing_time"":4280},{""page_index"":4,""viewing_time"":4608}]","","","","","","",""
"","","","","","KiN_response","13","483522","0.0-6.0-6.0","","If I share my toys, can I get five more toys?","","toy","big","failed","[""If I share my toys, can I get five more toys?"",""Can I get five more toys?""]","left","",""
"","","","","","html-button-response","14","492646","0.0-6.0-7.0","9123","2","","","","","","","","
          <span style=""font-size: 2vw; font-weight:bold;"">Can I get five more toys?</span><br><br>
          <img style = 'width: 10vw;' src=""stim/more-stim/toy-agent.png""> 
            "
"","","","","","instructions","15","494064","0.0-6.0-8.0","1417","","[{""page_index"":0,""viewing_time"":1417}]","","","","","","",""
"","","","","","html-button-response","16","506977","0.0-6.0-9.0","12911","1","","","","","","","","
          <span style=""font-size: 2vw; font-weight:bold;"">If I share my toys, can I get five more toys?</span><br><br>
          <img style = 'width: 10vw;' src=""stim/more-stim/toy-agent.png""> 
        "
"","","","","","instructions","17","513216","0.0-6.0-10.0","6238","","[{""page_index"":0,""viewing_time"":6238}]","","","","","","",""
"","","","","","instructions","18","513825","0.0-6.0-0.1","607","","[{""page_index"":0,""viewing_time"":607}]","","","","","","",""
"","","","","","instructions","19","538264","0.0-6.0-1.1","24439","","[{""page_index"":0,""viewing_time"":14600},{""page_index"":1,""viewing_time"":6649},{""page_index"":2,""viewing_time"":3190}]","","","","","","",""
"","","","","","survey-text","20","551372","0.0-6.0-2.1","13091","{""Q0"":""7""}","","","","","","","",""
"","","","","","instructions","21","557256","0.0-6.0-3.1","5884","","[{""page_index"":0,""viewing_time"":5884}]","","","","","","",""
"","","","","","KiN_response","22","571313","0.0-6.0-4.1","","alot","","bedtime","big","none","[""alittle"",""alot""]","right","",""
"","","","","","instructions","23","583092","0.0-6.0-5.1","11778","","[{""page_index"":0,""viewing_time"":4349},{""page_index"":1,""viewing_time"":7429}]","","","","","","",""
"","","","","","KiN_response","24","601627","0.0-6.0-6.1","","If I wake up early tomorrow, can I stay up for 1 more hour after bedtime?","","bedtime","big","none","[""If I wake up early tomorrow, can I stay up for 1 more hour after bedtime?"",""Can I stay up for 1 more hour after bedtime?""]","left","",""
