"success","timeout","failed_images","failed_audio","failed_video","trial_type","trial_index","time_elapsed","internal_node_id","rt","response","view_history","scenario","ask_size","interaction_history","buttons","button_pressed","correct","stimulus"
"true","false","[]","[]","[]","preload","0","6929","0.0-0.0","","","","","","","","","",""
"","","","","","survey-text","1","14834","0.0-1.0","7882","{""Q0"":""ipadtesting""}","","","","","","","",""
"","","","","","instructions","2","15703","0.0-2.0","868","","[{""page_index"":0,""viewing_time"":867}]","","","","","","",""
"","","","","","instructions","3","17778","0.0-3.0-0.0","2074","","[{""page_index"":0,""viewing_time"":971},{""page_index"":1,""viewing_time"":608},{""page_index"":2,""viewing_time"":495}]","","","","","","",""
"","","","","","KiN_response","4","22520","0.0-3.0-1.0","","Can I get a teddy bear?","","warmup","","","[""Can I get crayons?"",""Can I get a teddy bear?""]","right","false",""
"","","","","","instructions","5","23400","0.0-3.0-2.0","879","","[{""page_index"":0,""viewing_time"":878}]","","","","","","",""
"","","","","","instructions","6","25180","0.0-4.0-0.0-0.0","1779","","[{""page_index"":0,""viewing_time"":663},{""page_index"":1,""viewing_time"":558},{""page_index"":2,""viewing_time"":558}]","","","","","","",""
"","","","","","KiN_response","7","26657","0.0-4.0-0.0-1.0","","Can I get crayons?","","warmup","","","[""Can I get crayons?"",""Can I get a teddy bear?""]","left","true",""
"","","","","","instructions","8","27491","0.0-4.0-0.0-2.0","833","","[{""page_index"":0,""viewing_time"":554},{""page_index"":1,""viewing_time"":279}]","","","","","","",""
"","","","","","instructions","9","29800","0.0-5.0","2309","","[{""page_index"":0,""viewing_time"":2308}]","","","","","","",""
"","","","","","instructions","10","30568","0.0-6.0-0.0","766","","[{""page_index"":0,""viewing_time"":766}]","","","","","","",""
"","","","","","instructions","11","33844","0.0-6.0-1.0","3275","","[{""page_index"":0,""viewing_time"":616},{""page_index"":1,""viewing_time"":308},{""page_index"":2,""viewing_time"":1318},{""page_index"":3,""viewing_time"":551},{""page_index"":4,""viewing_time"":482}]","","","","","","",""
"","","","","","survey-text","12","37136","0.0-6.0-2.0","3283","{""Q0"":""2""}","","","","","","","",""
"","","","","","instructions","13","37873","0.0-6.0-3.0","737","","[{""page_index"":0,""viewing_time"":737}]","","","","","","",""
"","","","","","KiN_response","14","40424","0.0-6.0-4.0","","alittle","","activity","small","failed","[""alittle"",""alot""]","left","",""
"","","","","","instructions","15","43776","0.0-6.0-5.0","3350","","[{""page_index"":0,""viewing_time"":640},{""page_index"":1,""viewing_time"":527},{""page_index"":2,""viewing_time"":649},{""page_index"":3,""viewing_time"":1001},{""page_index"":4,""viewing_time"":533}]","","","","","","",""
"","","","","","KiN_response","16","49694","0.0-6.0-6.0","","If I clean my room, can I play one more round of game?","","activity","small","failed","[""Can I play one more round of game?"",""If I clean my room, can I play one more round of game?""]","right","",""
"","","","","","html-button-response","17","59953","0.0-6.0-7.0","10254","1","","","","","","","","
          <span style=""font-size: 2vw; font-weight:bold;"">Can I play one more round of game?</span><br><br>
          <img style = 'width: 10vw;' src=""stim/more-stim/activity-agent.png""> 
            "
"","","","","","instructions","18","60851","0.0-6.0-8.0","897","","[{""page_index"":0,""viewing_time"":897}]","","","","","","",""
"","","","","","html-button-response","19","70699","0.0-6.0-9.0","9846","1","","","","","","","","
          <span style=""font-size: 2vw; font-weight:bold;"">If I clean my room, can I play one more round of game?</span><br><br>
          <img style = 'width: 10vw;' src=""stim/more-stim/activity-agent.png""> 
        "
"","","","","","instructions","20","71658","0.0-6.0-10.0","957","","[{""page_index"":0,""viewing_time"":957}]","","","","","","",""
"","","","","","instructions","21","72530","0.0-6.0-0.1","870","","[{""page_index"":0,""viewing_time"":870}]","","","","","","",""
"","","","","","instructions","22","74385","0.0-6.0-1.1","1854","","[{""page_index"":0,""viewing_time"":608},{""page_index"":1,""viewing_time"":470},{""page_index"":2,""viewing_time"":776}]","","","","","","",""
"","","","","","survey-text","23","78287","0.0-6.0-2.1","3892","{""Q0"":""9""}","","","","","","","",""
"","","","","","instructions","24","79029","0.0-6.0-3.1","742","","[{""page_index"":0,""viewing_time"":742}]","","","","","","",""
"","","","","","KiN_response","25","81243","0.0-6.0-4.1","","alot","","bedtime","big","failed","[""alot"",""alittle""]","left","",""
"","","","","","instructions","26","84257","0.0-6.0-5.1","3013","","[{""page_index"":0,""viewing_time"":766},{""page_index"":1,""viewing_time"":480},{""page_index"":2,""viewing_time"":635},{""page_index"":3,""viewing_time"":523},{""page_index"":4,""viewing_time"":609}]","","","","","","",""
"","","","","","KiN_response","27","85897","0.0-6.0-6.1","","If I wake up early tomorrow, can I stay up for 1 more hour after bedtime?","","bedtime","big","failed","[""If I wake up early tomorrow, can I stay up for 1 more hour after bedtime?"",""Can I stay up for 1 more hour after bedtime?""]","left","",""
