"success","timeout","failed_images","failed_audio","failed_video","trial_type","trial_index","time_elapsed","internal_node_id","rt","response","view_history","scenario","ask_size","interaction_history","buttons","button_pressed","correct","stimulus"
"true","false","[]","[]","[]","preload","0","915","0.0-0.0","","","","","","","","","",""
"","","","","","survey-text","1","13902","0.0-1.0","12982","{""Q0"":""p076""}","","","","","","","",""
"","","","","","instructions","2","40222","0.0-2.0","26319","","[{""page_index"":0,""viewing_time"":26319}]","","","","","","",""
"","","","","","instructions","3","53076","0.0-3.0-0.0","12853","","[{""page_index"":0,""viewing_time"":7588},{""page_index"":1,""viewing_time"":1733},{""page_index"":2,""viewing_time"":3532}]","","","","","","",""
"","","","","","KiN_response","4","64595","0.0-3.0-1.0","","Can I get crayons?","","warmup","","","[""Can I get a teddy bear?"",""Can I get crayons?""]","right","true",""
"","","","","","instructions","5","71424","0.0-3.0-2.0","6827","","[{""page_index"":0,""viewing_time"":3625},{""page_index"":1,""viewing_time"":3202}]","","","","","","",""
"","","","","","instructions","6","78607","0.0-5.0","7182","","[{""page_index"":0,""viewing_time"":7182}]","","","","","","",""
"","","","","","instructions","7","81489","0.0-6.0-0.0","2881","","[{""page_index"":0,""viewing_time"":2881}]","","","","","","",""
"","","","","","instructions","8","100991","0.0-6.0-1.0","19502","","[{""page_index"":0,""viewing_time"":6535},{""page_index"":1,""viewing_time"":2859},{""page_index"":2,""viewing_time"":3337},{""page_index"":3,""viewing_time"":3019},{""page_index"":4,""viewing_time"":3752}]","","","","","","",""
"","","","","","survey-text","9","107355","0.0-6.0-2.0","6346","{""Q0"":""3""}","","","","","","","",""
"","","","","","instructions","10","113474","0.0-6.0-3.0","6119","","[{""page_index"":0,""viewing_time"":6119}]","","","","","","",""
"","","","","","KiN_response","11","125707","0.0-6.0-4.0","","alittle","","food","small","failed","[""alittle"",""alot""]","left","",""
"","","","","","instructions","12","145677","0.0-6.0-5.0","19970","","[{""page_index"":0,""viewing_time"":5660},{""page_index"":1,""viewing_time"":2677},{""page_index"":2,""viewing_time"":3761},{""page_index"":3,""viewing_time"":4378},{""page_index"":4,""viewing_time"":3493}]","","","","","","",""
"","","","","","KiN_response","13","157784","0.0-6.0-6.0","","Can I have one more candy?","","food","small","failed","[""If I brush my teeth, can I have one more candy?"",""Can I have one more candy?""]","right","",""
"","","","","","html-button-response","14","176130","0.0-6.0-7.0","18343","1","","","","","","","","
          <span style=""font-size: 2vw; font-weight:bold;"">If I brush my teeth, can I have one more candy?</span><br><br>
          <img style = 'width: 10vw;' src=""stim/more-stim/food-agent.png""> 
            "
"","","","","","instructions","15","177856","0.0-6.0-8.0","1726","","[{""page_index"":0,""viewing_time"":1725}]","","","","","","",""
"","","","","","html-button-response","16","191074","0.0-6.0-9.0","13212","2","","","","","","","","
          <span style=""font-size: 2vw; font-weight:bold;"">Can I have one more candy?</span><br><br>
          <img style = 'width: 10vw;' src=""stim/more-stim/food-agent.png""> 
        "
"","","","","","instructions","17","194565","0.0-6.0-10.0","3490","","[{""page_index"":0,""viewing_time"":3490}]","","","","","","",""
"","","","","","instructions","18","198250","0.0-6.0-0.1","3683","","[{""page_index"":0,""viewing_time"":3683}]","","","","","","",""
"","","","","","instructions","19","216682","0.0-6.0-1.1","18432","","[{""page_index"":0,""viewing_time"":10039},{""page_index"":1,""viewing_time"":5194},{""page_index"":2,""viewing_time"":3199}]","","","","","","",""
"","","","","","survey-text","20","242473","0.0-6.0-2.1","25777","{""Q0"":""7:30""}","","","","","","","",""
