"success","timeout","failed_images","failed_audio","failed_video","trial_type","trial_index","time_elapsed","internal_node_id","rt","response","view_history","scenario","ask_size","interaction_history","buttons","button_pressed","correct","stimulus"
"true","false","[]","[]","[]","preload","0","44","0.0-0.0","","","","","","","","","",""
"","","","","","survey-text","1","4836","0.0-1.0","4790","{""Q0"":""testing""}","","","","","","","",""
"","","","","","instructions","2","6030","0.0-2.0","1193","","[{""page_index"":0,""viewing_time"":1193}]","","","","","","",""
"","","","","","instructions","3","7568","0.0-3.0-0.0","1537","","[{""page_index"":0,""viewing_time"":810},{""page_index"":1,""viewing_time"":375},{""page_index"":2,""viewing_time"":351}]","","","","","","",""
"","","","","","KiN_response","4","9604","0.0-3.0-1.0","","Can I get crayons?","","warmup","","","[""Can I get crayons?"",""Can I get a teddy bear?""]","left","true",""
"","","","","","instructions","5","10734","0.0-3.0-2.0","1129","","[{""page_index"":0,""viewing_time"":788},{""page_index"":1,""viewing_time"":341}]","","","","","","",""
"","","","","","instructions","6","12021","0.0-5.0","1287","","[{""page_index"":0,""viewing_time"":1286}]","","","","","","",""
"","","","","","instructions","7","12792","0.0-6.0-0.0","769","","[{""page_index"":0,""viewing_time"":769}]","","","","","","",""
"","","","","","instructions","8","14896","0.0-6.0-1.0","2103","","[{""page_index"":0,""viewing_time"":810},{""page_index"":1,""viewing_time"":309},{""page_index"":2,""viewing_time"":275},{""page_index"":3,""viewing_time"":341},{""page_index"":4,""viewing_time"":367}]","","","","","","",""
"","","","","","survey-text","9","16521","0.0-6.0-2.0","1622","{""Q0"":""3""}","","","","","","","",""
"","","","","","instructions","10","17249","0.0-6.0-3.0","728","","[{""page_index"":0,""viewing_time"":727}]","","","","","","",""
"","","","","","KiN_response","11","20133","0.0-6.0-4.0","","alittle","","food","small","failed","[""alittle"",""alot""]","left","",""
"","","","","","instructions","12","21914","0.0-6.0-5.0","1779","","[{""page_index"":0,""viewing_time"":636},{""page_index"":1,""viewing_time"":242},{""page_index"":2,""viewing_time"":260},{""page_index"":3,""viewing_time"":275},{""page_index"":4,""viewing_time"":367}]","","","","","","",""
"","","","","","KiN_response","13","23678","0.0-6.0-6.0","","Can I have one more candy?","","food","small","failed","[""Can I have one more candy?"",""If I brush my teeth, can I have one more candy?""]","left","",""
"","","","","","html-button-response","14","35284","0.0-6.0-7.0","11603","0","","","","","","","","
          <span style=""font-size: 2vw; font-weight:bold;"">If I brush my teeth, can I have one more candy?</span><br><br>
          <img style = 'width: 10vw;' src=""stim/more-stim/food-agent.png""> 
            "
"","","","","","instructions","15","36249","0.0-6.0-8.0","964","","[{""page_index"":0,""viewing_time"":964}]","","","","","","",""
"","","","","","html-button-response","16","46100","0.0-6.0-9.0","9850","1","","","","","","","","
          <span style=""font-size: 2vw; font-weight:bold;"">Can I have one more candy?</span><br><br>
          <img style = 'width: 10vw;' src=""stim/more-stim/food-agent.png""> 
        "
"","","","","","instructions","17","47225","0.0-6.0-10.0","1123","","[{""page_index"":0,""viewing_time"":1123}]","","","","","","",""
"","","","","","instructions","18","48058","0.0-6.0-0.1","832","","[{""page_index"":0,""viewing_time"":832}]","","","","","","",""
"","","","","","instructions","19","50625","0.0-6.0-1.1","2567","","[{""page_index"":0,""viewing_time"":1016},{""page_index"":1,""viewing_time"":383},{""page_index"":2,""viewing_time"":425},{""page_index"":3,""viewing_time"":424},{""page_index"":4,""viewing_time"":318}]","","","","","","",""
"","","","","","survey-text","20","52000","0.0-6.0-2.1","1373","{""Q0"":""dasdasd""}","","","","","","","",""
"","","","","","instructions","21","52937","0.0-6.0-3.1","936","","[{""page_index"":0,""viewing_time"":936}]","","","","","","",""
"","","","","","KiN_response","22","55683","0.0-6.0-4.1","","alittle","","activity","small","none","[""alot"",""alittle""]","right","",""
"","","","","","instructions","23","56714","0.0-6.0-5.1","1030","","[{""page_index"":0,""viewing_time"":671},{""page_index"":1,""viewing_time"":359}]","","","","","","",""
"","","","","","KiN_response","24","59562","0.0-6.0-6.1","","Can I play one more round of game?","","activity","small","none","[""Can I play one more round of game?"",""If I clean my room, can I play one more round of game?""]","left","",""
"","","","","","html-button-response","25","69287","0.0-6.0-7.1","9724","1","","","","","","","","
          <span style=""font-size: 2vw; font-weight:bold;"">Can I play one more round of game?</span><br><br>
          <img style = 'width: 10vw;' src=""stim/more-stim/activity-agent.png""> 
            "
"","","","","","instructions","26","70337","0.0-6.0-8.1","1050","","[{""page_index"":0,""viewing_time"":1049}]","","","","","","",""
"","","","","","html-button-response","27","79748","0.0-6.0-9.1","9408","1","","","","","","","","
          <span style=""font-size: 2vw; font-weight:bold;"">If I clean my room, can I play one more round of game?</span><br><br>
          <img style = 'width: 10vw;' src=""stim/more-stim/activity-agent.png""> 
        "
"","","","","","instructions","28","80571","0.0-6.0-10.1","823","","[{""page_index"":0,""viewing_time"":822}]","","","","","","",""
"","","","","","instructions","29","81407","0.0-6.0-0.2","836","","[{""page_index"":0,""viewing_time"":835}]","","","","","","",""
"","","","","","instructions","30","82745","0.0-6.0-1.2","1338","","[{""page_index"":0,""viewing_time"":712},{""page_index"":1,""viewing_time"":376},{""page_index"":2,""viewing_time"":249}]","","","","","","",""
"","","","","","survey-text","31","85169","0.0-6.0-2.2","2422","{""Q0"":""asdasd""}","","","","","","","",""
"","","","","","instructions","32","86638","0.0-6.0-3.2","1468","","[{""page_index"":0,""viewing_time"":1468}]","","","","","","",""
"","","","","","KiN_response","33","88571","0.0-6.0-4.2","","alot","","toy","big","failed","[""alittle"",""alot""]","right","",""
"","","","","","instructions","34","90964","0.0-6.0-5.2","2392","","[{""page_index"":0,""viewing_time"":845},{""page_index"":1,""viewing_time"":430},{""page_index"":2,""viewing_time"":366},{""page_index"":3,""viewing_time"":351},{""page_index"":4,""viewing_time"":401}]","","","","","","",""
"","","","","","KiN_response","35","92583","0.0-6.0-6.2","","Can I get five more toys?","","toy","big","failed","[""Can I get five more toys?"",""If I share my toys, can I get five more toys?""]","left","",""
"","","","","","html-button-response","36","103354","0.0-6.0-7.2","10768","1","","","","","","","","
          <span style=""font-size: 2vw; font-weight:bold;"">If I share my toys, can I get five more toys?</span><br><br>
          <img style = 'width: 10vw;' src=""stim/more-stim/toy-agent.png""> 
            "
"","","","","","instructions","37","104220","0.0-6.0-8.2","865","","[{""page_index"":0,""viewing_time"":865}]","","","","","","",""
"","","","","","html-button-response","38","118755","0.0-6.0-9.2","14534","1","","","","","","","","
          <span style=""font-size: 2vw; font-weight:bold;"">Can I get five more toys?</span><br><br>
          <img style = 'width: 10vw;' src=""stim/more-stim/toy-agent.png""> 
        "
"","","","","","instructions","39","120307","0.0-6.0-10.2","1552","","[{""page_index"":0,""viewing_time"":1552}]","","","","","","",""
"","","","","","instructions","40","121337","0.0-6.0-0.3","1030","","[{""page_index"":0,""viewing_time"":1029}]","","","","","","",""
"","","","","","instructions","41","122625","0.0-6.0-1.3","1287","","[{""page_index"":0,""viewing_time"":856},{""page_index"":1,""viewing_time"":224},{""page_index"":2,""viewing_time"":207}]","","","","","","",""
"","","","","","survey-text","42","124834","0.0-6.0-2.3","2206","{""Q0"":""9""}","","","","","","","",""
"","","","","","instructions","43","125667","0.0-6.0-3.3","833","","[{""page_index"":0,""viewing_time"":833}]","","","","","","",""
"","","","","","KiN_response","44","127583","0.0-6.0-4.3","","alot","","bedtime","big","none","[""alot"",""alittle""]","left","",""
"","","","","","instructions","45","128662","0.0-6.0-5.3","1079","","[{""page_index"":0,""viewing_time"":796},{""page_index"":1,""viewing_time"":283}]","","","","","","",""
"","","","","","KiN_response","46","130567","0.0-6.0-6.3","","Can I stay up for 1 more hour after bedtime?","","bedtime","big","none","[""If I wake up early tomorrow, can I stay up for 1 more hour after bedtime?"",""Can I stay up for 1 more hour after bedtime?""]","right","",""
"","","","","","html-button-response","47","141668","0.0-6.0-7.3","11099","1","","","","","","","","
          <span style=""font-size: 2vw; font-weight:bold;"">If I wake up early tomorrow, can I stay up for 1 more hour after bedtime?</span><br><br>
          <img style = 'width: 10vw;' src=""stim/more-stim/bedtime-agent.png""> 
            "
"","","","","","instructions","48","142397","0.0-6.0-8.3","728","","[{""page_index"":0,""viewing_time"":728}]","","","","","","",""
"","","","","","html-button-response","49","152934","0.0-6.0-9.3","10536","2","","","","","","","","
          <span style=""font-size: 2vw; font-weight:bold;"">Can I stay up for 1 more hour after bedtime?</span><br><br>
          <img style = 'width: 10vw;' src=""stim/more-stim/bedtime-agent.png""> 
        "
"","","","","","instructions","50","153792","0.0-6.0-10.3","857","","[{""page_index"":0,""viewing_time"":857}]","","","","","","",""
