"success","timeout","failed_images","failed_audio","failed_video","trial_type","trial_index","time_elapsed","internal_node_id","rt","response","view_history","scenario","ask_size","interaction_history","buttons","button_pressed","correct","stimulus"
"true","false","[]","[]","[]","preload","0","580","0.0-0.0","","","","","","","","","",""
"","","","","","survey-text","1","7264","0.0-1.0","6680","{""Q0"":""p098""}","","","","","","","",""
"","","","","","instructions","2","23521","0.0-2.0","16257","","[{""page_index"":0,""viewing_time"":16257}]","","","","","","",""
"","","","","","instructions","3","34688","0.0-3.0-0.0","11165","","[{""page_index"":0,""viewing_time"":4434},{""page_index"":1,""viewing_time"":2910},{""page_index"":2,""viewing_time"":3821}]","","","","","","",""
"","","","","","KiN_response","4","45467","0.0-3.0-1.0","","Can I get crayons?","","warmup","","","[""Can I get crayons?"",""Can I get a teddy bear?""]","left","true",""
"","","","","","instructions","5","55914","0.0-3.0-2.0","10447","","[{""page_index"":0,""viewing_time"":7829},{""page_index"":1,""viewing_time"":2618}]","","","","","","",""
"","","","","","instructions","6","61368","0.0-5.0","5453","","[{""page_index"":0,""viewing_time"":5453}]","","","","","","",""
"","","","","","instructions","7","66528","0.0-6.0-0.0","5158","","[{""page_index"":0,""viewing_time"":5158}]","","","","","","",""
"","","","","","instructions","8","88016","0.0-6.0-1.0","21489","","[{""page_index"":0,""viewing_time"":8172},{""page_index"":1,""viewing_time"":3810},{""page_index"":2,""viewing_time"":3414},{""page_index"":3,""viewing_time"":2707},{""page_index"":4,""viewing_time"":3386}]","","","","","","",""
"","","","","","survey-text","9","97528","0.0-6.0-2.0","9499","{""Q0"":""2""}","","","","","","","",""
"","","","","","instructions","10","102649","0.0-6.0-3.0","5121","","[{""page_index"":0,""viewing_time"":5120}]","","","","","","",""
"","","","","","KiN_response","11","116132","0.0-6.0-4.0","","alot","","activity","big","failed","[""alot"",""alittle""]","left","",""
"","","","","","instructions","12","139596","0.0-6.0-5.0","23465","","[{""page_index"":0,""viewing_time"":3051},{""page_index"":1,""viewing_time"":3138},{""page_index"":2,""viewing_time"":5967},{""page_index"":3,""viewing_time"":6964},{""page_index"":4,""viewing_time"":4344}]","","","","","","",""
"","","","","","KiN_response","13","155960","0.0-6.0-6.0","","If I clean my room, can I play five more rounds of games?","","activity","big","failed","[""If I clean my room, can I play five more rounds of games?"",""Can I play five more rounds of games?""]","left","",""
"","","","","","html-button-response","14","170781","0.0-6.0-7.0","14818","0","","","","","","","","
          <span style=""font-size: 2vw; font-weight:bold;"">If I clean my room, can I play five more rounds of games?</span><br><br>
          <img style = 'width: 10vw;' src=""stim/more-stim/activity-agent.png""> 
            "
"","","","","","instructions","15","172329","0.0-6.0-8.0","1547","","[{""page_index"":0,""viewing_time"":1547}]","","","","","","",""
"","","","","","html-button-response","16","183694","0.0-6.0-9.0","11364","1","","","","","","","","
          <span style=""font-size: 2vw; font-weight:bold;"">Can I play five more rounds of games?</span><br><br>
          <img style = 'width: 10vw;' src=""stim/more-stim/activity-agent.png""> 
        "
"","","","","","instructions","17","186747","0.0-6.0-10.0","3052","","[{""page_index"":0,""viewing_time"":3052}]","","","","","","",""
