"success","timeout","failed_images","failed_audio","failed_video","trial_type","trial_index","time_elapsed","internal_node_id","rt","response","view_history","scenario","ask_size","interaction_history","buttons","button_pressed","correct","stimulus"
"true","false","[]","[]","[]","preload","0","1772","0.0-0.0","","","","","","","","","",""
"","","","","","survey-text","1","908024","0.0-1.0","906254","{""Q0"":""p053""}","","","","","","","",""
"","","","","","instructions","2","931997","0.0-2.0","23973","","[{""page_index"":0,""viewing_time"":23972}]","","","","","","",""
"","","","","","instructions","3","953051","0.0-3.0-0.0","21053","","[{""page_index"":0,""viewing_time"":14068},{""page_index"":1,""viewing_time"":2683},{""page_index"":2,""viewing_time"":4302}]","","","","","","",""
"","","","","","KiN_response","4","960884","0.0-3.0-1.0","","Can I get crayons?","","warmup","","","[""Can I get a teddy bear?"",""Can I get crayons?""]","right","true",""
"","","","","","instructions","5","973213","0.0-3.0-2.0","12328","","[{""page_index"":0,""viewing_time"":7349},{""page_index"":1,""viewing_time"":4979}]","","","","","","",""
"","","","","","instructions","6","993316","0.0-5.0","20102","","[{""page_index"":0,""viewing_time"":20102}]","","","","","","",""
"","","","","","instructions","7","994475","0.0-6.0-0.0","1155","","[{""page_index"":0,""viewing_time"":1155}]","","","","","","",""
"","","","","","instructions","8","1026619","0.0-6.0-1.0","32144","","[{""page_index"":0,""viewing_time"":8629},{""page_index"":1,""viewing_time"":3811},{""page_index"":2,""viewing_time"":5212},{""page_index"":3,""viewing_time"":1370},{""page_index"":2,""viewing_time"":4822},{""page_index"":3,""viewing_time"":4255},{""page_index"":4,""viewing_time"":4045}]","","","","","","",""
"","","","","","survey-text","9","1034822","0.0-6.0-2.0","8192","{""Q0"":""3""}","","","","","","","",""
"","","","","","instructions","10","1041254","0.0-6.0-3.0","6431","","[{""page_index"":0,""viewing_time"":6431}]","","","","","","",""
"","","","","","KiN_response","11","1050968","0.0-6.0-4.0","","alittle","","food","small","none","[""alot"",""alittle""]","right","",""
