"success","timeout","failed_images","failed_audio","failed_video","trial_type","trial_index","time_elapsed","internal_node_id","rt","response","view_history","scenario","ask_size","interaction_history","buttons","button_pressed","correct","stimulus"
"true","false","[]","[]","[]","preload","0","15","0.0-0.0","","","","","","","","","",""
"","","","","","survey-text","1","780152","0.0-1.0","780165","{""Q0"":""p068""}","","","","","","","",""
"","","","","","instructions","2","781520","0.0-2.0","1367","","[{""page_index"":0,""viewing_time"":1367}]","","","","","","",""
"","","","","","instructions","3","801940","0.0-3.0-0.0","20419","","[{""page_index"":0,""viewing_time"":10721},{""page_index"":1,""viewing_time"":4312},{""page_index"":2,""viewing_time"":5386}]","","","","","","",""
"","","","","","KiN_response","4","821101","0.0-3.0-1.0","","Can I get crayons?","","warmup","","","[""Can I get crayons?"",""Can I get a teddy bear?""]","left","true",""
"","","","","","instructions","5","829407","0.0-3.0-2.0","8304","","[{""page_index"":0,""viewing_time"":4694},{""page_index"":1,""viewing_time"":3610}]","","","","","","",""
"","","","","","instructions","6","837595","0.0-5.0","8187","","[{""page_index"":0,""viewing_time"":8187}]","","","","","","",""
"","","","","","instructions","7","842590","0.0-6.0-0.0","4994","","[{""page_index"":0,""viewing_time"":4994}]","","","","","","",""
"","","","","","instructions","8","871256","0.0-6.0-1.0","28666","","[{""page_index"":0,""viewing_time"":9170},{""page_index"":1,""viewing_time"":4971},{""page_index"":2,""viewing_time"":6313},{""page_index"":3,""viewing_time"":3610},{""page_index"":4,""viewing_time"":4602}]","","","","","","",""
"","","","","","survey-text","9","880121","0.0-6.0-2.0","8853","{""Q0"":""2""}","","","","","","","",""
"","","","","","instructions","10","889451","0.0-6.0-3.0","9329","","[{""page_index"":0,""viewing_time"":9329}]","","","","","","",""
"","","","","","KiN_response","11","905227","0.0-6.0-4.0","","alot","","activity","big","none","[""alittle"",""alot""]","right","",""
"","","","","","instructions","12","914340","0.0-6.0-5.0","9112","","[{""page_index"":0,""viewing_time"":3525},{""page_index"":1,""viewing_time"":5587}]","","","","","","",""
"","","","","","KiN_response","13","929334","0.0-6.0-6.0","","If I clean my room, can I play five more rounds of games?","","activity","big","none","[""Can I play five more rounds of games?"",""If I clean my room, can I play five more rounds of games?""]","right","",""
"","","","","","html-button-response","14","945008","0.0-6.0-7.0","15672","0","","","","","","","","
          <span style=""font-size: 2vw; font-weight:bold;"">If I clean my room, can I play five more rounds of games?</span><br><br>
          <img style = 'width: 10vw;' src=""stim/more-stim/activity-agent.png""> 
            "
"","","","","","instructions","15","946317","0.0-6.0-8.0","1308","","[{""page_index"":0,""viewing_time"":1308}]","","","","","","",""
"","","","","","html-button-response","16","961799","0.0-6.0-9.0","15480","0","","","","","","","","
          <span style=""font-size: 2vw; font-weight:bold;"">Can I play five more rounds of games?</span><br><br>
          <img style = 'width: 10vw;' src=""stim/more-stim/activity-agent.png""> 
        "
"","","","","","instructions","17","965187","0.0-6.0-10.0","3387","","[{""page_index"":0,""viewing_time"":3387}]","","","","","","",""
"","","","","","instructions","18","968763","0.0-6.0-0.1","3574","","[{""page_index"":0,""viewing_time"":3574}]","","","","","","",""
"","","","","","instructions","19","992745","0.0-6.0-1.1","23982","","[{""page_index"":0,""viewing_time"":17729},{""page_index"":1,""viewing_time"":3193},{""page_index"":2,""viewing_time"":3060}]","","","","","","",""
"","","","","","survey-text","20","1001155","0.0-6.0-2.1","8397","{""Q0"":""1""}","","","","","","","",""
"","","","","","instructions","21","1005885","0.0-6.0-3.1","4730","","[{""page_index"":0,""viewing_time"":4730}]","","","","","","",""
"","","","","","KiN_response","22","1022315","0.0-6.0-4.1","","alittle","","toy","small","failed","[""alittle"",""alot""]","left","",""
