"success","timeout","failed_images","failed_audio","failed_video","trial_type","trial_index","time_elapsed","internal_node_id","rt","response","view_history","scenario","ask_size","interaction_history","buttons","button_pressed","correct","stimulus"
"true","false","[]","[]","[]","preload","0","1836","0.0-0.0","","","","","","","","","",""
"","","","","","survey-text","1","63688","0.0-1.0","61853","{""Q0"":""p094""}","","","","","","","",""
"","","","","","instructions","2","74648","0.0-2.0","10959","","[{""page_index"":0,""viewing_time"":10959}]","","","","","","",""
"","","","","","instructions","3","85971","0.0-3.0-0.0","11322","","[{""page_index"":0,""viewing_time"":4392},{""page_index"":1,""viewing_time"":3152},{""page_index"":2,""viewing_time"":3778}]","","","","","","",""
"","","","","","KiN_response","4","99713","0.0-3.0-1.0","","Can I get crayons?","","warmup","","","[""Can I get a teddy bear?"",""Can I get crayons?""]","right","true",""
"","","","","","instructions","5","107307","0.0-3.0-2.0","7594","","[{""page_index"":0,""viewing_time"":4034},{""page_index"":1,""viewing_time"":3559}]","","","","","","",""
"","","","","","instructions","6","114378","0.0-5.0","7070","","[{""page_index"":0,""viewing_time"":7070}]","","","","","","",""
"","","","","","instructions","7","118247","0.0-6.0-0.0","3867","","[{""page_index"":0,""viewing_time"":3867}]","","","","","","",""
"","","","","","instructions","8","130395","0.0-6.0-1.0","12148","","[{""page_index"":0,""viewing_time"":6328},{""page_index"":1,""viewing_time"":2947},{""page_index"":2,""viewing_time"":2873}]","","","","","","",""
"","","","","","survey-text","9","135097","0.0-6.0-2.0","4687","{""Q0"":""1""}","","","","","","","",""
"","","","","","instructions","10","140018","0.0-6.0-3.0","4920","","[{""page_index"":0,""viewing_time"":4920}]","","","","","","",""
"","","","","","KiN_response","11","150692","0.0-6.0-4.0","","alot","","toy","big","failed","[""alot"",""alittle""]","left","",""
"","","","","","instructions","12","167717","0.0-6.0-5.0","17024","","[{""page_index"":0,""viewing_time"":2740},{""page_index"":1,""viewing_time"":2885},{""page_index"":2,""viewing_time"":4054},{""page_index"":3,""viewing_time"":3676},{""page_index"":4,""viewing_time"":3669}]","","","","","","",""
"","","","","","KiN_response","13","178574","0.0-6.0-6.0","","If I share my toys, can I get five more toys?","","toy","big","failed","[""Can I get five more toys?"",""If I share my toys, can I get five more toys?""]","right","",""
"","","","","","html-button-response","14","190747","0.0-6.0-7.0","12170","1","","","","","","","","
          <span style=""font-size: 2vw; font-weight:bold;"">If I share my toys, can I get five more toys?</span><br><br>
          <img style = 'width: 10vw;' src=""stim/more-stim/toy-agent.png""> 
            "
"","","","","","instructions","15","191963","0.0-6.0-8.0","1214","","[{""page_index"":0,""viewing_time"":1214}]","","","","","","",""
"","","","","","html-button-response","16","203261","0.0-6.0-9.0","11296","1","","","","","","","","
          <span style=""font-size: 2vw; font-weight:bold;"">Can I get five more toys?</span><br><br>
          <img style = 'width: 10vw;' src=""stim/more-stim/toy-agent.png""> 
        "
"","","","","","instructions","17","207522","0.0-6.0-10.0","4260","","[{""page_index"":0,""viewing_time"":4259}]","","","","","","",""
"","","","","","instructions","18","211592","0.0-6.0-0.1","4069","","[{""page_index"":0,""viewing_time"":4069}]","","","","","","",""
"","","","","","instructions","19","232905","0.0-6.0-1.1","21313","","[{""page_index"":0,""viewing_time"":7153},{""page_index"":1,""viewing_time"":3094},{""page_index"":2,""viewing_time"":3727},{""page_index"":3,""viewing_time"":2727},{""page_index"":4,""viewing_time"":4612}]","","","","","","",""
