"success","timeout","failed_images","failed_audio","failed_video","trial_type","trial_index","time_elapsed","internal_node_id","rt","response","view_history","scenario","ask_size","interaction_history","buttons","button_pressed","correct","stimulus"
"true","false","[]","[]","[]","preload","0","3193","0.0-0.0","","","","","","","","","",""
"","","","","","survey-text","1","10266","0.0-1.0","7068","{""Q0"":""p077""}","","","","","","","",""
"","","","","","instructions","2","52202","0.0-2.0","41936","","[{""page_index"":0,""viewing_time"":41936}]","","","","","","",""
"","","","","","instructions","3","60774","0.0-3.0-0.0","8656","","[{""page_index"":0,""viewing_time"":3352},{""page_index"":1,""viewing_time"":2149},{""page_index"":2,""viewing_time"":3154}]","","","","","","",""
"","","","","","KiN_response","4","66285","0.0-3.0-1.0","","Can I get crayons?","","warmup","","","[""Can I get a teddy bear?"",""Can I get crayons?""]","right","true",""
"","","","","","instructions","5","72265","0.0-3.0-2.0","5980","","[{""page_index"":0,""viewing_time"":3392},{""page_index"":1,""viewing_time"":2588}]","","","","","","",""
"","","","","","instructions","6","78209","0.0-5.0","5943","","[{""page_index"":0,""viewing_time"":5943}]","","","","","","",""
"","","","","","instructions","7","81611","0.0-6.0-0.0","3401","","[{""page_index"":0,""viewing_time"":3401}]","","","","","","",""
"","","","","","instructions","8","99979","0.0-6.0-1.0","18369","","[{""page_index"":0,""viewing_time"":6712},{""page_index"":1,""viewing_time"":3202},{""page_index"":2,""viewing_time"":2802},{""page_index"":3,""viewing_time"":2571},{""page_index"":4,""viewing_time"":3082}]","","","","","","",""
"","","","","","survey-text","9","107799","0.0-6.0-2.0","7808","{""Q0"":""2""}","","","","","","","",""
"","","","","","instructions","10","113087","0.0-6.0-3.0","5287","","[{""page_index"":0,""viewing_time"":5287}]","","","","","","",""
"","","","","","KiN_response","11","123534","0.0-6.0-4.0","","alot","","activity","small","failed","[""alittle"",""alot""]","right","",""
"","","","","","instructions","12","141170","0.0-6.0-5.0","17636","","[{""page_index"":0,""viewing_time"":3377},{""page_index"":1,""viewing_time"":2192},{""page_index"":2,""viewing_time"":3910},{""page_index"":3,""viewing_time"":4354},{""page_index"":4,""viewing_time"":3803}]","","","","","","",""
"","","","","","KiN_response","13","150883","0.0-6.0-6.0","","If I clean my room, can I play one more round of game?","","activity","small","failed","[""If I clean my room, can I play one more round of game?"",""Can I play one more round of game?""]","left","",""
"","","","","","html-button-response","14","160823","0.0-6.0-7.0","9938","0","","","","","","","","
          <span style=""font-size: 2vw; font-weight:bold;"">Can I play one more round of game?</span><br><br>
          <img style = 'width: 10vw;' src=""stim/more-stim/activity-agent.png""> 
            "
"","","","","","instructions","15","162073","0.0-6.0-8.0","1250","","[{""page_index"":0,""viewing_time"":1250}]","","","","","","",""
"","","","","","html-button-response","16","168727","0.0-6.0-9.0","6653","1","","","","","","","","
          <span style=""font-size: 2vw; font-weight:bold;"">If I clean my room, can I play one more round of game?</span><br><br>
          <img style = 'width: 10vw;' src=""stim/more-stim/activity-agent.png""> 
        "
"","","","","","instructions","17","170579","0.0-6.0-10.0","1851","","[{""page_index"":0,""viewing_time"":1851}]","","","","","","",""
"","","","","","instructions","18","174914","0.0-6.0-0.1","4335","","[{""page_index"":0,""viewing_time"":4334}]","","","","","","",""
"","","","","","instructions","19","190553","0.0-6.0-1.1","15639","","[{""page_index"":0,""viewing_time"":7761},{""page_index"":1,""viewing_time"":5160},{""page_index"":2,""viewing_time"":2717}]","","","","","","",""
"","","","","","survey-text","20","204704","0.0-6.0-2.1","14139","{""Q0"":""9""}","","","","","","","",""
"","","","","","instructions","21","210068","0.0-6.0-3.1","5363","","[{""page_index"":0,""viewing_time"":5363}]","","","","","","",""
