"success","timeout","failed_images","failed_audio","failed_video","trial_type","trial_index","time_elapsed","internal_node_id","rt","response","view_history","scenario","ask_size","interaction_history","buttons","button_pressed","correct","stimulus"
"true","false","[]","[]","[]","preload","0","774","0.0-0.0","","","","","","","","","",""
"","","","","","survey-text","1","485502","0.0-1.0","484739","{""Q0"":""p047""}","","","","","","","",""
"","","","","","instructions","2","503241","0.0-2.0","17738","","[{""page_index"":0,""viewing_time"":17738}]","","","","","","",""
"","","","","","instructions","3","517153","0.0-3.0-0.0","13910","","[{""page_index"":0,""viewing_time"":6630},{""page_index"":1,""viewing_time"":3913},{""page_index"":2,""viewing_time"":3367}]","","","","","","",""
"","","","","","KiN_response","4","532186","0.0-3.0-1.0","","Can I get crayons?","","warmup","","","[""Can I get crayons?"",""Can I get a teddy bear?""]","left","true",""
"","","","","","instructions","5","540350","0.0-3.0-2.0","8163","","[{""page_index"":0,""viewing_time"":4910},{""page_index"":1,""viewing_time"":3253}]","","","","","","",""
"","","","","","instructions","6","549190","0.0-5.0","8839","","[{""page_index"":0,""viewing_time"":8839}]","","","","","","",""
"","","","","","instructions","7","553867","0.0-6.0-0.0","4676","","[{""page_index"":0,""viewing_time"":4676}]","","","","","","",""
"","","","","","instructions","8","608024","0.0-6.0-1.0","54158","","[{""page_index"":0,""viewing_time"":7702},{""page_index"":1,""viewing_time"":2720},{""page_index"":2,""viewing_time"":3519},{""page_index"":3,""viewing_time"":3777},{""page_index"":4,""viewing_time"":36439}]","","","","","","",""
"","","","","","survey-text","9","613631","0.0-6.0-2.0","5589","{""Q0"":""2""}","","","","","","","",""
"","","","","","instructions","10","619047","0.0-6.0-3.0","5414","","[{""page_index"":0,""viewing_time"":5414}]","","","","","","",""
"","","","","","KiN_response","11","633189","0.0-6.0-4.0","","alot","","activity","big","none","[""alot"",""alittle""]","left","",""
"","","","","","instructions","12","640578","0.0-6.0-5.0","7389","","[{""page_index"":0,""viewing_time"":3602},{""page_index"":1,""viewing_time"":3786}]","","","","","","",""
"","","","","","KiN_response","13","655787","0.0-6.0-6.0","","Can I play five more rounds of games?","","activity","big","none","[""If I clean my room, can I play five more rounds of games?"",""Can I play five more rounds of games?""]","right","",""
"","","","","","html-button-response","14","668736","0.0-6.0-7.0","12946","2","","","","","","","","
          <span style=""font-size: 2vw; font-weight:bold;"">If I clean my room, can I play five more rounds of games?</span><br><br>
          <img style = 'width: 10vw;' src=""stim/more-stim/activity-agent.png""> 
            "
"","","","","","instructions","15","669904","0.0-6.0-8.0","1167","","[{""page_index"":0,""viewing_time"":1167}]","","","","","","",""
"","","","","","html-button-response","16","681368","0.0-6.0-9.0","11461","0","","","","","","","","
          <span style=""font-size: 2vw; font-weight:bold;"">Can I play five more rounds of games?</span><br><br>
          <img style = 'width: 10vw;' src=""stim/more-stim/activity-agent.png""> 
        "
"","","","","","instructions","17","686342","0.0-6.0-10.0","4973","","[{""page_index"":0,""viewing_time"":4973}]","","","","","","",""
"","","","","","instructions","18","690828","0.0-6.0-0.1","4485","","[{""page_index"":0,""viewing_time"":4485}]","","","","","","",""
"","","","","","instructions","19","708508","0.0-6.0-1.1","17680","","[{""page_index"":0,""viewing_time"":8742},{""page_index"":1,""viewing_time"":5644},{""page_index"":2,""viewing_time"":3294}]","","","","","","",""
"","","","","","survey-text","20","714304","0.0-6.0-2.1","5786","{""Q0"":""9""}","","","","","","","",""
"","","","","","instructions","21","719515","0.0-6.0-3.1","5211","","[{""page_index"":0,""viewing_time"":5210}]","","","","","","",""
"","","","","","KiN_response","22","730246","0.0-6.0-4.1","","alot","","bedtime","small","failed","[""alittle"",""alot""]","right","",""
"","","","","","instructions","23","750668","0.0-6.0-5.1","20422","","[{""page_index"":0,""viewing_time"":2469},{""page_index"":1,""viewing_time"":3337},{""page_index"":2,""viewing_time"":3997},{""page_index"":3,""viewing_time"":5649},{""page_index"":4,""viewing_time"":4970}]","","","","","","",""
"","","","","","KiN_response","24","762850","0.0-6.0-6.1","","Can I stay up for 10 more minutes after bedtime?","","bedtime","small","failed","[""Can I stay up for 10 more minutes after bedtime?"",""If I wake up early tomorrow, can I stay up for 10 more minutes after bedtime?""]","left","",""
"","","","","","html-button-response","25","776444","0.0-6.0-7.1","13593","2","","","","","","","","
          <span style=""font-size: 2vw; font-weight:bold;"">If I wake up early tomorrow, can I stay up for 10 more minutes after bedtime?</span><br><br>
          <img style = 'width: 10vw;' src=""stim/more-stim/bedtime-agent.png""> 
            "
"","","","","","instructions","26","778326","0.0-6.0-8.1","1881","","[{""page_index"":0,""viewing_time"":1881}]","","","","","","",""
"","","","","","html-button-response","27","791517","0.0-6.0-9.1","13190","0","","","","","","","","
          <span style=""font-size: 2vw; font-weight:bold;"">Can I stay up for 10 more minutes after bedtime?</span><br><br>
          <img style = 'width: 10vw;' src=""stim/more-stim/bedtime-agent.png""> 
        "
"","","","","","instructions","28","796137","0.0-6.0-10.1","4619","","[{""page_index"":0,""viewing_time"":4618}]","","","","","","",""
"","","","","","instructions","29","800848","0.0-6.0-0.2","4711","","[{""page_index"":0,""viewing_time"":4711}]","","","","","","",""
"","","","","","instructions","30","818692","0.0-6.0-1.2","17844","","[{""page_index"":0,""viewing_time"":6653},{""page_index"":1,""viewing_time"":2450},{""page_index"":2,""viewing_time"":2536},{""page_index"":3,""viewing_time"":2777},{""page_index"":4,""viewing_time"":3428}]","","","","","","",""
"","","","","","survey-text","31","823466","0.0-6.0-2.2","4761","{""Q0"":""3""}","","","","","","","",""
"","","","","","instructions","32","828030","0.0-6.0-3.2","4564","","[{""page_index"":0,""viewing_time"":4564}]","","","","","","",""
"","","","","","KiN_response","33","838458","0.0-6.0-4.2","","alittle","","food","small","none","[""alot"",""alittle""]","right","",""
"","","","","","instructions","34","847759","0.0-6.0-5.2","9301","","[{""page_index"":0,""viewing_time"":5533},{""page_index"":1,""viewing_time"":3768}]","","","","","","",""
"","","","","","KiN_response","35","858958","0.0-6.0-6.2","","Can I have one more candy?","","food","small","none","[""Can I have one more candy?"",""If I brush my teeth, can I have one more candy?""]","left","",""
"","","","","","html-button-response","36","871232","0.0-6.0-7.2","12272","2","","","","","","","","
          <span style=""font-size: 2vw; font-weight:bold;"">If I brush my teeth, can I have one more candy?</span><br><br>
          <img style = 'width: 10vw;' src=""stim/more-stim/food-agent.png""> 
            "
"","","","","","instructions","37","873058","0.0-6.0-8.2","1825","","[{""page_index"":0,""viewing_time"":1825}]","","","","","","",""
"","","","","","html-button-response","38","883533","0.0-6.0-9.2","10474","0","","","","","","","","
          <span style=""font-size: 2vw; font-weight:bold;"">Can I have one more candy?</span><br><br>
          <img style = 'width: 10vw;' src=""stim/more-stim/food-agent.png""> 
        "
"","","","","","instructions","39","889933","0.0-6.0-10.2","6398","","[{""page_index"":0,""viewing_time"":6398}]","","","","","","",""
"","","","","","instructions","40","895822","0.0-6.0-0.3","5889","","[{""page_index"":0,""viewing_time"":5889}]","","","","","","",""
"","","","","","instructions","41","908179","0.0-6.0-1.3","12356","","[{""page_index"":0,""viewing_time"":6420},{""page_index"":1,""viewing_time"":3359},{""page_index"":2,""viewing_time"":2577}]","","","","","","",""
"","","","","","survey-text","42","912511","0.0-6.0-2.3","4322","{""Q0"":""1""}","","","","","","","",""
"","","","","","instructions","43","916980","0.0-6.0-3.3","4469","","[{""page_index"":0,""viewing_time"":4469}]","","","","","","",""
"","","","","","KiN_response","44","924880","0.0-6.0-4.3","","alot","","toy","big","failed","[""alot"",""alittle""]","left","",""
"","","","","","instructions","45","949329","0.0-6.0-5.3","24449","","[{""page_index"":0,""viewing_time"":4410},{""page_index"":1,""viewing_time"":4654},{""page_index"":2,""viewing_time"":7634},{""page_index"":3,""viewing_time"":2822},{""page_index"":4,""viewing_time"":4929}]","","","","","","",""
"","","","","","KiN_response","46","958122","0.0-6.0-6.3","","Can I get five more toys?","","toy","big","failed","[""Can I get five more toys?"",""If I share my toys, can I get five more toys?""]","left","",""
"","","","","","html-button-response","47","968117","0.0-6.0-7.3","9995","2","","","","","","","","
          <span style=""font-size: 2vw; font-weight:bold;"">If I share my toys, can I get five more toys?</span><br><br>
          <img style = 'width: 10vw;' src=""stim/more-stim/toy-agent.png""> 
            "
"","","","","","instructions","48","969766","0.0-6.0-8.3","1649","","[{""page_index"":0,""viewing_time"":1648}]","","","","","","",""
"","","","","","html-button-response","49","979631","0.0-6.0-9.3","9863","0","","","","","","","","
          <span style=""font-size: 2vw; font-weight:bold;"">Can I get five more toys?</span><br><br>
          <img style = 'width: 10vw;' src=""stim/more-stim/toy-agent.png""> 
        "
"","","","","","instructions","50","981821","0.0-6.0-10.3","2190","","[{""page_index"":0,""viewing_time"":2190}]","","","","","","",""
