"success","timeout","failed_images","failed_audio","failed_video","trial_type","trial_index","time_elapsed","internal_node_id","rt","response","view_history","scenario","ask_size","interaction_history","buttons","button_pressed","correct","stimulus"
"true","false","[]","[]","[]","preload","0","6","0.0-0.0","","","","","","","","","",""
"","","","","","survey-text","1","6791","0.0-1.0","6783","{""Q0"":""testing""}","","","","","","","",""
"","","","","","instructions","2","7772","0.0-2.0","980","","[{""page_index"":0,""viewing_time"":979}]","","","","","","",""
"","","","","","instructions","3","10466","0.0-3.0-0.0","2693","","[{""page_index"":0,""viewing_time"":1784},{""page_index"":1,""viewing_time"":482},{""page_index"":2,""viewing_time"":427}]","","","","","","",""
"","","","","","KiN_response","4","13901","0.0-3.0-1.0","","Can I get crayons?","","warmup","","","[""Can I get crayons?"",""Can I get a teddy bear?""]","left","true",""
"","","","","","instructions","5","15217","0.0-3.0-2.0","1314","","[{""page_index"":0,""viewing_time"":705},{""page_index"":1,""viewing_time"":609}]","","","","","","",""
"","","","","","instructions","6","16201","0.0-5.0","983","","[{""page_index"":0,""viewing_time"":983}]","","","","","","",""
"","","","","","instructions","7","16859","0.0-6.0-0.0","656","","[{""page_index"":0,""viewing_time"":655}]","","","","","","",""
"","","","","","instructions","8","18296","0.0-6.0-1.0","1436","","[{""page_index"":0,""viewing_time"":599},{""page_index"":1,""viewing_time"":216},{""page_index"":2,""viewing_time"":620}]","","","","","","",""
"","","","","","survey-text","9","20568","0.0-6.0-2.0","2261","{""Q0"":""9""}","","","","","","","",""
"","","","","","instructions","10","21318","0.0-6.0-3.0","749","","[{""page_index"":0,""viewing_time"":748}]","","","","","","",""
"","","","","","KiN_response","11","25231","0.0-6.0-4.0","","alot","","bedtime","big","failed","[""alittle"",""alot""]","right","",""
"","","","","","instructions","12","28019","0.0-6.0-5.0","2787","","[{""page_index"":0,""viewing_time"":764},{""page_index"":1,""viewing_time"":470},{""page_index"":2,""viewing_time"":390},{""page_index"":3,""viewing_time"":679},{""page_index"":4,""viewing_time"":484}]","","","","","","",""
