"success","timeout","failed_images","failed_audio","failed_video","trial_type","trial_index","time_elapsed","internal_node_id","rt","response","view_history","scenario","ask_size","interaction_history","buttons","button_pressed","correct","stimulus"
"true","false","[]","[]","[]","preload","0","787","0.0-0.0","","","","","","","","","",""
"","","","","","survey-text","1","2346253","0.0-1.0","2345602","{""Q0"":""p058""}","","","","","","","",""
"","","","","","instructions","2","2374216","0.0-2.0","27963","","[{""page_index"":0,""viewing_time"":27963}]","","","","","","",""
"","","","","","instructions","3","2388120","0.0-3.0-0.0","13904","","[{""page_index"":0,""viewing_time"":5531},{""page_index"":1,""viewing_time"":3685},{""page_index"":2,""viewing_time"":4687}]","","","","","","",""
"","","","","","KiN_response","4","2408214","0.0-3.0-1.0","","Can I get crayons?","","warmup","","","[""Can I get a teddy bear?"",""Can I get crayons?""]","right","true",""
"","","","","","instructions","5","2416387","0.0-3.0-2.0","8172","","[{""page_index"":0,""viewing_time"":4621},{""page_index"":1,""viewing_time"":3551}]","","","","","","",""
"","","","","","instructions","6","2422801","0.0-5.0","6414","","[{""page_index"":0,""viewing_time"":6414}]","","","","","","",""
"","","","","","instructions","7","2423445","0.0-6.0-0.0","643","","[{""page_index"":0,""viewing_time"":643}]","","","","","","",""
"","","","","","instructions","8","2451256","0.0-6.0-1.0","27811","","[{""page_index"":0,""viewing_time"":15615},{""page_index"":1,""viewing_time"":7836},{""page_index"":2,""viewing_time"":4360}]","","","","","","",""
"","","","","","survey-text","9","2472938","0.0-6.0-2.0","21670","{""Q0"":""i don’t know""}","","","","","","","",""
"","","","","","instructions","10","2479833","0.0-6.0-3.0","6894","","[{""page_index"":0,""viewing_time"":6894}]","","","","","","",""
"","","","","","KiN_response","11","2495656","0.0-6.0-4.0","","alittle","","bedtime","big","failed","[""alot"",""alittle""]","right","",""
"","","","","","instructions","12","2521328","0.0-6.0-5.0","25673","","[{""page_index"":0,""viewing_time"":4252},{""page_index"":1,""viewing_time"":4536},{""page_index"":2,""viewing_time"":5295},{""page_index"":3,""viewing_time"":4787},{""page_index"":4,""viewing_time"":6803}]","","","","","","",""
"","","","","","KiN_response","13","2540850","0.0-6.0-6.0","","If I wake up early tomorrow, can I stay up for 1 more hour after bedtime?","","bedtime","big","failed","[""Can I stay up for 1 more hour after bedtime?"",""If I wake up early tomorrow, can I stay up for 1 more hour after bedtime?""]","right","",""
"","","","","","html-button-response","14","2557007","0.0-6.0-7.0","16155","2","","","","","","","","
          <span style=""font-size: 2vw; font-weight:bold;"">If I wake up early tomorrow, can I stay up for 1 more hour after bedtime?</span><br><br>
          <img style = 'width: 10vw;' src=""stim/more-stim/bedtime-agent.png""> 
            "
"","","","","","instructions","15","2558376","0.0-6.0-8.0","1368","","[{""page_index"":0,""viewing_time"":1368}]","","","","","","",""
"","","","","","html-button-response","16","2570691","0.0-6.0-9.0","12312","0","","","","","","","","
          <span style=""font-size: 2vw; font-weight:bold;"">Can I stay up for 1 more hour after bedtime?</span><br><br>
          <img style = 'width: 10vw;' src=""stim/more-stim/bedtime-agent.png""> 
        "
"","","","","","instructions","17","2576879","0.0-6.0-10.0","6187","","[{""page_index"":0,""viewing_time"":6187}]","","","","","","",""
"","","","","","instructions","18","2577588","0.0-6.0-0.1","707","","[{""page_index"":0,""viewing_time"":707}]","","","","","","",""
"","","","","","instructions","19","2608654","0.0-6.0-1.1","31066","","[{""page_index"":0,""viewing_time"":12514},{""page_index"":1,""viewing_time"":3261},{""page_index"":2,""viewing_time"":4021},{""page_index"":3,""viewing_time"":7152},{""page_index"":4,""viewing_time"":4118}]","","","","","","",""
"","","","","","survey-text","20","2618477","0.0-6.0-2.1","9815","{""Q0"":""2""}","","","","","","","",""
"","","","","","instructions","21","2623779","0.0-6.0-3.1","5301","","[{""page_index"":0,""viewing_time"":5301}]","","","","","","",""
"","","","","","KiN_response","22","2635641","0.0-6.0-4.1","","alittle","","activity","small","none","[""alot"",""alittle""]","right","",""
"","","","","","instructions","23","2647161","0.0-6.0-5.1","11519","","[{""page_index"":0,""viewing_time"":5382},{""page_index"":1,""viewing_time"":6137}]","","","","","","",""
"","","","","","KiN_response","24","2661405","0.0-6.0-6.1","","Can I play one more round of game?","","activity","small","none","[""If I clean my room, can I play one more round of game?"",""Can I play one more round of game?""]","right","",""
"","","","","","html-button-response","25","2670766","0.0-6.0-7.1","9360","0","","","","","","","","
          <span style=""font-size: 2vw; font-weight:bold;"">Can I play one more round of game?</span><br><br>
          <img style = 'width: 10vw;' src=""stim/more-stim/activity-agent.png""> 
            "
"","","","","","instructions","26","2672117","0.0-6.0-8.1","1350","","[{""page_index"":0,""viewing_time"":1350}]","","","","","","",""
"","","","","","html-button-response","27","2682608","0.0-6.0-9.1","10489","0","","","","","","","","
          <span style=""font-size: 2vw; font-weight:bold;"">If I clean my room, can I play one more round of game?</span><br><br>
          <img style = 'width: 10vw;' src=""stim/more-stim/activity-agent.png""> 
        "
"","","","","","instructions","28","2689628","0.0-6.0-10.1","7019","","[{""page_index"":0,""viewing_time"":7019}]","","","","","","",""
"","","","","","instructions","29","2690678","0.0-6.0-0.2","1049","","[{""page_index"":0,""viewing_time"":1049}]","","","","","","",""
"","","","","","instructions","30","2717544","0.0-6.0-1.2","26867","","[{""page_index"":0,""viewing_time"":10648},{""page_index"":1,""viewing_time"":4110},{""page_index"":2,""viewing_time"":3495},{""page_index"":3,""viewing_time"":4319},{""page_index"":4,""viewing_time"":4295}]","","","","","","",""
"","","","","","survey-text","31","2727672","0.0-6.0-2.2","10115","{""Q0"":""3""}","","","","","","","",""
"","","","","","instructions","32","2732071","0.0-6.0-3.2","4399","","[{""page_index"":0,""viewing_time"":4398}]","","","","","","",""
"","","","","","KiN_response","33","2740282","0.0-6.0-4.2","","alot","","food","big","none","[""alittle"",""alot""]","right","",""
"","","","","","instructions","34","2750021","0.0-6.0-5.2","9738","","[{""page_index"":0,""viewing_time"":4244},{""page_index"":1,""viewing_time"":5494}]","","","","","","",""
"","","","","","KiN_response","35","2761836","0.0-6.0-6.2","","Can I have ten more candies?","","food","big","none","[""Can I have ten more candies?"",""If I brush my teeth, can I have ten more candies?""]","left","",""
"","","","","","html-button-response","36","2772855","0.0-6.0-7.2","11017","0","","","","","","","","
          <span style=""font-size: 2vw; font-weight:bold;"">If I brush my teeth, can I have ten more candies?</span><br><br>
          <img style = 'width: 10vw;' src=""stim/more-stim/food-agent.png""> 
            "
"","","","","","instructions","37","2774284","0.0-6.0-8.2","1428","","[{""page_index"":0,""viewing_time"":1428}]","","","","","","",""
"","","","","","html-button-response","38","2783639","0.0-6.0-9.2","9354","2","","","","","","","","
          <span style=""font-size: 2vw; font-weight:bold;"">Can I have ten more candies?</span><br><br>
          <img style = 'width: 10vw;' src=""stim/more-stim/food-agent.png""> 
        "
"","","","","","instructions","39","2791462","0.0-6.0-10.2","7822","","[{""page_index"":0,""viewing_time"":7822}]","","","","","","",""
"","","","","","instructions","40","2792011","0.0-6.0-0.3","549","","[{""page_index"":0,""viewing_time"":548}]","","","","","","",""
"","","","","","instructions","41","2813917","0.0-6.0-1.3","21906","","[{""page_index"":0,""viewing_time"":11957},{""page_index"":1,""viewing_time"":4878},{""page_index"":2,""viewing_time"":5071}]","","","","","","",""
"","","","","","survey-text","42","2823394","0.0-6.0-2.3","9465","{""Q0"":""1""}","","","","","","","",""
"","","","","","instructions","43","2827883","0.0-6.0-3.3","4489","","[{""page_index"":0,""viewing_time"":4489}]","","","","","","",""
"","","","","","KiN_response","44","2846090","0.0-6.0-4.3","","alittle","","toy","small","failed","[""alittle"",""alot""]","left","",""
"","","","","","instructions","45","2868250","0.0-6.0-5.3","22160","","[{""page_index"":0,""viewing_time"":4930},{""page_index"":1,""viewing_time"":3360},{""page_index"":2,""viewing_time"":5161},{""page_index"":3,""viewing_time"":3762},{""page_index"":4,""viewing_time"":4947}]","","","","","","",""
"","","","","","KiN_response","46","2879945","0.0-6.0-6.3","","Can I get one more toy?","","toy","small","failed","[""If I share my toys, can I get one more toy?"",""Can I get one more toy?""]","right","",""
"","","","","","html-button-response","47","2889710","0.0-6.0-7.3","9763","1","","","","","","","","
          <span style=""font-size: 2vw; font-weight:bold;"">Can I get one more toy?</span><br><br>
          <img style = 'width: 10vw;' src=""stim/more-stim/toy-agent.png""> 
            "
"","","","","","instructions","48","2891370","0.0-6.0-8.3","1658","","[{""page_index"":0,""viewing_time"":1658}]","","","","","","",""
"","","","","","html-button-response","49","2902533","0.0-6.0-9.3","11162","1","","","","","","","","
          <span style=""font-size: 2vw; font-weight:bold;"">If I share my toys, can I get one more toy?</span><br><br>
          <img style = 'width: 10vw;' src=""stim/more-stim/toy-agent.png""> 
        "
"","","","","","instructions","50","2913982","0.0-6.0-10.3","11449","","[{""page_index"":0,""viewing_time"":11449}]","","","","","","",""
