"success","timeout","failed_images","failed_audio","failed_video","trial_type","trial_index","time_elapsed","internal_node_id","rt","response","view_history","scenario","ask_size","interaction_history","buttons","button_pressed","correct","stimulus"
"true","false","[]","[]","[]","preload","0","1277","0.0-0.0","","","","","","","","","",""
"","","","","","survey-text","1","235212","0.0-1.0","233943","{""Q0"":""p069""}","","","","","","","",""
"","","","","","instructions","2","259224","0.0-2.0","24011","","[{""page_index"":0,""viewing_time"":24011}]","","","","","","",""
"","","","","","instructions","3","269405","0.0-3.0-0.0","10180","","[{""page_index"":0,""viewing_time"":3893},{""page_index"":1,""viewing_time"":3375},{""page_index"":2,""viewing_time"":2912}]","","","","","","",""
"","","","","","KiN_response","4","285097","0.0-3.0-1.0","","Can I get crayons?","","warmup","","","[""Can I get crayons?"",""Can I get a teddy bear?""]","left","true",""
"","","","","","instructions","5","292043","0.0-3.0-2.0","6945","","[{""page_index"":0,""viewing_time"":5244},{""page_index"":1,""viewing_time"":1701}]","","","","","","",""
"","","","","","instructions","6","298505","0.0-5.0","6460","","[{""page_index"":0,""viewing_time"":6460}]","","","","","","",""
"","","","","","instructions","7","301933","0.0-6.0-0.0","3427","","[{""page_index"":0,""viewing_time"":3427}]","","","","","","",""
"","","","","","instructions","8","319151","0.0-6.0-1.0","17219","","[{""page_index"":0,""viewing_time"":8837},{""page_index"":1,""viewing_time"":5595},{""page_index"":2,""viewing_time"":2786}]","","","","","","",""
"","","","","","survey-text","9","327413","0.0-6.0-2.0","8251","{""Q0"":""9pm""}","","","","","","","",""
"","","","","","instructions","10","334267","0.0-6.0-3.0","6854","","[{""page_index"":0,""viewing_time"":6854}]","","","","","","",""
"","","","","","KiN_response","11","350722","0.0-6.0-4.0","","alittle","","bedtime","small","none","[""alot"",""alittle""]","right","",""
"","","","","","instructions","12","358759","0.0-6.0-5.0","8036","","[{""page_index"":0,""viewing_time"":4023},{""page_index"":1,""viewing_time"":4013}]","","","","","","",""
"","","","","","KiN_response","13","369992","0.0-6.0-6.0","","Can I stay up for 10 more minutes after bedtime?","","bedtime","small","none","[""Can I stay up for 10 more minutes after bedtime?"",""If I wake up early tomorrow, can I stay up for 10 more minutes after bedtime?""]","left","",""
"","","","","","html-button-response","14","381135","0.0-6.0-7.0","11140","1","","","","","","","","
          <span style=""font-size: 2vw; font-weight:bold;"">Can I stay up for 10 more minutes after bedtime?</span><br><br>
          <img style = 'width: 10vw;' src=""stim/more-stim/bedtime-agent.png""> 
            "
"","","","","","instructions","15","384105","0.0-6.0-8.0","2968","","[{""page_index"":0,""viewing_time"":2968}]","","","","","","",""
"","","","","","html-button-response","16","390673","0.0-6.0-9.0","6567","2","","","","","","","","
          <span style=""font-size: 2vw; font-weight:bold;"">If I wake up early tomorrow, can I stay up for 10 more minutes after bedtime?</span><br><br>
          <img style = 'width: 10vw;' src=""stim/more-stim/bedtime-agent.png""> 
        "
"","","","","","instructions","17","395729","0.0-6.0-10.0","5055","","[{""page_index"":0,""viewing_time"":5055}]","","","","","","",""
"","","","","","instructions","18","399953","0.0-6.0-0.1","4223","","[{""page_index"":0,""viewing_time"":4223}]","","","","","","",""
"","","","","","instructions","19","422401","0.0-6.0-1.1","22450","","[{""page_index"":0,""viewing_time"":8080},{""page_index"":1,""viewing_time"":3304},{""page_index"":2,""viewing_time"":4378},{""page_index"":3,""viewing_time"":2668},{""page_index"":4,""viewing_time"":4019}]","","","","","","",""
"","","","","","survey-text","20","429223","0.0-6.0-2.1","6807","{""Q0"":""2""}","","","","","","","",""
"","","","","","instructions","21","434851","0.0-6.0-3.1","5629","","[{""page_index"":0,""viewing_time"":5628}]","","","","","","",""
"","","","","","KiN_response","22","444571","0.0-6.0-4.1","","alittle","","activity","big","failed","[""alot"",""alittle""]","right","",""
"","","","","","instructions","23","465693","0.0-6.0-5.1","21122","","[{""page_index"":0,""viewing_time"":3919},{""page_index"":1,""viewing_time"":3094},{""page_index"":2,""viewing_time"":4486},{""page_index"":3,""viewing_time"":5086},{""page_index"":4,""viewing_time"":4536}]","","","","","","",""
"","","","","","KiN_response","24","475188","0.0-6.0-6.1","","Can I play five more rounds of games?","","activity","big","failed","[""If I clean my room, can I play five more rounds of games?"",""Can I play five more rounds of games?""]","right","",""
"","","","","","html-button-response","25","482267","0.0-6.0-7.1","7077","1","","","","","","","","
          <span style=""font-size: 2vw; font-weight:bold;"">Can I play five more rounds of games?</span><br><br>
          <img style = 'width: 10vw;' src=""stim/more-stim/activity-agent.png""> 
            "
"","","","","","instructions","26","484787","0.0-6.0-8.1","2519","","[{""page_index"":0,""viewing_time"":2519}]","","","","","","",""
"","","","","","html-button-response","27","493367","0.0-6.0-9.1","8578","1","","","","","","","","
          <span style=""font-size: 2vw; font-weight:bold;"">If I clean my room, can I play five more rounds of games?</span><br><br>
          <img style = 'width: 10vw;' src=""stim/more-stim/activity-agent.png""> 
        "
"","","","","","instructions","28","496987","0.0-6.0-10.1","3619","","[{""page_index"":0,""viewing_time"":3619}]","","","","","","",""
