"success","timeout","failed_images","failed_audio","failed_video","trial_type","trial_index","time_elapsed","internal_node_id","rt","response","view_history","scenario","ask_size","interaction_history","buttons","button_pressed","correct","stimulus"
"true","false","[]","[]","[]","preload","0","298","0.0-0.0","","","","","","","","","",""
"","","","","","survey-text","1","4635","0.0-1.0","4330","{""Q0"":""p100""}","","","","","","","",""
"","","","","","instructions","2","18209","0.0-2.0","13573","","[{""page_index"":0,""viewing_time"":13573}]","","","","","","",""
"","","","","","instructions","3","29247","0.0-3.0-0.0","11037","","[{""page_index"":0,""viewing_time"":3890},{""page_index"":1,""viewing_time"":2869},{""page_index"":2,""viewing_time"":4278}]","","","","","","",""
"","","","","","KiN_response","4","38836","0.0-3.0-1.0","","Can I get crayons?","","warmup","","","[""Can I get crayons?"",""Can I get a teddy bear?""]","left","true",""
"","","","","","instructions","5","45340","0.0-3.0-2.0","6503","","[{""page_index"":0,""viewing_time"":4719},{""page_index"":1,""viewing_time"":1783}]","","","","","","",""
"","","","","","instructions","6","50344","0.0-5.0","5002","","[{""page_index"":0,""viewing_time"":5001}]","","","","","","",""
"","","","","","instructions","7","56910","0.0-6.0-0.0","6561","","[{""page_index"":0,""viewing_time"":6561}]","","","","","","",""
"","","","","","instructions","8","78325","0.0-6.0-1.0","21411","","[{""page_index"":0,""viewing_time"":8662},{""page_index"":1,""viewing_time"":2515},{""page_index"":2,""viewing_time"":2888},{""page_index"":3,""viewing_time"":3251},{""page_index"":4,""viewing_time"":4095}]","","","","","","",""
"","","","","","survey-text","9","84573","0.0-6.0-2.0","6234","{""Q0"":""2""}","","","","","","","",""
"","","","","","instructions","10","90141","0.0-6.0-3.0","5567","","[{""page_index"":0,""viewing_time"":5567}]","","","","","","",""
"","","","","","KiN_response","11","100519","0.0-6.0-4.0","","alot","","activity","big","failed","[""alittle"",""alot""]","right","",""
"","","","","","instructions","12","119976","0.0-6.0-5.0","19456","","[{""page_index"":0,""viewing_time"":3879},{""page_index"":1,""viewing_time"":2176},{""page_index"":2,""viewing_time"":3820},{""page_index"":3,""viewing_time"":4345},{""page_index"":4,""viewing_time"":5236}]","","","","","","",""
"","","","","","KiN_response","13","132996","0.0-6.0-6.0","","If I clean my room, can I play five more rounds of games?","","activity","big","failed","[""Can I play five more rounds of games?"",""If I clean my room, can I play five more rounds of games?""]","right","",""
