"success","timeout","failed_images","failed_audio","failed_video","trial_type","trial_index","time_elapsed","internal_node_id","rt","response","view_history","scenario","ask_size","interaction_history","buttons","button_pressed","correct","stimulus"
"true","false","[]","[]","[]","preload","0","2642","0.0-0.0","","","","","","","","","",""
"","","","","","survey-text","1","60100","0.0-1.0","57457","{""Q0"":""p085""}","","","","","","","",""
"","","","","","instructions","2","74438","0.0-2.0","14338","","[{""page_index"":0,""viewing_time"":14338}]","","","","","","",""
"","","","","","instructions","3","84999","0.0-3.0-0.0","10560","","[{""page_index"":0,""viewing_time"":5745},{""page_index"":1,""viewing_time"":3274},{""page_index"":2,""viewing_time"":1540}]","","","","","","",""
"","","","","","KiN_response","4","94229","0.0-3.0-1.0","","Can I get crayons?","","warmup","","","[""Can I get crayons?"",""Can I get a teddy bear?""]","left","true",""
"","","","","","instructions","5","99590","0.0-3.0-2.0","5360","","[{""page_index"":0,""viewing_time"":3267},{""page_index"":1,""viewing_time"":2093}]","","","","","","",""
"","","","","","instructions","6","105986","0.0-5.0","6395","","[{""page_index"":0,""viewing_time"":6395}]","","","","","","",""
"","","","","","instructions","7","109463","0.0-6.0-0.0","3466","","[{""page_index"":0,""viewing_time"":3466}]","","","","","","",""
"","","","","","instructions","8","125197","0.0-6.0-1.0","15733","","[{""page_index"":0,""viewing_time"":8717},{""page_index"":1,""viewing_time"":4740},{""page_index"":2,""viewing_time"":2275}]","","","","","","",""
"","","","","","survey-text","9","133585","0.0-6.0-2.0","8370","{""Q0"":""12""}","","","","","","","",""
"","","","","","instructions","10","139714","0.0-6.0-3.0","6129","","[{""page_index"":0,""viewing_time"":6129}]","","","","","","",""
"","","","","","KiN_response","11","156215","0.0-6.0-4.0","","alot","","bedtime","small","failed","[""alittle"",""alot""]","right","",""
"","","","","","instructions","12","174101","0.0-6.0-5.0","17886","","[{""page_index"":0,""viewing_time"":4218},{""page_index"":1,""viewing_time"":1826},{""page_index"":2,""viewing_time"":3869},{""page_index"":3,""viewing_time"":3669},{""page_index"":4,""viewing_time"":4303}]","","","","","","",""
"","","","","","KiN_response","13","185065","0.0-6.0-6.0","","If I wake up early tomorrow, can I stay up for 10 more minutes after bedtime?","","bedtime","small","failed","[""If I wake up early tomorrow, can I stay up for 10 more minutes after bedtime?"",""Can I stay up for 10 more minutes after bedtime?""]","left","",""
"","","","","","html-button-response","14","198859","0.0-6.0-7.0","13789","2","","","","","","","","
          <span style=""font-size: 2vw; font-weight:bold;"">If I wake up early tomorrow, can I stay up for 10 more minutes after bedtime?</span><br><br>
          <img style = 'width: 10vw;' src=""stim/more-stim/bedtime-agent.png""> 
            "
"","","","","","instructions","15","199999","0.0-6.0-8.0","1140","","[{""page_index"":0,""viewing_time"":1140}]","","","","","","",""
"","","","","","html-button-response","16","207249","0.0-6.0-9.0","7247","2","","","","","","","","
          <span style=""font-size: 2vw; font-weight:bold;"">Can I stay up for 10 more minutes after bedtime?</span><br><br>
          <img style = 'width: 10vw;' src=""stim/more-stim/bedtime-agent.png""> 
        "
"","","","","","instructions","17","209754","0.0-6.0-10.0","2504","","[{""page_index"":0,""viewing_time"":2504}]","","","","","","",""
"","","","","","instructions","18","213574","0.0-6.0-0.1","3819","","[{""page_index"":0,""viewing_time"":3819}]","","","","","","",""
"","","","","","instructions","19","229701","0.0-6.0-1.1","16126","","[{""page_index"":0,""viewing_time"":6487},{""page_index"":1,""viewing_time"":2516},{""page_index"":2,""viewing_time"":1996},{""page_index"":3,""viewing_time"":2241},{""page_index"":4,""viewing_time"":2885}]","","","","","","",""
"","","","","","survey-text","20","235290","0.0-6.0-2.1","5574","{""Q0"":""3""}","","","","","","","",""
"","","","","","instructions","21","239933","0.0-6.0-3.1","4643","","[{""page_index"":0,""viewing_time"":4643}]","","","","","","",""
"","","","","","KiN_response","22","250304","0.0-6.0-4.1","","alittle","","food","big","failed","[""alot"",""alittle""]","right","",""
"","","","","","instructions","23","268523","0.0-6.0-5.1","18218","","[{""page_index"":0,""viewing_time"":5769},{""page_index"":1,""viewing_time"":2167},{""page_index"":2,""viewing_time"":3016},{""page_index"":3,""viewing_time"":3464},{""page_index"":4,""viewing_time"":3802}]","","","","","","",""
"","","","","","KiN_response","24","280288","0.0-6.0-6.1","","If I brush my teeth, can I have ten more candies?","","food","big","failed","[""Can I have ten more candies?"",""If I brush my teeth, can I have ten more candies?""]","right","",""
"","","","","","html-button-response","25","292762","0.0-6.0-7.1","12472","0","","","","","","","","
          <span style=""font-size: 2vw; font-weight:bold;"">If I brush my teeth, can I have ten more candies?</span><br><br>
          <img style = 'width: 10vw;' src=""stim/more-stim/food-agent.png""> 
            "
"","","","","","instructions","26","294112","0.0-6.0-8.1","1349","","[{""page_index"":0,""viewing_time"":1349}]","","","","","","",""
"","","","","","html-button-response","27","307822","0.0-6.0-9.1","13709","2","","","","","","","","
          <span style=""font-size: 2vw; font-weight:bold;"">Can I have ten more candies?</span><br><br>
          <img style = 'width: 10vw;' src=""stim/more-stim/food-agent.png""> 
        "
"","","","","","instructions","28","310264","0.0-6.0-10.1","2441","","[{""page_index"":0,""viewing_time"":2441}]","","","","","","",""
"","","","","","instructions","29","316360","0.0-6.0-0.2","6095","","[{""page_index"":0,""viewing_time"":6095}]","","","","","","",""
"","","","","","instructions","30","335696","0.0-6.0-1.2","19337","","[{""page_index"":0,""viewing_time"":6423},{""page_index"":1,""viewing_time"":3290},{""page_index"":2,""viewing_time"":9623}]","","","","","","",""
"","","","","","survey-text","31","342950","0.0-6.0-2.2","7239","{""Q0"":""1""}","","","","","","","",""
"","","","","","instructions","32","348437","0.0-6.0-3.2","5486","","[{""page_index"":0,""viewing_time"":5486}]","","","","","","",""
"","","","","","KiN_response","33","357475","0.0-6.0-4.2","","alittle","","toy","big","none","[""alittle"",""alot""]","left","",""
"","","","","","instructions","34","363813","0.0-6.0-5.2","6336","","[{""page_index"":0,""viewing_time"":4011},{""page_index"":1,""viewing_time"":2325}]","","","","","","",""
"","","","","","KiN_response","35","376227","0.0-6.0-6.2","","If I share my toys, can I get five more toys?","","toy","big","none","[""Can I get five more toys?"",""If I share my toys, can I get five more toys?""]","right","",""
"","","","","","html-button-response","36","384983","0.0-6.0-7.2","8755","0","","","","","","","","
          <span style=""font-size: 2vw; font-weight:bold;"">Can I get five more toys?</span><br><br>
          <img style = 'width: 10vw;' src=""stim/more-stim/toy-agent.png""> 
            "
"","","","","","instructions","37","386401","0.0-6.0-8.2","1417","","[{""page_index"":0,""viewing_time"":1417}]","","","","","","",""
"","","","","","html-button-response","38","393764","0.0-6.0-9.2","7361","0","","","","","","","","
          <span style=""font-size: 2vw; font-weight:bold;"">If I share my toys, can I get five more toys?</span><br><br>
          <img style = 'width: 10vw;' src=""stim/more-stim/toy-agent.png""> 
        "
"","","","","","instructions","39","395080","0.0-6.0-10.2","1317","","[{""page_index"":0,""viewing_time"":1317}]","","","","","","",""
"","","","","","instructions","40","400525","0.0-6.0-0.3","5444","","[{""page_index"":0,""viewing_time"":5443}]","","","","","","",""
"","","","","","instructions","41","416901","0.0-6.0-1.3","16377","","[{""page_index"":0,""viewing_time"":5911},{""page_index"":1,""viewing_time"":2378},{""page_index"":2,""viewing_time"":2441},{""page_index"":3,""viewing_time"":2853},{""page_index"":4,""viewing_time"":2793}]","","","","","","",""
"","","","","","survey-text","42","423334","0.0-6.0-2.3","6418","{""Q0"":""1""}","","","","","","","",""
"","","","","","instructions","43","428116","0.0-6.0-3.3","4782","","[{""page_index"":0,""viewing_time"":4782}]","","","","","","",""
"","","","","","KiN_response","44","435796","0.0-6.0-4.3","","alittle","","activity","small","none","[""alittle"",""alot""]","left","",""
"","","","","","instructions","45","441750","0.0-6.0-5.3","5954","","[{""page_index"":0,""viewing_time"":2376},{""page_index"":1,""viewing_time"":3578}]","","","","","","",""
"","","","","","KiN_response","46","451852","0.0-6.0-6.3","","If I clean my room, can I play one more round of game?","","activity","small","none","[""If I clean my room, can I play one more round of game?"",""Can I play one more round of game?""]","left","",""
"","","","","","html-button-response","47","462621","0.0-6.0-7.3","10767","0","","","","","","","","
          <span style=""font-size: 2vw; font-weight:bold;"">Can I play one more round of game?</span><br><br>
          <img style = 'width: 10vw;' src=""stim/more-stim/activity-agent.png""> 
            "
"","","","","","instructions","48","463596","0.0-6.0-8.3","974","","[{""page_index"":0,""viewing_time"":974}]","","","","","","",""
"","","","","","html-button-response","49","470450","0.0-6.0-9.3","6852","0","","","","","","","","
          <span style=""font-size: 2vw; font-weight:bold;"">If I clean my room, can I play one more round of game?</span><br><br>
          <img style = 'width: 10vw;' src=""stim/more-stim/activity-agent.png""> 
        "
"","","","","","instructions","50","474184","0.0-6.0-10.3","3733","","[{""page_index"":0,""viewing_time"":3733}]","","","","","","",""
