"success","timeout","failed_images","failed_audio","failed_video","trial_type","trial_index","time_elapsed","internal_node_id","rt","response","view_history","scenario","ask_size","interaction_history","buttons","button_pressed","correct","stimulus"
"true","false","[]","[]","[]","preload","0","1077","0.0-0.0","","","","","","","","","",""
"","","","","","survey-text","1","656650","0.0-1.0","464150","{""Q0"":""p095""}","","","","","","","",""
"","","","","","instructions","2","675509","0.0-2.0","18856","","[{""page_index"":0,""viewing_time"":18856}]","","","","","","",""
"","","","","","instructions","3","683804","0.0-3.0-0.0","8294","","[{""page_index"":0,""viewing_time"":4375},{""page_index"":1,""viewing_time"":1719},{""page_index"":2,""viewing_time"":2200}]","","","","","","",""
"","","","","","KiN_response","4","696087","0.0-3.0-1.0","","Can I get crayons?","","warmup","","","[""Can I get a teddy bear?"",""Can I get crayons?""]","right","true",""
"","","","","","instructions","5","700826","0.0-3.0-2.0","4738","","[{""page_index"":0,""viewing_time"":2603},{""page_index"":1,""viewing_time"":2135}]","","","","","","",""
"","","","","","instructions","6","707390","0.0-5.0","6563","","[{""page_index"":0,""viewing_time"":6562}]","","","","","","",""
"","","","","","instructions","7","710139","0.0-6.0-0.0","2747","","[{""page_index"":0,""viewing_time"":2747}]","","","","","","",""
"","","","","","instructions","8","724941","0.0-6.0-1.0","14799","","[{""page_index"":0,""viewing_time"":7995},{""page_index"":1,""viewing_time"":4412},{""page_index"":2,""viewing_time"":2392}]","","","","","","",""
"","","","","","survey-text","9","734491","0.0-6.0-2.0","9535","{""Q0"":""11""}","","","","","","","",""
"","","","","","instructions","10","738465","0.0-6.0-3.0","3973","","[{""page_index"":0,""viewing_time"":3973}]","","","","","","",""
"","","","","","KiN_response","11","751958","0.0-6.0-4.0","","alot","","bedtime","small","failed","[""alittle"",""alot""]","right","",""
"","","","","","instructions","12","769185","0.0-6.0-5.0","17225","","[{""page_index"":0,""viewing_time"":4736},{""page_index"":1,""viewing_time"":2349},{""page_index"":2,""viewing_time"":3844},{""page_index"":3,""viewing_time"":2727},{""page_index"":4,""viewing_time"":3569}]","","","","","","",""
"","","","","","KiN_response","13","782485","0.0-6.0-6.0","","If I wake up early tomorrow, can I stay up for 10 more minutes after bedtime?","","bedtime","small","failed","[""Can I stay up for 10 more minutes after bedtime?"",""If I wake up early tomorrow, can I stay up for 10 more minutes after bedtime?""]","right","",""
"","","","","","html-button-response","14","797712","0.0-6.0-7.0","15222","2","","","","","","","","
          <span style=""font-size: 2vw; font-weight:bold;"">Can I stay up for 10 more minutes after bedtime?</span><br><br>
          <img style = 'width: 10vw;' src=""stim/more-stim/bedtime-agent.png""> 
            "
"","","","","","instructions","15","799045","0.0-6.0-8.0","1332","","[{""page_index"":0,""viewing_time"":1332}]","","","","","","",""
"","","","","","html-button-response","16","809719","0.0-6.0-9.0","10671","1","","","","","","","","
          <span style=""font-size: 2vw; font-weight:bold;"">If I wake up early tomorrow, can I stay up for 10 more minutes after bedtime?</span><br><br>
          <img style = 'width: 10vw;' src=""stim/more-stim/bedtime-agent.png""> 
        "
"","","","","","instructions","17","811621","0.0-6.0-10.0","1901","","[{""page_index"":0,""viewing_time"":1901}]","","","","","","",""
"","","","","","instructions","18","815741","0.0-6.0-0.1","4118","","[{""page_index"":0,""viewing_time"":4117}]","","","","","","",""
"","","","","","instructions","19","831716","0.0-6.0-1.1","15973","","[{""page_index"":0,""viewing_time"":5975},{""page_index"":1,""viewing_time"":2694},{""page_index"":2,""viewing_time"":2242},{""page_index"":3,""viewing_time"":2295},{""page_index"":4,""viewing_time"":2767}]","","","","","","",""
"","","","","","survey-text","20","837167","0.0-6.0-2.1","5440","{""Q0"":""2""}","","","","","","","",""
"","","","","","instructions","21","841491","0.0-6.0-3.1","4324","","[{""page_index"":0,""viewing_time"":4324}]","","","","","","",""
"","","","","","KiN_response","22","849144","0.0-6.0-4.1","","alot","","activity","big","none","[""alot"",""alittle""]","left","",""
