"success","timeout","failed_images","failed_audio","failed_video","trial_type","trial_index","time_elapsed","internal_node_id","rt","response","view_history","scenario","ask_size","interaction_history","buttons","button_pressed","correct","stimulus"
"true","false","[]","[]","[]","preload","0","2338","0.0-0.0","","","","","","","","","",""
"","","","","","survey-text","1","177804","0.0-1.0","175457","{""Q0"":""p083""}","","","","","","","",""
"","","","","","instructions","2","212622","0.0-2.0","34818","","[{""page_index"":0,""viewing_time"":34818}]","","","","","","",""
"","","","","","instructions","3","224146","0.0-3.0-0.0","11521","","[{""page_index"":0,""viewing_time"":3509},{""page_index"":1,""viewing_time"":3410},{""page_index"":2,""viewing_time"":4602}]","","","","","","",""
"","","","","","KiN_response","4","235228","0.0-3.0-1.0","","Can I get crayons?","","warmup","","","[""Can I get a teddy bear?"",""Can I get crayons?""]","right","true",""
"","","","","","instructions","5","243332","0.0-3.0-2.0","8103","","[{""page_index"":0,""viewing_time"":4934},{""page_index"":1,""viewing_time"":3169}]","","","","","","",""
"","","","","","instructions","6","251621","0.0-5.0","8287","","[{""page_index"":0,""viewing_time"":8287}]","","","","","","",""
"","","","","","instructions","7","253354","0.0-6.0-0.0","1732","","[{""page_index"":0,""viewing_time"":1731}]","","","","","","",""
"","","","","","instructions","8","282655","0.0-6.0-1.0","29301","","[{""page_index"":0,""viewing_time"":15175},{""page_index"":1,""viewing_time"":3461},{""page_index"":2,""viewing_time"":3844},{""page_index"":3,""viewing_time"":3127},{""page_index"":4,""viewing_time"":3694}]","","","","","","",""
"","","","","","survey-text","9","292085","0.0-6.0-2.0","9413","{""Q0"":""2""}","","","","","","","",""
"","","","","","instructions","10","296530","0.0-6.0-3.0","4445","","[{""page_index"":0,""viewing_time"":4445}]","","","","","","",""
"","","","","","KiN_response","11","307245","0.0-6.0-4.0","","alot","","activity","small","failed","[""alittle"",""alot""]","right","",""
