"success","timeout","failed_images","failed_audio","failed_video","trial_type","trial_index","time_elapsed","internal_node_id","rt","response","view_history","scenario","ask_size","interaction_history","buttons","button_pressed","correct","stimulus"
"true","false","[]","[]","[]","preload","0","611","0.0-0.0","","","","","","","","","",""
"","","","","","survey-text","1","21638","0.0-1.0","21023","{""Q0"":""p052""}","","","","","","","",""
"","","","","","instructions","2","36854","0.0-2.0","15216","","[{""page_index"":0,""viewing_time"":15216}]","","","","","","",""
"","","","","","instructions","3","59867","0.0-3.0-0.0","23013","","[{""page_index"":0,""viewing_time"":15597},{""page_index"":1,""viewing_time"":2864},{""page_index"":2,""viewing_time"":4552}]","","","","","","",""
"","","","","","KiN_response","4","72748","0.0-3.0-1.0","","Can I get crayons?","","warmup","","","[""Can I get crayons?"",""Can I get a teddy bear?""]","left","true",""
"","","","","","instructions","5","81912","0.0-3.0-2.0","9165","","[{""page_index"":0,""viewing_time"":6648},{""page_index"":1,""viewing_time"":2516}]","","","","","","",""
"","","","","","instructions","6","93001","0.0-5.0","11088","","[{""page_index"":0,""viewing_time"":11088}]","","","","","","",""
"","","","","","instructions","7","96021","0.0-6.0-0.0","3019","","[{""page_index"":0,""viewing_time"":3018}]","","","","","","",""
"","","","","","instructions","8","113146","0.0-6.0-1.0","17125","","[{""page_index"":0,""viewing_time"":9379},{""page_index"":1,""viewing_time"":5145},{""page_index"":2,""viewing_time"":2601}]","","","","","","",""
"","","","","","survey-text","9","123952","0.0-6.0-2.0","10795","{""Q0"":""9""}","","","","","","","",""
"","","","","","instructions","10","129898","0.0-6.0-3.0","5946","","[{""page_index"":0,""viewing_time"":5946}]","","","","","","",""
"","","","","","KiN_response","11","140373","0.0-6.0-4.0","","alot","","bedtime","small","none","[""alittle"",""alot""]","right","",""
"","","","","","instructions","12","148718","0.0-6.0-5.0","8344","","[{""page_index"":0,""viewing_time"":3633},{""page_index"":1,""viewing_time"":4711}]","","","","","","",""
"","","","","","KiN_response","13","165936","0.0-6.0-6.0","","If I wake up early tomorrow, can I stay up for 10 more minutes after bedtime?","","bedtime","small","none","[""Can I stay up for 10 more minutes after bedtime?"",""If I wake up early tomorrow, can I stay up for 10 more minutes after bedtime?""]","right","",""
"","","","","","html-button-response","14","178303","0.0-6.0-7.0","12366","1","","","","","","","","
          <span style=""font-size: 2vw; font-weight:bold;"">If I wake up early tomorrow, can I stay up for 10 more minutes after bedtime?</span><br><br>
          <img style = 'width: 10vw;' src=""stim/more-stim/bedtime-agent.png""> 
            "
"","","","","","instructions","15","180219","0.0-6.0-8.0","1915","","[{""page_index"":0,""viewing_time"":1914}]","","","","","","",""
"","","","","","html-button-response","16","219486","0.0-6.0-9.0","39268","1","","","","","","","","
          <span style=""font-size: 2vw; font-weight:bold;"">Can I stay up for 10 more minutes after bedtime?</span><br><br>
          <img style = 'width: 10vw;' src=""stim/more-stim/bedtime-agent.png""> 
        "
"","","","","","instructions","17","224010","0.0-6.0-10.0","4524","","[{""page_index"":0,""viewing_time"":4524}]","","","","","","",""
"","","","","","instructions","18","227952","0.0-6.0-0.1","3941","","[{""page_index"":0,""viewing_time"":3941}]","","","","","","",""
"","","","","","instructions","19","246998","0.0-6.0-1.1","19046","","[{""page_index"":0,""viewing_time"":6497},{""page_index"":1,""viewing_time"":3193},{""page_index"":2,""viewing_time"":2903},{""page_index"":3,""viewing_time"":2972},{""page_index"":4,""viewing_time"":3481}]","","","","","","",""
"","","","","","survey-text","20","255719","0.0-6.0-2.1","8714","{""Q0"":""3""}","","","","","","","",""
"","","","","","instructions","21","261624","0.0-6.0-3.1","5905","","[{""page_index"":0,""viewing_time"":5905}]","","","","","","",""
"","","","","","KiN_response","22","267193","0.0-6.0-4.1","","alot","","food","big","none","[""alot"",""alittle""]","left","",""
"","","","","","instructions","23","276090","0.0-6.0-5.1","8897","","[{""page_index"":0,""viewing_time"":4554},{""page_index"":1,""viewing_time"":4343}]","","","","","","",""
"","","","","","KiN_response","24","287946","0.0-6.0-6.1","","If I brush my teeth, can I have ten more candies?","","food","big","none","[""Can I have ten more candies?"",""If I brush my teeth, can I have ten more candies?""]","right","",""
"","","","","","html-button-response","25","296819","0.0-6.0-7.1","8871","1","","","","","","","","
          <span style=""font-size: 2vw; font-weight:bold;"">If I brush my teeth, can I have ten more candies?</span><br><br>
          <img style = 'width: 10vw;' src=""stim/more-stim/food-agent.png""> 
            "
