"","participant_id","attn_check","dv","ask_size_check","scenario","ask_size","interaction_history","direct_likelihood","negotiation_likelihood","likelihood_q_order","date","gender","experimenter","age_day_of","negotiating_request"
"1","p065","idk","Can I stay up for 10 more minutes after bedtime?","alot","bedtime","small","none","2","1",2,"3/25/26","M","AL",6,0
"2","p065","3","If I brush my teeth, can I have ten more candies?","alot","food","big","failed","2","1",2,"3/25/26","M","AL",6,1
"3","p065","2","If I clean my room, can I play one more round of game?","alittle","activity","small","failed","2","1",1,"3/25/26","M","AL",6,1
"4","p065","1","If I share my toys, can I get five more toys?","alittle","toy","big","none","1","0",1,"3/25/26","M","AL",6,1
"5","p074","1","If I share my toys, can I get five more toys?","alot","toy","big","failed","2","1",1,"4/9/26","F","US",4,1
"6","p074","7","If I wake up early tomorrow, can I stay up for 1 more hour after bedtime?","alot","bedtime","big","none","2","2",2,"4/9/26","F","US",4,1
"7","p074","1","If I brush my teeth, can I have one more candy?","alot","food","small","failed","2","2",1,"4/9/26","F","US",4,1
"8","p074","2","If I clean my room, can I play one more round of game?","alittle","activity","small","none","2","2",2,"4/9/26","F","US",4,1
"9","p076","3","Can I have one more candy?","alittle","food","small","failed","2","1",2,"4/9/26","F","US",5,0
"10","p076","7:30","Can I stay up for 1 more hour after bedtime?","alot","bedtime","big","none","1","2",1,"4/9/26","F","US",5,0
"11","p076","1","Can I get five more toys?","alittle","toy","big","failed","1","0",1,"4/9/26","F","US",5,0
"12","p076","2","Can I play one more round of game?","alittle","activity","small","none","1","1",1,"4/9/26","F","US",5,0
"13","p093","9","Can I stay up for 10 more minutes after bedtime?","alittle","bedtime","small","none","0","2",1,"4/16/26","F","AL",4,0
"14","p093","1","If I share my toys, can I get five more toys?","alittle","toy","big","failed","0","2",1,"4/16/26","F","AL",4,1
"15","p093","1","If I brush my teeth, can I have ten more candies?","alot","food","big","none","0","0",1,"4/16/26","F","AL",4,1
"16","p093","2","If I clean my room, can I play one more round of game?","alot","activity","small","failed","0","0",2,"4/16/26","F","AL",4,1
"17","p092","9pm","Can I stay up for 1 more hour after bedtime?","alot","bedtime","big","failed","0","0",2,"4/16/26","M","AL",4,0
"18","p092","3","If I brush my teeth, can I have ten more candies?","alittle","food","big","none","0","0",1,"4/16/26","M","AL",4,1
"19","p092","2","If I clean my room, can I play one more round of game?","alittle","activity","small","none","0","0",1,"4/16/26","M","AL",4,1
"20","p092","1","If I share my toys, can I get one more toy?","alittle","toy","small","failed","1","0",1,"4/16/26","M","AL",4,1
"21","p089","1","If I share my toys, can I get one more toy?","alittle","toy","small","failed","0","1",1,"4/14/26","F","CS",5,1
"22","p089","i forget","If I wake up early tomorrow, can I stay up for 10 more minutes after bedtime?","alot","bedtime","small","none","1","1",2,"4/14/26","F","CS",5,1
"23","p089","3","If I brush my teeth, can I have ten more candies?","alot","food","big","failed","2","1",2,"4/14/26","F","CS",5,1
"24","p089","2","If I clean my room, can I play five more rounds of games?","alittle","activity","big","none","2","1",2,"4/14/26","F","CS",5,1
"25","p063","9pm","If I wake up early tomorrow, can I stay up for 1 more hour after bedtime?","alot","bedtime","big","failed","1","1",1,"3/25/26","M","AL",7,1
"26","p063","2","If I clean my room, can I play one more round of game?","alittle","activity","small","failed","1","0",1,"3/25/26","M","AL",7,1
"27","p063","1","If I share my toys, can I get one more toy?","alittle","toy","small","none","1","0",1,"3/25/26","M","AL",7,1
"28","p063","3","If I brush my teeth, can I have ten more candies?","alot","food","big","none","2","1",1,"3/25/26","M","AL",7,1
"29","p079","9","Can I stay up for 1 more hour after bedtime?","alot","bedtime","big","failed","1","2",2,"4/9/26","F","US",7,0
"30","p079","1","If I share my toys, can I get one more toy?","alot","toy","small","failed","2","1",1,"4/9/26","F","US",7,1
"31","p079","3","If I brush my teeth, can I have one more candy?","alittle","food","small","none","2","1",1,"4/9/26","F","US",7,1
"32","p079","2","If I clean my room, can I play five more rounds of games?","alot","activity","big","none","2","1",1,"4/9/26","F","US",7,1
"33","p061","1","If I share my toys, can I get five more toys?","alot","toy","big","failed","2","1",2,"3/25/26","F","US",7,1
"34","p061","3","If I brush my teeth, can I have one more candy?","alot","food","small","failed","2","2",1,"3/25/26","F","US",7,1
"35","p061","9","Can I stay up for 10 more minutes after bedtime?","alot","bedtime","small","none","2","2",1,"3/25/26","F","US",7,0
"36","p061","2","If I clean my room, can I play five more rounds of games?","alot","activity","big","none","2","2",1,"3/25/26","F","US",7,1
"37","p057","3","Can I have ten more candies?","alot","food","big","failed","1","2",2,"3/18/26","F","US",6,0
"38","p057","9","If I wake up early tomorrow, can I stay up for 1 more hour after bedtime?","alot","bedtime","big","none","2","1",1,"3/18/26","F","US",6,1
"39","p057","1","If I share my toys, can I get one more toy?","alittle","toy","small","failed","1","0",1,"3/18/26","F","US",6,1
"40","p057"," 2","If I clean my room, can I play one more round of game?","alot","activity","small","none","1","0",1,"3/18/26","F","US",6,1
"41","p045","2","If I clean my room, can I play five more rounds of games?","alot","activity","big","failed","0","1",2,"2/27/26","F","US",4,1
"42","p045","1","If I share my toys, can I get five more toys?","alot","toy","big","none","0","0",1,"2/27/26","F","US",4,1
"43","p045","sun goes got","If I wake up early tomorrow, can I stay up for 10 more minutes after bedtime?","alot","bedtime","small","none","0","0",2,"2/27/26","F","US",4,1
"44","p045","3","If I brush my teeth, can I have one more candy?","alittle","food","small","failed","0","0",2,"2/27/26","F","US",4,1
"45","p087","2","If I clean my room, can I play five more rounds of games?","alot","activity","big","none","1","1",2,"4/14/26","F","CS",6,1
"46","p087","3","Can I have one more candy?","alittle","food","small","none","1","1",2,"4/14/26","F","CS",6,0
"47","p087","9","Can I stay up for 10 more minutes after bedtime?","alot","bedtime","small","failed","2","2",2,"4/14/26","F","CS",6,0
"48","p087","1","Can I get five more toys?","alot","toy","big","failed","1","1",1,"4/14/26","F","CS",6,0
"49","p050","1","If I share my toys, can I get five more toys?","alittle","toy","big","none","0","0",2,"3/11/26","F","MC",5,1
"50","p050","1","If I brush my teeth, can I have ten more candies?","alot","food","big","failed","1","1",2,"3/11/26","F","MC",5,1
"51","p050","9","If I wake up early tomorrow, can I stay up for 10 more minutes after bedtime?","alittle","bedtime","small","failed","1","1",2,"3/11/26","F","MC",5,1
"52","p050","8","If I clean my room, can I play one more round of game?","alittle","activity","small","none","2","2",2,"3/11/26","F","MC",5,1
"53","p073","3","Can I have ten more candies?","alot","food","big","none","1","2",2,"4/2/26","F","AL",8,0
"54","p073","2","If I clean my room, can I play five more rounds of games?","alot","activity","big","failed","1","2",2,"4/2/26","F","AL",8,1
"55","p073","9pm","Can I stay up for 10 more minutes after bedtime?","alot","bedtime","small","failed","1","2",1,"4/2/26","F","AL",8,0
"56","p073","1","If I share my toys, can I get one more toy?","alittle","toy","small","none","2","1",2,"4/2/26","F","AL",8,1
"57","p086","1","If I share my toys, can I get five more toys?","alot","toy","big","none","0","0",2,"4/14/26","M","MC",8,1
"58","p086","9:00","If I wake up early tomorrow, can I stay up for 10 more minutes after bedtime?","alot","bedtime","small","failed","1","1",2,"4/14/26","M","MC",8,1
"59","p086","2","Can I play one more round of game?","alittle","activity","small","none","0","0",2,"4/14/26","M","MC",8,0
"60","p086","3","If I brush my teeth, can I have ten more candies?","alot","food","big","failed","2","0",2,"4/14/26","M","MC",8,1
"61","p080","5","Can I get one more toy?","alittle","toy","small","failed","0","2",1,"4/9/26","M","US",4,0
"62","p080","3","Can I have ten more candies?","alot","food","big","none","0","1",2,"4/9/26","M","US",4,0
"63","p080","4","Can I play five more rounds of games?","alittle","activity","big","failed","0","1",1,"4/9/26","M","US",4,0
"64","p080","4","Can I stay up for 10 more minutes after bedtime?","alot","bedtime","small","none","2","2",2,"4/9/26","M","US",4,0
"65","p068","2","If I clean my room, can I play five more rounds of games?","alot","activity","big","none","0","0",2,"4/2/26","F","AL",4,1
"66","p068","1","If I share my toys, can I get one more toy?","alittle","toy","small","failed","0","0",1,"4/2/26","F","AL",4,1
"67","p068","3","Can I have ten more candies?","alot","food","big","failed","0","0",2,"4/2/26","F","AL",4,0
"68","p068","idk","Can I stay up for 10 more minutes after bedtime?","alittle","bedtime","small","none","0","0",1,"4/2/26","F","AL",4,0
"69","p049","3","Can I have ten more candies?","alot","food","big","none","2","2",1,"3/6/26","F","CS",4,0
"70","p049","1","If I share my toys, can I get one more toy?","alittle","toy","small","none","0","0",2,"3/6/26","F","CS",4,1
"71","p049","9pm","Can I stay up for 1 more hour after bedtime?","alittle","bedtime","big","failed","2","2",2,"3/6/26","F","CS",4,0
"72","p049","2","If I clean my room, can I play one more round of game?","alot","activity","small","failed","2","2",1,"3/6/26","F","CS",4,1
"73","p054","3","If I brush my teeth, can I have ten more candies?","alot","food","big","none","0","1",2,"3/18/26","F","US",8,1
"74","p054","1","If I share my toys, can I get one more toy?","alittle","toy","small","none","1","0",1,"3/18/26","F","US",8,1
"75","p054","2","If I clean my room, can I play five more rounds of games?","alot","activity","big","failed","2","0",2,"3/18/26","F","US",8,1
"76","p054","9","If I wake up early tomorrow, can I stay up for 10 more minutes after bedtime?","alot","bedtime","small","failed","2","1",1,"3/18/26","F","US",8,1
"77","p066","1","If I share my toys, can I get five more toys?","alot","toy","big","failed","2","0",1,"4/2/26","F","AL",7,1
"78","p066","idk","Can I stay up for 1 more hour after bedtime?","alot","bedtime","big","none","2","1",2,"4/2/26","F","AL",7,0
"79","p066","2","If I clean my room, can I play one more round of game?","alittle","activity","small","failed","1","1",2,"4/2/26","F","AL",7,1
"80","p066","3","If I brush my teeth, can I have one more candy?","alot","food","small","none","1","0",1,"4/2/26","F","AL",7,1
"81","p051","2","If I clean my room, can I play five more rounds of games?","alot","activity","big","failed","0","1",1,"3/11/26","F","MC",6,1
"82","p051","1","If I share my toys, can I get one more toy?","alittle","toy","small","failed","0","0",1,"3/11/26","F","MC",6,1
"83","p051","3","If I brush my teeth, can I have one more candy?","alot","food","small","none","2","1",1,"3/11/26","F","MC",6,1
"84","p051","10","If I wake up early tomorrow, can I stay up for 1 more hour after bedtime?","alot","bedtime","big","none","0","1",2,"3/11/26","F","MC",6,1
"85","p062","3","Can I have ten more candies?","alot","food","big","none","1","1",2,"3/25/26","F","AL",5,0
"86","p062","9pm","Can I stay up for 10 more minutes after bedtime?","alot","bedtime","small","none","1","2",1,"3/25/26","F","AL",5,0
"87","p062","2","Can I play five more rounds of games?","alittle","activity","big","failed","1","1",2,"3/25/26","F","AL",5,0
"88","p062","1","Can I get one more toy?","alittle","toy","small","failed","2","2",2,"3/25/26","F","AL",5,0
"89","p082","1","Can I get one more toy?","alittle","toy","small","none","1","1",2,"4/9/26","F","US",5,0
"90","p082","3","Can I have one more candy?","alittle","food","small","failed","0","1",1,"4/9/26","F","US",5,0
"91","p082","303","Can I stay up for 1 more hour after bedtime?","alot","bedtime","big","failed","1","2",2,"4/9/26","F","US",5,0
"92","p082","2","Can I play five more rounds of games?","alot","activity","big","none","1","1",2,"4/9/26","F","US",5,0
"93","p060","1","If I share my toys, can I get five more toys?","alot","toy","big","failed","2","1",1,"3/25/26","F","US",6,1
"94","p060","2","If I clean my room, can I play one more round of game?","alittle","activity","small","none","1","0",2,"3/25/26","F","US",6,1
"95","p060","8","If I wake up early tomorrow, can I stay up for 10 more minutes after bedtime?","alot","bedtime","small","failed","2","1",1,"3/25/26","F","US",6,1
"96","p060","3","Can I have ten more candies?","alot","food","big","none","1","2",1,"3/25/26","F","US",6,0
"97","p072","9","Can I stay up for 10 more minutes after bedtime?","alittle","bedtime","small","failed","1","1",1,"4/2/26","F","CS",5,0
"98","p072","1","If I clean my room, can I play five more rounds of games?","alittle","activity","big","failed","1","1",2,"4/2/26","F","CS",5,1
"99","p072","1","If I share my toys, can I get one more toy?","alittle","toy","small","none","2","1",2,"4/2/26","F","CS",5,1
"100","p072","3","Can I have ten more candies?","alot","food","big","none","1","2",1,"4/2/26","F","CS",5,0
"101","p081","3","If I brush my teeth, can I have ten more candies?","alot","food","big","none","1","1",1,"4/9/26","F","CS",8,1
"102","p081","3","If I clean my room, can I play one more round of game?","alittle","activity","small","failed","0","0",2,"4/9/26","F","CS",8,1
"103","p081","9:01","Can I stay up for 1 more hour after bedtime?","alot","bedtime","big","failed","2","1",1,"4/9/26","F","CS",8,0
"104","p081","1","If I share my toys, can I get one more toy?","alittle","toy","small","none","1","1",1,"4/9/26","F","CS",8,1
"105","p094","1","If I share my toys, can I get five more toys?","alot","toy","big","failed","1","1",2,"4/16/26","F","AL",6,1
"106","p094","2","If I clean my room, can I play five more rounds of games?","alot","activity","big","none","0","0",1,"4/16/26","F","AL",6,1
"107","p094","3","If I brush my teeth, can I have one more candy?","alittle","food","small","failed","2","2",1,"4/16/26","F","AL",6,1
"108","p094","9pm","If I wake up early tomorrow, can I stay up for 10 more minutes after bedtime?","alot","bedtime","small","none","0","0",2,"4/16/26","F","AL",6,1
"109","p077","2","If I clean my room, can I play one more round of game?","alot","activity","small","failed","0","1",1,"4/9/26","M","CS",6,1
"110","p077","9","If I wake up early tomorrow, can I stay up for 1 more hour after bedtime?","alot","bedtime","big","none","2","1",2,"4/9/26","M","CS",6,1
"111","p077","1","If I share my toys, can I get five more toys?","alot","toy","big","failed","2","0",1,"4/9/26","M","CS",6,1
"112","p077","3","If I brush my teeth, can I have one more candy?","alot","food","small","none","2","0",1,"4/9/26","M","CS",6,1
"113","p047","2","Can I play five more rounds of games?","alot","activity","big","none","0","2",2,"2/27/26","M","MC",6,0
"114","p047","9","Can I stay up for 10 more minutes after bedtime?","alot","bedtime","small","failed","0","2",2,"2/27/26","M","MC",6,0
"115","p047","3","Can I have one more candy?","alittle","food","small","none","0","2",2,"2/27/26","M","MC",6,0
"116","p047","1","Can I get five more toys?","alot","toy","big","failed","0","2",2,"2/27/26","M","MC",6,0
"117","p088","1","Can I get one more toy?","alittle","toy","small","none","1","1",2,"4/14/26","M","CS",8,0
"118","p088","9","Can I stay up for 1 more hour after bedtime?","alot","bedtime","big","failed","2","2",1,"4/14/26","M","CS",8,0
"119","p088","4","If I clean my room, can I play one more round of game?","alittle","activity","small","failed","2","1",1,"4/14/26","M","CS",8,1
"120","p088","3","If I brush my teeth, can I have ten more candies?","alot","food","big","none","2","1",1,"4/14/26","M","CS",8,1
"121","p055","1","If I share my toys, can I get one more toy?","alittle","toy","small","none","1","1",2,"3/18/26","M","US",7,1
"122","p055","9","Can I stay up for 1 more hour after bedtime?","alot","bedtime","big","failed","1","2",1,"3/18/26","M","US",7,0
"123","p055","2","If I clean my room, can I play five more rounds of games?","alot","activity","big","none","1","1",2,"3/18/26","M","US",7,1
"124","p055","3","If I brush my teeth, can I have one more candy?","alittle","food","small","failed","2","1",1,"3/18/26","M","US",7,1
"125","p044","3","Can I have ten more candies?","alot","food","big","none","2","2",1,"2/27/26","F","US",6,0
"126","p044","9","Can I stay up for 1 more hour after bedtime?","alot","bedtime","big","failed","2","2",1,"2/27/26","F","US",6,0
"127","p044","2","Can I play one more round of game?","alittle","activity","small","none","2","2",2,"2/27/26","F","US",6,0
"128","p044","1","Can I get one more toy?","alittle","toy","small","failed","2","2",2,"2/27/26","F","US",6,0
"129","p064","3","If I brush my teeth, can I have ten more candies?","alot","food","big","failed","2","1",2,"3/25/26","F","AL",7,1
"130","p064","1","If I share my toys, can I get one more toy?","alittle","toy","small","failed","1","1",2,"3/25/26","F","AL",7,1
"131","p064","2","If I clean my room, can I play five more rounds of games?","alot","activity","big","none","2","1",2,"3/25/26","F","AL",7,1
"132","p064","9pm","If I wake up early tomorrow, can I stay up for 10 more minutes after bedtime?","alot","bedtime","small","none","2","1",2,"3/25/26","F","AL",7,1
"133","p058","i don’t know","If I wake up early tomorrow, can I stay up for 1 more hour after bedtime?","alittle","bedtime","big","failed","0","2",2,"3/18/26","F","US",4,1
"134","p058","2","Can I play one more round of game?","alittle","activity","small","none","0","0",1,"3/18/26","F","US",4,0
"135","p058","3","Can I have ten more candies?","alot","food","big","none","2","0",2,"3/18/26","F","US",4,0
"136","p058","1","Can I get one more toy?","alittle","toy","small","failed","1","1",1,"3/18/26","F","US",4,0
"137","p069","9pm","Can I stay up for 10 more minutes after bedtime?","alittle","bedtime","small","none","1","2",1,"4/2/26","M","CS",6,0
"138","p069","2","Can I play five more rounds of games?","alittle","activity","big","failed","1","1",1,"4/2/26","M","CS",6,0
"139","p069","3","If I brush my teeth, can I have ten more candies?","alittle","food","big","none","1","0",1,"4/2/26","M","CS",6,1
"140","p069","1","Can I get one more toy?","alittle","toy","small","failed","1","1",1,"4/2/26","M","CS",6,0
"141","p056","3","Can I have ten more candies?","alot","food","big","none","1","2",1,"3/18/26","F","US",8,0
"142","p056","1","If I share my toys, can I get one more toy?","alittle","toy","small","failed","1","1",1,"3/18/26","F","US",8,1
"143","p056","2","If I clean my room, can I play five more rounds of games?","alot","activity","big","failed","2","1",2,"3/18/26","F","US",8,1
"144","p056","9","If I wake up early tomorrow, can I stay up for 10 more minutes after bedtime?","alot","bedtime","small","none","2","1",1,"3/18/26","F","US",8,1
"145","p046","9","If I wake up early tomorrow, can I stay up for 10 more minutes after bedtime?","alot","bedtime","small","none","1","1",2,"2/27/26","M","MC",8,1
"146","p046","3","If I brush my teeth, can I have ten more candies?","alot","food","big","none","1","2",2,"2/27/26","M","MC",8,1
"147","p046","2","If I clean my room, can I play five more rounds of games?","alittle","activity","big","failed","0","2",1,"2/27/26","M","MC",8,1
