"success","timeout","failed_images","failed_audio","failed_video","trial_type","trial_index","time_elapsed","internal_node_id","rt","response","view_history","scenario","ask_size","interaction_history","buttons","button_pressed","correct","stimulus"
"true","false","[]","[]","[]","preload","0","17","0.0-0.0","","","","","","","","","",""
"","","","","","survey-text","1","4019","0.0-1.0","4000","{""Q0"":""p089""}","","","","","","","",""
"","","","","","instructions","2","20709","0.0-2.0","16690","","[{""page_index"":0,""viewing_time"":16685}]","","","","","","",""
"","","","","","instructions","3","29667","0.0-3.0-0.0","8957","","[{""page_index"":0,""viewing_time"":3235},{""page_index"":1,""viewing_time"":2843},{""page_index"":2,""viewing_time"":2878}]","","","","","","",""
"","","","","","KiN_response","4","39621","0.0-3.0-1.0","","Can I get crayons?","","warmup","","","[""Can I get crayons?"",""Can I get a teddy bear?""]","left","true",""
"","","","","","instructions","5","44874","0.0-3.0-2.0","5251","","[{""page_index"":0,""viewing_time"":3350},{""page_index"":1,""viewing_time"":1901}]","","","","","","",""
"","","","","","instructions","6","49668","0.0-5.0","4794","","[{""page_index"":0,""viewing_time"":4793}]","","","","","","",""
"","","","","","instructions","7","52895","0.0-6.0-0.0","3225","","[{""page_index"":0,""viewing_time"":3225}]","","","","","","",""
"","","","","","instructions","8","63134","0.0-6.0-1.0","10238","","[{""page_index"":0,""viewing_time"":5578},{""page_index"":1,""viewing_time"":2551},{""page_index"":2,""viewing_time"":2109}]","","","","","","",""
"","","","","","survey-text","9","70006","0.0-6.0-2.0","6860","{""Q0"":""1""}","","","","","","","",""
"","","","","","instructions","10","73832","0.0-6.0-3.0","3825","","[{""page_index"":0,""viewing_time"":3825}]","","","","","","",""
"","","","","","KiN_response","11","82890","0.0-6.0-4.0","","alittle","","toy","small","failed","[""alittle"",""alot""]","left","",""
"","","","","","instructions","12","96662","0.0-6.0-5.0","13772","","[{""page_index"":0,""viewing_time"":3256},{""page_index"":1,""viewing_time"":1901},{""page_index"":2,""viewing_time"":2694},{""page_index"":3,""viewing_time"":2829},{""page_index"":4,""viewing_time"":3091}]","","","","","","",""
"","","","","","KiN_response","13","104081","0.0-6.0-6.0","","If I share my toys, can I get one more toy?","","toy","small","failed","[""If I share my toys, can I get one more toy?"",""Can I get one more toy?""]","left","",""
"","","","","","html-button-response","14","110458","0.0-6.0-7.0","6374","0","","","","","","","","
          <span style=""font-size: 2vw; font-weight:bold;"">Can I get one more toy?</span><br><br>
          <img style = 'width: 10vw;' src=""stim/more-stim/toy-agent.png""> 
            "
"","","","","","instructions","15","111554","0.0-6.0-8.0","1095","","[{""page_index"":0,""viewing_time"":1095}]","","","","","","",""
"","","","","","html-button-response","16","116638","0.0-6.0-9.0","5082","1","","","","","","","","
          <span style=""font-size: 2vw; font-weight:bold;"">If I share my toys, can I get one more toy?</span><br><br>
          <img style = 'width: 10vw;' src=""stim/more-stim/toy-agent.png""> 
        "
"","","","","","instructions","17","118832","0.0-6.0-10.0","2193","","[{""page_index"":0,""viewing_time"":2193}]","","","","","","",""
"","","","","","instructions","18","124153","0.0-6.0-0.1","5319","","[{""page_index"":0,""viewing_time"":5319}]","","","","","","",""
"","","","","","instructions","19","138961","0.0-6.0-1.1","14809","","[{""page_index"":0,""viewing_time"":7962},{""page_index"":1,""viewing_time"":4361},{""page_index"":2,""viewing_time"":2486}]","","","","","","",""
"","","","","","survey-text","20","149278","0.0-6.0-2.1","10314","{""Q0"":""i forget""}","","","","","","","",""
"","","","","","instructions","21","153948","0.0-6.0-3.1","4673","","[{""page_index"":0,""viewing_time"":4673}]","","","","","","",""
"","","","","","KiN_response","22","161383","0.0-6.0-4.1","","alot","","bedtime","small","none","[""alot"",""alittle""]","left","",""
"","","","","","instructions","23","170788","0.0-6.0-5.1","9408","","[{""page_index"":0,""viewing_time"":5086},{""page_index"":1,""viewing_time"":4321}]","","","","","","",""
"","","","","","KiN_response","24","179196","0.0-6.0-6.1","","If I wake up early tomorrow, can I stay up for 10 more minutes after bedtime?","","bedtime","small","none","[""If I wake up early tomorrow, can I stay up for 10 more minutes after bedtime?"",""Can I stay up for 10 more minutes after bedtime?""]","left","",""
"","","","","","html-button-response","25","184272","0.0-6.0-7.1","5074","1","","","","","","","","
          <span style=""font-size: 2vw; font-weight:bold;"">If I wake up early tomorrow, can I stay up for 10 more minutes after bedtime?</span><br><br>
          <img style = 'width: 10vw;' src=""stim/more-stim/bedtime-agent.png""> 
            "
"","","","","","instructions","26","185450","0.0-6.0-8.1","1178","","[{""page_index"":0,""viewing_time"":1178}]","","","","","","",""
"","","","","","html-button-response","27","191518","0.0-6.0-9.1","6066","1","","","","","","","","
          <span style=""font-size: 2vw; font-weight:bold;"">Can I stay up for 10 more minutes after bedtime?</span><br><br>
          <img style = 'width: 10vw;' src=""stim/more-stim/bedtime-agent.png""> 
        "
"","","","","","instructions","28","193730","0.0-6.0-10.1","2212","","[{""page_index"":0,""viewing_time"":2212}]","","","","","","",""
"","","","","","instructions","29","198495","0.0-6.0-0.2","4764","","[{""page_index"":0,""viewing_time"":4764}]","","","","","","",""
"","","","","","instructions","30","217651","0.0-6.0-1.2","19157","","[{""page_index"":0,""viewing_time"":9300},{""page_index"":1,""viewing_time"":2493},{""page_index"":2,""viewing_time"":2085},{""page_index"":3,""viewing_time"":2444},{""page_index"":4,""viewing_time"":2835}]","","","","","","",""
"","","","","","survey-text","31","223276","0.0-6.0-2.2","5611","{""Q0"":""3""}","","","","","","","",""
"","","","","","instructions","32","227123","0.0-6.0-3.2","3847","","[{""page_index"":0,""viewing_time"":3847}]","","","","","","",""
"","","","","","KiN_response","33","233928","0.0-6.0-4.2","","alot","","food","big","failed","[""alot"",""alittle""]","left","",""
"","","","","","instructions","34","249103","0.0-6.0-5.2","15176","","[{""page_index"":0,""viewing_time"":2909},{""page_index"":1,""viewing_time"":2452},{""page_index"":2,""viewing_time"":2626},{""page_index"":3,""viewing_time"":3219},{""page_index"":4,""viewing_time"":3970}]","","","","","","",""
"","","","","","KiN_response","35","256966","0.0-6.0-6.2","","If I brush my teeth, can I have ten more candies?","","food","big","failed","[""Can I have ten more candies?"",""If I brush my teeth, can I have ten more candies?""]","right","",""
"","","","","","html-button-response","36","261316","0.0-6.0-7.2","4348","1","","","","","","","","
          <span style=""font-size: 2vw; font-weight:bold;"">If I brush my teeth, can I have ten more candies?</span><br><br>
          <img style = 'width: 10vw;' src=""stim/more-stim/food-agent.png""> 
            "
"","","","","","instructions","37","263251","0.0-6.0-8.2","1933","","[{""page_index"":0,""viewing_time"":1933}]","","","","","","",""
"","","","","","html-button-response","38","268928","0.0-6.0-9.2","5675","2","","","","","","","","
          <span style=""font-size: 2vw; font-weight:bold;"">Can I have ten more candies?</span><br><br>
          <img style = 'width: 10vw;' src=""stim/more-stim/food-agent.png""> 
        "
"","","","","","instructions","39","270423","0.0-6.0-10.2","1494","","[{""page_index"":0,""viewing_time"":1494}]","","","","","","",""
"","","","","","instructions","40","274193","0.0-6.0-0.3","3769","","[{""page_index"":0,""viewing_time"":3769}]","","","","","","",""
"","","","","","instructions","41","300323","0.0-6.0-1.3","26131","","[{""page_index"":0,""viewing_time"":6262},{""page_index"":1,""viewing_time"":7328},{""page_index"":2,""viewing_time"":7914},{""page_index"":3,""viewing_time"":1952},{""page_index"":4,""viewing_time"":2675}]","","","","","","",""
"","","","","","survey-text","42","306483","0.0-6.0-2.3","6151","{""Q0"":""2""}","","","","","","","",""
"","","","","","instructions","43","311715","0.0-6.0-3.3","5232","","[{""page_index"":0,""viewing_time"":5232}]","","","","","","",""
"","","","","","KiN_response","44","322930","0.0-6.0-4.3","","alittle","","activity","big","none","[""alittle"",""alot""]","left","",""
"","","","","","instructions","45","329824","0.0-6.0-5.3","6894","","[{""page_index"":0,""viewing_time"":3538},{""page_index"":1,""viewing_time"":3356}]","","","","","","",""
"","","","","","KiN_response","46","338664","0.0-6.0-6.3","","If I clean my room, can I play five more rounds of games?","","activity","big","none","[""If I clean my room, can I play five more rounds of games?"",""Can I play five more rounds of games?""]","left","",""
"","","","","","html-button-response","47","343914","0.0-6.0-7.3","5248","1","","","","","","","","
          <span style=""font-size: 2vw; font-weight:bold;"">If I clean my room, can I play five more rounds of games?</span><br><br>
          <img style = 'width: 10vw;' src=""stim/more-stim/activity-agent.png""> 
            "
"","","","","","instructions","48","345572","0.0-6.0-8.3","1656","","[{""page_index"":0,""viewing_time"":1656}]","","","","","","",""
"","","","","","html-button-response","49","349600","0.0-6.0-9.3","4027","2","","","","","","","","
          <span style=""font-size: 2vw; font-weight:bold;"">Can I play five more rounds of games?</span><br><br>
          <img style = 'width: 10vw;' src=""stim/more-stim/activity-agent.png""> 
        "
"","","","","","instructions","50","355293","0.0-6.0-10.3","5692","","[{""page_index"":0,""viewing_time"":5692}]","","","","","","",""
