"success","timeout","failed_images","failed_audio","failed_video","trial_type","trial_index","time_elapsed","internal_node_id","rt","response","view_history","scenario","ask_size","interaction_history","buttons","button_pressed","correct","stimulus"
"true","false","[]","[]","[]","preload","0","1993","0.0-0.0","","","","","","","","","",""
"","","","","","survey-text","1","565344","0.0-1.0","563382","{""Q0"":""p061""}","","","","","","","",""
"","","","","","instructions","2","681895","0.0-2.0","116552","","[{""page_index"":0,""viewing_time"":116552}]","","","","","","",""
"","","","","","instructions","3","694279","0.0-3.0-0.0","12383","","[{""page_index"":0,""viewing_time"":5419},{""page_index"":1,""viewing_time"":3337},{""page_index"":2,""viewing_time"":3627}]","","","","","","",""
"","","","","","KiN_response","4","705185","0.0-3.0-1.0","","Can I get crayons?","","warmup","","","[""Can I get crayons?"",""Can I get a teddy bear?""]","left","true",""
"","","","","","instructions","5","711830","0.0-3.0-2.0","6644","","[{""page_index"":0,""viewing_time"":3233},{""page_index"":1,""viewing_time"":3410}]","","","","","","",""
"","","","","","instructions","6","718974","0.0-5.0","7144","","[{""page_index"":0,""viewing_time"":7144}]","","","","","","",""
"","","","","","instructions","7","719792","0.0-6.0-0.0","817","","[{""page_index"":0,""viewing_time"":817}]","","","","","","",""
"","","","","","instructions","8","737228","0.0-6.0-1.0","17436","","[{""page_index"":0,""viewing_time"":10614},{""page_index"":1,""viewing_time"":3811},{""page_index"":2,""viewing_time"":3011}]","","","","","","",""
"","","","","","survey-text","9","745629","0.0-6.0-2.0","8383","{""Q0"":""1""}","","","","","","","",""
"","","","","","instructions","10","750335","0.0-6.0-3.0","4705","","[{""page_index"":0,""viewing_time"":4705}]","","","","","","",""
"","","","","","KiN_response","11","760327","0.0-6.0-4.0","","alot","","toy","big","failed","[""alittle"",""alot""]","right","",""
"","","","","","instructions","12","782208","0.0-6.0-5.0","21881","","[{""page_index"":0,""viewing_time"":4252},{""page_index"":1,""viewing_time"":3399},{""page_index"":2,""viewing_time"":4352},{""page_index"":3,""viewing_time"":4304},{""page_index"":4,""viewing_time"":5574}]","","","","","","",""
"","","","","","KiN_response","13","795677","0.0-6.0-6.0","","If I share my toys, can I get five more toys?","","toy","big","failed","[""Can I get five more toys?"",""If I share my toys, can I get five more toys?""]","right","",""
"","","","","","html-button-response","14","806651","0.0-6.0-7.0","10971","1","","","","","","","","
          <span style=""font-size: 2vw; font-weight:bold;"">If I share my toys, can I get five more toys?</span><br><br>
          <img style = 'width: 10vw;' src=""stim/more-stim/toy-agent.png""> 
            "
"","","","","","instructions","15","807934","0.0-6.0-8.0","1282","","[{""page_index"":0,""viewing_time"":1282}]","","","","","","",""
"","","","","","html-button-response","16","816748","0.0-6.0-9.0","8812","2","","","","","","","","
          <span style=""font-size: 2vw; font-weight:bold;"">Can I get five more toys?</span><br><br>
          <img style = 'width: 10vw;' src=""stim/more-stim/toy-agent.png""> 
        "
"","","","","","instructions","17","823035","0.0-6.0-10.0","6287","","[{""page_index"":0,""viewing_time"":6286}]","","","","","","",""
"","","","","","instructions","18","823609","0.0-6.0-0.1","573","","[{""page_index"":0,""viewing_time"":573}]","","","","","","",""
"","","","","","instructions","19","847748","0.0-6.0-1.1","24140","","[{""page_index"":0,""viewing_time"":10292},{""page_index"":1,""viewing_time"":3233},{""page_index"":2,""viewing_time"":3500},{""page_index"":3,""viewing_time"":3071},{""page_index"":4,""viewing_time"":4043}]","","","","","","",""
"","","","","","survey-text","20","853619","0.0-6.0-2.1","5855","{""Q0"":""3""}","","","","","","","",""
"","","","","","instructions","21","858012","0.0-6.0-3.1","4393","","[{""page_index"":0,""viewing_time"":4393}]","","","","","","",""
"","","","","","KiN_response","22","872362","0.0-6.0-4.1","","alot","","food","small","failed","[""alot"",""alittle""]","left","",""
"","","","","","instructions","23","896558","0.0-6.0-5.1","24196","","[{""page_index"":0,""viewing_time"":5862},{""page_index"":1,""viewing_time"":3585},{""page_index"":2,""viewing_time"":4581},{""page_index"":3,""viewing_time"":4783},{""page_index"":4,""viewing_time"":5384}]","","","","","","",""
"","","","","","KiN_response","24","908906","0.0-6.0-6.1","","If I brush my teeth, can I have one more candy?","","food","small","failed","[""If I brush my teeth, can I have one more candy?"",""Can I have one more candy?""]","left","",""
"","","","","","html-button-response","25","918222","0.0-6.0-7.1","9312","2","","","","","","","","
          <span style=""font-size: 2vw; font-weight:bold;"">Can I have one more candy?</span><br><br>
          <img style = 'width: 10vw;' src=""stim/more-stim/food-agent.png""> 
            "
"","","","","","instructions","26","919590","0.0-6.0-8.1","1367","","[{""page_index"":0,""viewing_time"":1367}]","","","","","","",""
"","","","","","html-button-response","27","932090","0.0-6.0-9.1","12497","2","","","","","","","","
          <span style=""font-size: 2vw; font-weight:bold;"">If I brush my teeth, can I have one more candy?</span><br><br>
          <img style = 'width: 10vw;' src=""stim/more-stim/food-agent.png""> 
        "
"","","","","","instructions","28","937434","0.0-6.0-10.1","5343","","[{""page_index"":0,""viewing_time"":5342}]","","","","","","",""
"","","","","","instructions","29","938159","0.0-6.0-0.2","724","","[{""page_index"":0,""viewing_time"":723}]","","","","","","",""
"","","","","","instructions","30","960120","0.0-6.0-1.2","21960","","[{""page_index"":0,""viewing_time"":12460},{""page_index"":1,""viewing_time"":5467},{""page_index"":2,""viewing_time"":4033}]","","","","","","",""
"","","","","","survey-text","31","971573","0.0-6.0-2.2","11442","{""Q0"":""9""}","","","","","","","",""
"","","","","","instructions","32","976819","0.0-6.0-3.2","5245","","[{""page_index"":0,""viewing_time"":5245}]","","","","","","",""
"","","","","","KiN_response","33","991467","0.0-6.0-4.2","","alot","","bedtime","small","none","[""alittle"",""alot""]","right","",""
"","","","","","instructions","34","1000995","0.0-6.0-5.2","9526","","[{""page_index"":0,""viewing_time"":3473},{""page_index"":1,""viewing_time"":6053}]","","","","","","",""
"","","","","","KiN_response","35","1015078","0.0-6.0-6.2","","Can I stay up for 10 more minutes after bedtime?","","bedtime","small","none","[""Can I stay up for 10 more minutes after bedtime?"",""If I wake up early tomorrow, can I stay up for 10 more minutes after bedtime?""]","left","",""
"","","","","","html-button-response","36","1028644","0.0-6.0-7.2","13564","2","","","","","","","","
          <span style=""font-size: 2vw; font-weight:bold;"">Can I stay up for 10 more minutes after bedtime?</span><br><br>
          <img style = 'width: 10vw;' src=""stim/more-stim/bedtime-agent.png""> 
            "
"","","","","","instructions","37","1029961","0.0-6.0-8.2","1316","","[{""page_index"":0,""viewing_time"":1316}]","","","","","","",""
"","","","","","html-button-response","38","1042976","0.0-6.0-9.2","13014","2","","","","","","","","
          <span style=""font-size: 2vw; font-weight:bold;"">If I wake up early tomorrow, can I stay up for 10 more minutes after bedtime?</span><br><br>
          <img style = 'width: 10vw;' src=""stim/more-stim/bedtime-agent.png""> 
        "
"","","","","","instructions","39","1048147","0.0-6.0-10.2","5170","","[{""page_index"":0,""viewing_time"":5170}]","","","","","","",""
"","","","","","instructions","40","1048788","0.0-6.0-0.3","640","","[{""page_index"":0,""viewing_time"":640}]","","","","","","",""
"","","","","","instructions","41","1073921","0.0-6.0-1.3","25133","","[{""page_index"":0,""viewing_time"":11031},{""page_index"":1,""viewing_time"":3144},{""page_index"":2,""viewing_time"":3420},{""page_index"":3,""viewing_time"":3526},{""page_index"":4,""viewing_time"":4011}]","","","","","","",""
"","","","","","survey-text","42","1081589","0.0-6.0-2.3","7651","{""Q0"":""2""}","","","","","","","",""
"","","","","","instructions","43","1087653","0.0-6.0-3.3","6063","","[{""page_index"":0,""viewing_time"":6063}]","","","","","","",""
"","","","","","KiN_response","44","1094741","0.0-6.0-4.3","","alot","","activity","big","none","[""alot"",""alittle""]","left","",""
"","","","","","instructions","45","1104938","0.0-6.0-5.3","10197","","[{""page_index"":0,""viewing_time"":4426},{""page_index"":1,""viewing_time"":5770}]","","","","","","",""
"","","","","","KiN_response","46","1117546","0.0-6.0-6.3","","If I clean my room, can I play five more rounds of games?","","activity","big","none","[""Can I play five more rounds of games?"",""If I clean my room, can I play five more rounds of games?""]","right","",""
"","","","","","html-button-response","47","1129099","0.0-6.0-7.3","11549","2","","","","","","","","
          <span style=""font-size: 2vw; font-weight:bold;"">Can I play five more rounds of games?</span><br><br>
          <img style = 'width: 10vw;' src=""stim/more-stim/activity-agent.png""> 
            "
"","","","","","instructions","48","1130220","0.0-6.0-8.3","1119","","[{""page_index"":0,""viewing_time"":1119}]","","","","","","",""
"","","","","","html-button-response","49","1144577","0.0-6.0-9.3","14356","2","","","","","","","","
          <span style=""font-size: 2vw; font-weight:bold;"">If I clean my room, can I play five more rounds of games?</span><br><br>
          <img style = 'width: 10vw;' src=""stim/more-stim/activity-agent.png""> 
        "
"","","","","","instructions","50","1153041","0.0-6.0-10.3","8463","","[{""page_index"":0,""viewing_time"":8463}]","","","","","","",""
