"success","timeout","failed_images","failed_audio","failed_video","trial_type","trial_index","time_elapsed","internal_node_id","rt","response","view_history","scenario","ask_size","interaction_history","buttons","button_pressed","correct","stimulus"
"true","false","[]","[]","[]","preload","0","2702","0.0-0.0","","","","","","","","","",""
"","","","","","survey-text","1","8783","0.0-1.0","6078","{""Q0"":""p073""}","","","","","","","",""
"","","","","","instructions","2","22579","0.0-2.0","13796","","[{""page_index"":0,""viewing_time"":13792}]","","","","","","",""
"","","","","","instructions","3","31704","0.0-3.0-0.0","9125","","[{""page_index"":0,""viewing_time"":3581},{""page_index"":1,""viewing_time"":2341},{""page_index"":2,""viewing_time"":3203}]","","","","","","",""
"","","","","","KiN_response","4","43882","0.0-3.0-1.0","","Can I get crayons?","","warmup","","","[""Can I get a teddy bear?"",""Can I get crayons?""]","right","true",""
"","","","","","instructions","5","51841","0.0-3.0-2.0","7958","","[{""page_index"":0,""viewing_time"":4972},{""page_index"":1,""viewing_time"":2986}]","","","","","","",""
"","","","","","instructions","6","58420","0.0-5.0","6577","","[{""page_index"":0,""viewing_time"":6577}]","","","","","","",""
"","","","","","instructions","7","61563","0.0-6.0-0.0","3138","","[{""page_index"":0,""viewing_time"":3138}]","","","","","","",""
"","","","","","instructions","8","81550","0.0-6.0-1.0","19986","","[{""page_index"":0,""viewing_time"":6086},{""page_index"":1,""viewing_time"":4253},{""page_index"":2,""viewing_time"":2935},{""page_index"":3,""viewing_time"":3321},{""page_index"":4,""viewing_time"":3391}]","","","","","","",""
"","","","","","survey-text","9","88225","0.0-6.0-2.0","6662","{""Q0"":""3""}","","","","","","","",""
"","","","","","instructions","10","93966","0.0-6.0-3.0","5740","","[{""page_index"":0,""viewing_time"":5740}]","","","","","","",""
"","","","","","KiN_response","11","101527","0.0-6.0-4.0","","alot","","food","big","none","[""alittle"",""alot""]","right","",""
"","","","","","instructions","12","109315","0.0-6.0-5.0","7786","","[{""page_index"":0,""viewing_time"":3883},{""page_index"":1,""viewing_time"":3903}]","","","","","","",""
"","","","","","KiN_response","13","121710","0.0-6.0-6.0","","Can I have ten more candies?","","food","big","none","[""Can I have ten more candies?"",""If I brush my teeth, can I have ten more candies?""]","left","",""
