"success","timeout","failed_images","failed_audio","failed_video","trial_type","trial_index","time_elapsed","internal_node_id","rt","response","view_history","scenario","ask_size","interaction_history","buttons","button_pressed","correct","stimulus"
"true","false","[]","[]","[]","preload","0","1470","0.0-0.0","","","","","","","","","",""
"","","","","","survey-text","1","18531","0.0-1.0","17055","{""Q0"":""p080""}","","","","","","","",""
"","","","","","instructions","2","27223","0.0-2.0","8692","","[{""page_index"":0,""viewing_time"":8692}]","","","","","","",""
"","","","","","instructions","3","37642","0.0-3.0-0.0","10419","","[{""page_index"":0,""viewing_time"":3787},{""page_index"":1,""viewing_time"":2886},{""page_index"":2,""viewing_time"":3745}]","","","","","","",""
"","","","","","KiN_response","4","51870","0.0-3.0-1.0","","Can I get a teddy bear?","","warmup","","","[""Can I get crayons?"",""Can I get a teddy bear?""]","right","false",""
"","","","","","instructions","5","58568","0.0-3.0-2.0","6702","","[{""page_index"":0,""viewing_time"":6702}]","","","","","","",""
"","","","","","instructions","6","68761","0.0-4.0-0.0-0.0","10197","","[{""page_index"":0,""viewing_time"":4134},{""page_index"":1,""viewing_time"":2703},{""page_index"":2,""viewing_time"":3359}]","","","","","","",""
"","","","","","KiN_response","7","76304","0.0-4.0-0.0-1.0","","Can I get crayons?","","warmup","","","[""Can I get crayons?"",""Can I get a teddy bear?""]","left","true",""
"","","","","","instructions","8","82372","0.0-4.0-0.0-2.0","6068","","[{""page_index"":0,""viewing_time"":4260},{""page_index"":1,""viewing_time"":1808}]","","","","","","",""
"","","","","","instructions","9","89820","0.0-5.0","7448","","[{""page_index"":0,""viewing_time"":7448}]","","","","","","",""
"","","","","","instructions","10","93769","0.0-6.0-0.0","3947","","[{""page_index"":0,""viewing_time"":3947}]","","","","","","",""
"","","","","","instructions","11","107652","0.0-6.0-1.0","13884","","[{""page_index"":0,""viewing_time"":8413},{""page_index"":1,""viewing_time"":3577},{""page_index"":2,""viewing_time"":1893}]","","","","","","",""
"","","","","","survey-text","12","114055","0.0-6.0-2.0","6388","{""Q0"":""5""}","","","","","","","",""
"","","","","","instructions","13","122661","0.0-6.0-3.0","8606","","[{""page_index"":0,""viewing_time"":8605}]","","","","","","",""
"","","","","","KiN_response","14","130032","0.0-6.0-4.0","","alittle","","toy","small","failed","[""alittle"",""alot""]","left","",""
"","","","","","instructions","15","146016","0.0-6.0-5.0","15984","","[{""page_index"":0,""viewing_time"":2934},{""page_index"":1,""viewing_time"":1768},{""page_index"":2,""viewing_time"":3144},{""page_index"":3,""viewing_time"":3708},{""page_index"":4,""viewing_time"":4430}]","","","","","","",""
"","","","","","KiN_response","16","155290","0.0-6.0-6.0","","Can I get one more toy?","","toy","small","failed","[""Can I get one more toy?"",""If I share my toys, can I get one more toy?""]","left","",""
"","","","","","html-button-response","17","164549","0.0-6.0-7.0","9249","0","","","","","","","","
          <span style=""font-size: 2vw; font-weight:bold;"">Can I get one more toy?</span><br><br>
          <img style = 'width: 10vw;' src=""stim/more-stim/toy-agent.png""> 
            "
"","","","","","instructions","18","166328","0.0-6.0-8.0","1778","","[{""page_index"":0,""viewing_time"":1777}]","","","","","","",""
"","","","","","html-button-response","19","173698","0.0-6.0-9.0","7367","2","","","","","","","","
          <span style=""font-size: 2vw; font-weight:bold;"">If I share my toys, can I get one more toy?</span><br><br>
          <img style = 'width: 10vw;' src=""stim/more-stim/toy-agent.png""> 
        "
"","","","","","instructions","20","175573","0.0-6.0-10.0","1874","","[{""page_index"":0,""viewing_time"":1874}]","","","","","","",""
"","","","","","instructions","21","180567","0.0-6.0-0.1","4992","","[{""page_index"":0,""viewing_time"":4992}]","","","","","","",""
"","","","","","instructions","22","201671","0.0-6.0-1.1","21105","","[{""page_index"":0,""viewing_time"":7874},{""page_index"":1,""viewing_time"":2683},{""page_index"":2,""viewing_time"":3278},{""page_index"":3,""viewing_time"":2536},{""page_index"":4,""viewing_time"":4734}]","","","","","","",""
"","","","","","survey-text","23","208653","0.0-6.0-2.1","6970","{""Q0"":""3""}","","","","","","","",""
"","","","","","instructions","24","213338","0.0-6.0-3.1","4684","","[{""page_index"":0,""viewing_time"":4684}]","","","","","","",""
"","","","","","KiN_response","25","220784","0.0-6.0-4.1","","alot","","food","big","none","[""alot"",""alittle""]","left","",""
"","","","","","instructions","26","227871","0.0-6.0-5.1","7087","","[{""page_index"":0,""viewing_time"":3709},{""page_index"":1,""viewing_time"":3377}]","","","","","","",""
"","","","","","KiN_response","27","237903","0.0-6.0-6.1","","Can I have ten more candies?","","food","big","none","[""If I brush my teeth, can I have ten more candies?"",""Can I have ten more candies?""]","right","",""
"","","","","","html-button-response","28","244665","0.0-6.0-7.1","6761","1","","","","","","","","
          <span style=""font-size: 2vw; font-weight:bold;"">If I brush my teeth, can I have ten more candies?</span><br><br>
          <img style = 'width: 10vw;' src=""stim/more-stim/food-agent.png""> 
            "
"","","","","","instructions","29","245731","0.0-6.0-8.1","1065","","[{""page_index"":0,""viewing_time"":1065}]","","","","","","",""
"","","","","","html-button-response","30","252036","0.0-6.0-9.1","6303","0","","","","","","","","
          <span style=""font-size: 2vw; font-weight:bold;"">Can I have ten more candies?</span><br><br>
          <img style = 'width: 10vw;' src=""stim/more-stim/food-agent.png""> 
        "
"","","","","","instructions","31","253594","0.0-6.0-10.1","1558","","[{""page_index"":0,""viewing_time"":1557}]","","","","","","",""
"","","","","","instructions","32","257615","0.0-6.0-0.2","4021","","[{""page_index"":0,""viewing_time"":4021}]","","","","","","",""
"","","","","","instructions","33","277232","0.0-6.0-1.2","19617","","[{""page_index"":0,""viewing_time"":7607},{""page_index"":1,""viewing_time"":2722},{""page_index"":2,""viewing_time"":2744},{""page_index"":3,""viewing_time"":2826},{""page_index"":4,""viewing_time"":3718}]","","","","","","",""
"","","","","","survey-text","34","284033","0.0-6.0-2.2","6788","{""Q0"":""4""}","","","","","","","",""
"","","","","","instructions","35","291130","0.0-6.0-3.2","7096","","[{""page_index"":0,""viewing_time"":7096}]","","","","","","",""
"","","","","","KiN_response","36","302005","0.0-6.0-4.2","","alittle","","activity","big","failed","[""alittle"",""alot""]","left","",""
"","","","","","instructions","37","319960","0.0-6.0-5.2","17956","","[{""page_index"":0,""viewing_time"":3260},{""page_index"":1,""viewing_time"":2892},{""page_index"":2,""viewing_time"":3387},{""page_index"":3,""viewing_time"":3771},{""page_index"":4,""viewing_time"":4646}]","","","","","","",""
"","","","","","KiN_response","38","330454","0.0-6.0-6.2","","Can I play five more rounds of games?","","activity","big","failed","[""Can I play five more rounds of games?"",""If I clean my room, can I play five more rounds of games?""]","left","",""
"","","","","","html-button-response","39","338718","0.0-6.0-7.2","8262","0","","","","","","","","
          <span style=""font-size: 2vw; font-weight:bold;"">Can I play five more rounds of games?</span><br><br>
          <img style = 'width: 10vw;' src=""stim/more-stim/activity-agent.png""> 
            "
"","","","","","instructions","40","339844","0.0-6.0-8.2","1124","","[{""page_index"":0,""viewing_time"":1124}]","","","","","","",""
"","","","","","html-button-response","41","347920","0.0-6.0-9.2","8075","1","","","","","","","","
          <span style=""font-size: 2vw; font-weight:bold;"">If I clean my room, can I play five more rounds of games?</span><br><br>
          <img style = 'width: 10vw;' src=""stim/more-stim/activity-agent.png""> 
        "
"","","","","","instructions","42","349587","0.0-6.0-10.2","1666","","[{""page_index"":0,""viewing_time"":1666}]","","","","","","",""
"","","","","","instructions","43","357595","0.0-6.0-0.3","8007","","[{""page_index"":0,""viewing_time"":8007}]","","","","","","",""
"","","","","","instructions","44","374464","0.0-6.0-1.3","16869","","[{""page_index"":0,""viewing_time"":8413},{""page_index"":1,""viewing_time"":5037},{""page_index"":2,""viewing_time"":3418}]","","","","","","",""
"","","","","","survey-text","45","384167","0.0-6.0-2.3","9691","{""Q0"":""4""}","","","","","","","",""
"","","","","","instructions","46","388771","0.0-6.0-3.3","4604","","[{""page_index"":0,""viewing_time"":4604}]","","","","","","",""
"","","","","","KiN_response","47","396844","0.0-6.0-4.3","","alot","","bedtime","small","none","[""alot"",""alittle""]","left","",""
"","","","","","instructions","48","405015","0.0-6.0-5.3","8170","","[{""page_index"":0,""viewing_time"":4284},{""page_index"":1,""viewing_time"":3886}]","","","","","","",""
"","","","","","KiN_response","49","417346","0.0-6.0-6.3","","Can I stay up for 10 more minutes after bedtime?","","bedtime","small","none","[""If I wake up early tomorrow, can I stay up for 10 more minutes after bedtime?"",""Can I stay up for 10 more minutes after bedtime?""]","right","",""
"","","","","","html-button-response","50","425454","0.0-6.0-7.3","8107","2","","","","","","","","
          <span style=""font-size: 2vw; font-weight:bold;"">If I wake up early tomorrow, can I stay up for 10 more minutes after bedtime?</span><br><br>
          <img style = 'width: 10vw;' src=""stim/more-stim/bedtime-agent.png""> 
            "
"","","","","","instructions","51","426485","0.0-6.0-8.3","1030","","[{""page_index"":0,""viewing_time"":1030}]","","","","","","",""
"","","","","","html-button-response","52","434089","0.0-6.0-9.3","7602","2","","","","","","","","
          <span style=""font-size: 2vw; font-weight:bold;"">Can I stay up for 10 more minutes after bedtime?</span><br><br>
          <img style = 'width: 10vw;' src=""stim/more-stim/bedtime-agent.png""> 
        "
"","","","","","instructions","53","437568","0.0-6.0-10.3","3479","","[{""page_index"":0,""viewing_time"":3478}]","","","","","","",""
