"success","timeout","failed_images","failed_audio","failed_video","trial_type","trial_index","time_elapsed","internal_node_id","rt","response","view_history","scenario","ask_size","interaction_history","buttons","button_pressed","correct","stimulus"
"true","false","[]","[]","[]","preload","0","2092","0.0-0.0","","","","","","","","","",""
"","","","","","survey-text","1","6308","0.0-1.0","4210","{""Q0"":""p054""}","","","","","","","",""
"","","","","","instructions","2","27148","0.0-2.0","20839","","[{""page_index"":0,""viewing_time"":20839}]","","","","","","",""
"","","","","","instructions","3","39890","0.0-3.0-0.0","12740","","[{""page_index"":0,""viewing_time"":3877},{""page_index"":1,""viewing_time"":4435},{""page_index"":2,""viewing_time"":4428}]","","","","","","",""
"","","","","","KiN_response","4","46918","0.0-3.0-1.0","","Can I get crayons?","","warmup","","","[""Can I get a teddy bear?"",""Can I get crayons?""]","right","true",""
"","","","","","instructions","5","55990","0.0-3.0-2.0","9072","","[{""page_index"":0,""viewing_time"":5953},{""page_index"":1,""viewing_time"":3119}]","","","","","","",""
"","","","","","instructions","6","63387","0.0-5.0","7396","","[{""page_index"":0,""viewing_time"":7395}]","","","","","","",""
"","","","","","instructions","7","64129","0.0-6.0-0.0","740","","[{""page_index"":0,""viewing_time"":740}]","","","","","","",""
"","","","","","instructions","8","89011","0.0-6.0-1.0","24882","","[{""page_index"":0,""viewing_time"":10647},{""page_index"":1,""viewing_time"":3420},{""page_index"":2,""viewing_time"":3177},{""page_index"":3,""viewing_time"":3535},{""page_index"":4,""viewing_time"":4103}]","","","","","","",""
"","","","","","survey-text","9","99814","0.0-6.0-2.0","10789","{""Q0"":""3""}","","","","","","","",""
"","","","","","instructions","10","103953","0.0-6.0-3.0","4138","","[{""page_index"":0,""viewing_time"":4137}]","","","","","","",""
"","","","","","KiN_response","11","111382","0.0-6.0-4.0","","alot","","food","big","none","[""alot"",""alittle""]","left","",""
