"success","timeout","failed_images","failed_audio","failed_video","trial_type","trial_index","time_elapsed","internal_node_id","rt","response","view_history","scenario","ask_size","interaction_history","buttons","button_pressed","correct","stimulus"
"true","false","[]","[]","[]","preload","0","1658","0.0-0.0","","","","","","","","","",""
"","","","","","survey-text","1","9286","0.0-1.0","7622","{""Q0"":""p081""}","","","","","","","",""
"","","","","","instructions","2","21644","0.0-2.0","12358","","[{""page_index"":0,""viewing_time"":12358}]","","","","","","",""
"","","","","","instructions","3","31216","0.0-3.0-0.0","9572","","[{""page_index"":0,""viewing_time"":3652},{""page_index"":1,""viewing_time"":2843},{""page_index"":2,""viewing_time"":3077}]","","","","","","",""
"","","","","","KiN_response","4","36861","0.0-3.0-1.0","","Can I get crayons?","","warmup","","","[""Can I get crayons?"",""Can I get a teddy bear?""]","left","true",""
"","","","","","instructions","5","41088","0.0-3.0-2.0","4224","","[{""page_index"":0,""viewing_time"":2465},{""page_index"":1,""viewing_time"":1759}]","","","","","","",""
"","","","","","instructions","6","46527","0.0-5.0","5438","","[{""page_index"":0,""viewing_time"":5437}]","","","","","","",""
"","","","","","instructions","7","50082","0.0-6.0-0.0","3554","","[{""page_index"":0,""viewing_time"":3553}]","","","","","","",""
"","","","","","instructions","8","63653","0.0-6.0-1.0","13570","","[{""page_index"":0,""viewing_time"":4407},{""page_index"":1,""viewing_time"":2416},{""page_index"":2,""viewing_time"":1829},{""page_index"":3,""viewing_time"":2513},{""page_index"":4,""viewing_time"":2404}]","","","","","","",""
"","","","","","survey-text","9","68884","0.0-6.0-2.0","5216","{""Q0"":""3""}","","","","","","","",""
"","","","","","instructions","10","72240","0.0-6.0-3.0","3355","","[{""page_index"":0,""viewing_time"":3354}]","","","","","","",""
"","","","","","KiN_response","11","78085","0.0-6.0-4.0","","alot","","food","big","none","[""alot"",""alittle""]","left","",""
"","","","","","instructions","12","83774","0.0-6.0-5.0","5688","","[{""page_index"":0,""viewing_time"":2962},{""page_index"":1,""viewing_time"":2726}]","","","","","","",""
"","","","","","KiN_response","13","91009","0.0-6.0-6.0","","If I brush my teeth, can I have ten more candies?","","food","big","none","[""Can I have ten more candies?"",""If I brush my teeth, can I have ten more candies?""]","right","",""
"","","","","","html-button-response","14","97504","0.0-6.0-7.0","6492","1","","","","","","","","
          <span style=""font-size: 2vw; font-weight:bold;"">Can I have ten more candies?</span><br><br>
          <img style = 'width: 10vw;' src=""stim/more-stim/food-agent.png""> 
            "
"","","","","","instructions","15","98521","0.0-6.0-8.0","1016","","[{""page_index"":0,""viewing_time"":1016}]","","","","","","",""
"","","","","","html-button-response","16","103991","0.0-6.0-9.0","5468","1","","","","","","","","
          <span style=""font-size: 2vw; font-weight:bold;"">If I brush my teeth, can I have ten more candies?</span><br><br>
          <img style = 'width: 10vw;' src=""stim/more-stim/food-agent.png""> 
        "
"","","","","","instructions","17","106860","0.0-6.0-10.0","2867","","[{""page_index"":0,""viewing_time"":2866}]","","","","","","",""
"","","","","","instructions","18","110011","0.0-6.0-0.1","3149","","[{""page_index"":0,""viewing_time"":3149}]","","","","","","",""
"","","","","","instructions","19","126996","0.0-6.0-1.1","16985","","[{""page_index"":0,""viewing_time"":6937},{""page_index"":1,""viewing_time"":2777},{""page_index"":2,""viewing_time"":2510},{""page_index"":3,""viewing_time"":2011},{""page_index"":4,""viewing_time"":2750}]","","","","","","",""
"","","","","","survey-text","20","134275","0.0-6.0-2.1","7260","{""Q0"":""3""}","","","","","","","",""
"","","","","","instructions","21","140915","0.0-6.0-3.1","6639","","[{""page_index"":0,""viewing_time"":6639}]","","","","","","",""
"","","","","","KiN_response","22","149294","0.0-6.0-4.1","","alittle","","activity","small","failed","[""alittle"",""alot""]","left","",""
"","","","","","instructions","23","165069","0.0-6.0-5.1","15774","","[{""page_index"":0,""viewing_time"":2332},{""page_index"":1,""viewing_time"":1986},{""page_index"":2,""viewing_time"":3851},{""page_index"":3,""viewing_time"":4071},{""page_index"":4,""viewing_time"":3534}]","","","","","","",""
"","","","","","KiN_response","24","172388","0.0-6.0-6.1","","If I clean my room, can I play one more round of game?","","activity","small","failed","[""Can I play one more round of game?"",""If I clean my room, can I play one more round of game?""]","right","",""
"","","","","","html-button-response","25","177426","0.0-6.0-7.1","5036","0","","","","","","","","
          <span style=""font-size: 2vw; font-weight:bold;"">If I clean my room, can I play one more round of game?</span><br><br>
          <img style = 'width: 10vw;' src=""stim/more-stim/activity-agent.png""> 
            "
"","","","","","instructions","26","178886","0.0-6.0-8.1","1459","","[{""page_index"":0,""viewing_time"":1458}]","","","","","","",""
"","","","","","html-button-response","27","184670","0.0-6.0-9.1","5782","0","","","","","","","","
          <span style=""font-size: 2vw; font-weight:bold;"">Can I play one more round of game?</span><br><br>
          <img style = 'width: 10vw;' src=""stim/more-stim/activity-agent.png""> 
        "
"","","","","","instructions","28","186989","0.0-6.0-10.1","2317","","[{""page_index"":0,""viewing_time"":2317}]","","","","","","",""
"","","","","","instructions","29","190398","0.0-6.0-0.2","3407","","[{""page_index"":0,""viewing_time"":3407}]","","","","","","",""
"","","","","","instructions","30","205258","0.0-6.0-1.2","14859","","[{""page_index"":0,""viewing_time"":7822},{""page_index"":1,""viewing_time"":5004},{""page_index"":2,""viewing_time"":2033}]","","","","","","",""
"","","","","","survey-text","31","223985","0.0-6.0-2.2","18713","{""Q0"":""9:01""}","","","","","","","",""
"","","","","","instructions","32","230524","0.0-6.0-3.2","6538","","[{""page_index"":0,""viewing_time"":6533}]","","","","","","",""
"","","","","","KiN_response","33","236326","0.0-6.0-4.2","","alot","","bedtime","big","failed","[""alittle"",""alot""]","right","",""
"","","","","","instructions","34","252852","0.0-6.0-5.2","16526","","[{""page_index"":0,""viewing_time"":4023},{""page_index"":1,""viewing_time"":1955},{""page_index"":2,""viewing_time"":3734},{""page_index"":3,""viewing_time"":3395},{""page_index"":4,""viewing_time"":3418}]","","","","","","",""
"","","","","","KiN_response","35","265711","0.0-6.0-6.2","","Can I stay up for 1 more hour after bedtime?","","bedtime","big","failed","[""If I wake up early tomorrow, can I stay up for 1 more hour after bedtime?"",""Can I stay up for 1 more hour after bedtime?""]","right","",""
"","","","","","html-button-response","36","272388","0.0-6.0-7.2","6673","2","","","","","","","","
          <span style=""font-size: 2vw; font-weight:bold;"">Can I stay up for 1 more hour after bedtime?</span><br><br>
          <img style = 'width: 10vw;' src=""stim/more-stim/bedtime-agent.png""> 
            "
"","","","","","instructions","37","273871","0.0-6.0-8.2","1482","","[{""page_index"":0,""viewing_time"":1481}]","","","","","","",""
"","","","","","html-button-response","38","276139","0.0-6.0-9.2","2261","1","","","","","","","","
          <span style=""font-size: 2vw; font-weight:bold;"">If I wake up early tomorrow, can I stay up for 1 more hour after bedtime?</span><br><br>
          <img style = 'width: 10vw;' src=""stim/more-stim/bedtime-agent.png""> 
        "
"","","","","","instructions","39","278107","0.0-6.0-10.2","1967","","[{""page_index"":0,""viewing_time"":1966}]","","","","","","",""
"","","","","","instructions","40","281926","0.0-6.0-0.3","3818","","[{""page_index"":0,""viewing_time"":3818}]","","","","","","",""
"","","","","","instructions","41","292549","0.0-6.0-1.3","10621","","[{""page_index"":0,""viewing_time"":5968},{""page_index"":1,""viewing_time"":2577},{""page_index"":2,""viewing_time"":2076}]","","","","","","",""
"","","","","","survey-text","42","296503","0.0-6.0-2.3","3935","{""Q0"":""1""}","","","","","","","",""
"","","","","","instructions","43","301038","0.0-6.0-3.3","4534","","[{""page_index"":0,""viewing_time"":4533}]","","","","","","",""
"","","","","","KiN_response","44","306824","0.0-6.0-4.3","","alittle","","toy","small","none","[""alittle"",""alot""]","left","",""
"","","","","","instructions","45","312177","0.0-6.0-5.3","5352","","[{""page_index"":0,""viewing_time"":2481},{""page_index"":1,""viewing_time"":2871}]","","","","","","",""
"","","","","","KiN_response","46","318514","0.0-6.0-6.3","","If I share my toys, can I get one more toy?","","toy","small","none","[""Can I get one more toy?"",""If I share my toys, can I get one more toy?""]","right","",""
"","","","","","html-button-response","47","323601","0.0-6.0-7.3","5076","1","","","","","","","","
          <span style=""font-size: 2vw; font-weight:bold;"">Can I get one more toy?</span><br><br>
          <img style = 'width: 10vw;' src=""stim/more-stim/toy-agent.png""> 
            "
"","","","","","instructions","48","324682","0.0-6.0-8.3","1079","","[{""page_index"":0,""viewing_time"":1079}]","","","","","","",""
"","","","","","html-button-response","49","328228","0.0-6.0-9.3","3544","1","","","","","","","","
          <span style=""font-size: 2vw; font-weight:bold;"">If I share my toys, can I get one more toy?</span><br><br>
          <img style = 'width: 10vw;' src=""stim/more-stim/toy-agent.png""> 
        "
"","","","","","instructions","50","330462","0.0-6.0-10.3","2233","","[{""page_index"":0,""viewing_time"":2233}]","","","","","","",""
