"success","timeout","failed_images","failed_audio","failed_video","trial_type","trial_index","time_elapsed","internal_node_id","rt","response","view_history","scenario","ask_size","interaction_history","buttons","button_pressed","correct","stimulus"
"true","false","[]","[]","[]","preload","0","3838","0.0-0.0","","","","","","","","","",""
"","","","","","survey-text","1","47891","0.0-1.0","44051","{""Q0"":""p088""}","","","","","","","",""
"","","","","","instructions","2","66436","0.0-2.0","18545","","[{""page_index"":0,""viewing_time"":18545}]","","","","","","",""
"","","","","","instructions","3","75775","0.0-3.0-0.0","9337","","[{""page_index"":0,""viewing_time"":3067},{""page_index"":1,""viewing_time"":2767},{""page_index"":2,""viewing_time"":3503}]","","","","","","",""
"","","","","","KiN_response","4","86805","0.0-3.0-1.0","","Can I get crayons?","","warmup","","","[""Can I get crayons?"",""Can I get a teddy bear?""]","left","true",""
"","","","","","instructions","5","95709","0.0-3.0-2.0","8904","","[{""page_index"":0,""viewing_time"":5178},{""page_index"":1,""viewing_time"":3726}]","","","","","","",""
"","","","","","instructions","6","102090","0.0-5.0","6380","","[{""page_index"":0,""viewing_time"":6380}]","","","","","","",""
"","","","","","instructions","7","106300","0.0-6.0-0.0","4209","","[{""page_index"":0,""viewing_time"":4208}]","","","","","","",""
"","","","","","instructions","8","118632","0.0-6.0-1.0","12332","","[{""page_index"":0,""viewing_time"":6287},{""page_index"":1,""viewing_time"":2778},{""page_index"":2,""viewing_time"":3267}]","","","","","","",""
"","","","","","survey-text","9","123258","0.0-6.0-2.0","4616","{""Q0"":""1""}","","","","","","","",""
"","","","","","instructions","10","130781","0.0-6.0-3.0","7522","","[{""page_index"":0,""viewing_time"":7522}]","","","","","","",""
"","","","","","KiN_response","11","137385","0.0-6.0-4.0","","alittle","","toy","small","none","[""alot"",""alittle""]","right","",""
"","","","","","instructions","12","144214","0.0-6.0-5.0","6827","","[{""page_index"":0,""viewing_time"":3767},{""page_index"":1,""viewing_time"":3060}]","","","","","","",""
"","","","","","KiN_response","13","152819","0.0-6.0-6.0","","Can I get one more toy?","","toy","small","none","[""If I share my toys, can I get one more toy?"",""Can I get one more toy?""]","right","",""
"","","","","","html-button-response","14","162617","0.0-6.0-7.0","9795","1","","","","","","","","
          <span style=""font-size: 2vw; font-weight:bold;"">If I share my toys, can I get one more toy?</span><br><br>
          <img style = 'width: 10vw;' src=""stim/more-stim/toy-agent.png""> 
            "
"","","","","","instructions","15","163918","0.0-6.0-8.0","1300","","[{""page_index"":0,""viewing_time"":1299}]","","","","","","",""
"","","","","","html-button-response","16","173581","0.0-6.0-9.0","9662","1","","","","","","","","
          <span style=""font-size: 2vw; font-weight:bold;"">Can I get one more toy?</span><br><br>
          <img style = 'width: 10vw;' src=""stim/more-stim/toy-agent.png""> 
        "
"","","","","","instructions","17","177183","0.0-6.0-10.0","3602","","[{""page_index"":0,""viewing_time"":3602}]","","","","","","",""
"","","","","","instructions","18","181613","0.0-6.0-0.1","4429","","[{""page_index"":0,""viewing_time"":4429}]","","","","","","",""
"","","","","","instructions","19","198612","0.0-6.0-1.1","16999","","[{""page_index"":0,""viewing_time"":8603},{""page_index"":1,""viewing_time"":5017},{""page_index"":2,""viewing_time"":3378}]","","","","","","",""
"","","","","","survey-text","20","204029","0.0-6.0-2.1","5408","{""Q0"":""9""}","","","","","","","",""
"","","","","","instructions","21","210444","0.0-6.0-3.1","6416","","[{""page_index"":0,""viewing_time"":6416}]","","","","","","",""
"","","","","","KiN_response","22","217722","0.0-6.0-4.1","","alot","","bedtime","big","failed","[""alittle"",""alot""]","right","",""
"","","","","","instructions","23","236342","0.0-6.0-5.1","18619","","[{""page_index"":0,""viewing_time"":3820},{""page_index"":1,""viewing_time"":3466},{""page_index"":2,""viewing_time"":3121},{""page_index"":3,""viewing_time"":3734},{""page_index"":4,""viewing_time"":4478}]","","","","","","",""
"","","","","","KiN_response","24","246857","0.0-6.0-6.1","","Can I stay up for 1 more hour after bedtime?","","bedtime","big","failed","[""If I wake up early tomorrow, can I stay up for 1 more hour after bedtime?"",""Can I stay up for 1 more hour after bedtime?""]","right","",""
"","","","","","html-button-response","25","254920","0.0-6.0-7.1","8061","2","","","","","","","","
          <span style=""font-size: 2vw; font-weight:bold;"">Can I stay up for 1 more hour after bedtime?</span><br><br>
          <img style = 'width: 10vw;' src=""stim/more-stim/bedtime-agent.png""> 
            "
"","","","","","instructions","26","256537","0.0-6.0-8.1","1615","","[{""page_index"":0,""viewing_time"":1615}]","","","","","","",""
