"success","timeout","failed_images","failed_audio","failed_video","trial_type","trial_index","time_elapsed","internal_node_id","rt","response","view_history","scenario","ask_size","interaction_history","buttons","button_pressed","correct","stimulus"
"true","false","[]","[]","[]","preload","0","1196","0.0-0.0","","","","","","","","","",""
"","","","","","survey-text","1","13682","0.0-1.0","12479","{""Q0"":""p055""}","","","","","","","",""
"","","","","","instructions","2","34515","0.0-2.0","20833","","[{""page_index"":0,""viewing_time"":20833}]","","","","","","",""
"","","","","","instructions","3","53029","0.0-3.0-0.0","18513","","[{""page_index"":0,""viewing_time"":11567},{""page_index"":1,""viewing_time"":3002},{""page_index"":2,""viewing_time"":3944}]","","","","","","",""
"","","","","","KiN_response","4","64244","0.0-3.0-1.0","","Can I get crayons?","","warmup","","","[""Can I get a teddy bear?"",""Can I get crayons?""]","right","true",""
"","","","","","instructions","5","84740","0.0-3.0-2.0","20495","","[{""page_index"":0,""viewing_time"":6072},{""page_index"":1,""viewing_time"":14423}]","","","","","","",""
"","","","","","instructions","6","92669","0.0-5.0","7928","","[{""page_index"":0,""viewing_time"":7928}]","","","","","","",""
"","","","","","instructions","7","93477","0.0-6.0-0.0","807","","[{""page_index"":0,""viewing_time"":807}]","","","","","","",""
"","","","","","instructions","8","110297","0.0-6.0-1.0","16818","","[{""page_index"":0,""viewing_time"":10097},{""page_index"":1,""viewing_time"":3201},{""page_index"":2,""viewing_time"":3520}]","","","","","","",""
"","","","","","survey-text","9","130058","0.0-6.0-2.0","19744","{""Q0"":""1""}","","","","","","","",""
"","","","","","instructions","10","135063","0.0-6.0-3.0","5004","","[{""page_index"":0,""viewing_time"":5004}]","","","","","","",""
"","","","","","KiN_response","11","143365","0.0-6.0-4.0","","alittle","","toy","small","none","[""alittle"",""alot""]","left","",""
"","","","","","instructions","12","151280","0.0-6.0-5.0","7913","","[{""page_index"":0,""viewing_time"":3568},{""page_index"":1,""viewing_time"":4345}]","","","","","","",""
"","","","","","KiN_response","13","169498","0.0-6.0-6.0","","If I share my toys, can I get one more toy?","","toy","small","none","[""If I share my toys, can I get one more toy?"",""Can I get one more toy?""]","left","",""
"","","","","","html-button-response","14","186141","0.0-6.0-7.0","16640","1","","","","","","","","
          <span style=""font-size: 2vw; font-weight:bold;"">If I share my toys, can I get one more toy?</span><br><br>
          <img style = 'width: 10vw;' src=""stim/more-stim/toy-agent.png""> 
            "
"","","","","","instructions","15","187734","0.0-6.0-8.0","1592","","[{""page_index"":0,""viewing_time"":1591}]","","","","","","",""
"","","","","","html-button-response","16","199426","0.0-6.0-9.0","11689","1","","","","","","","","
          <span style=""font-size: 2vw; font-weight:bold;"">Can I get one more toy?</span><br><br>
          <img style = 'width: 10vw;' src=""stim/more-stim/toy-agent.png""> 
        "
"","","","","","instructions","17","205428","0.0-6.0-10.0","6002","","[{""page_index"":0,""viewing_time"":6001}]","","","","","","",""
