"success","timeout","failed_images","failed_audio","failed_video","trial_type","trial_index","time_elapsed","internal_node_id","rt","response","view_history","scenario","ask_size","interaction_history","buttons","button_pressed","correct","stimulus"
"true","false","[]","[]","[]","preload","0","3622","0.0-0.0","","","","","","","","","",""
"","","","","","survey-text","1","1200450","0.0-1.0","1196849","{""Q0"":""p044""}","","","","","","","",""
"","","","","","instructions","2","1216020","0.0-2.0","15569","","[{""page_index"":0,""viewing_time"":15569}]","","","","","","",""
"","","","","","instructions","3","1254315","0.0-3.0-0.0","38293","","[{""page_index"":0,""viewing_time"":30201},{""page_index"":1,""viewing_time"":3434},{""page_index"":2,""viewing_time"":4658}]","","","","","","",""
"","","","","","KiN_response","4","1273604","0.0-3.0-1.0","","Can I get crayons?","","warmup","","","[""Can I get a teddy bear?"",""Can I get crayons?""]","right","true",""
"","","","","","instructions","5","1282726","0.0-3.0-2.0","9122","","[{""page_index"":0,""viewing_time"":5597},{""page_index"":1,""viewing_time"":3524}]","","","","","","",""
"","","","","","instructions","6","1289975","0.0-5.0","7248","","[{""page_index"":0,""viewing_time"":7247}]","","","","","","",""
"","","","","","instructions","7","1290890","0.0-6.0-0.0","914","","[{""page_index"":0,""viewing_time"":913}]","","","","","","",""
"","","","","","instructions","8","1319208","0.0-6.0-1.0","28317","","[{""page_index"":0,""viewing_time"":10531},{""page_index"":1,""viewing_time"":3839},{""page_index"":2,""viewing_time"":3373},{""page_index"":3,""viewing_time"":4869},{""page_index"":4,""viewing_time"":5705}]","","","","","","",""
"","","","","","survey-text","9","1327376","0.0-6.0-2.0","8153","{""Q0"":""3""}","","","","","","","",""
"","","","","","instructions","10","1333799","0.0-6.0-3.0","6422","","[{""page_index"":0,""viewing_time"":6421}]","","","","","","",""
"","","","","","KiN_response","11","1345168","0.0-6.0-4.0","","alot","","food","big","none","[""alittle"",""alot""]","right","",""
"","","","","","instructions","12","1355855","0.0-6.0-5.0","10685","","[{""page_index"":0,""viewing_time"":4301},{""page_index"":1,""viewing_time"":6383}]","","","","","","",""
"","","","","","KiN_response","13","1367938","0.0-6.0-6.0","","Can I have ten more candies?","","food","big","none","[""If I brush my teeth, can I have ten more candies?"",""Can I have ten more candies?""]","right","",""
"","","","","","html-button-response","14","1379294","0.0-6.0-7.0","11352","2","","","","","","","","
          <span style=""font-size: 2vw; font-weight:bold;"">Can I have ten more candies?</span><br><br>
          <img style = 'width: 10vw;' src=""stim/more-stim/food-agent.png""> 
            "
"","","","","","instructions","15","1381136","0.0-6.0-8.0","1841","","[{""page_index"":0,""viewing_time"":1841}]","","","","","","",""
"","","","","","html-button-response","16","1412824","0.0-6.0-9.0","31686","2","","","","","","","","
          <span style=""font-size: 2vw; font-weight:bold;"">If I brush my teeth, can I have ten more candies?</span><br><br>
          <img style = 'width: 10vw;' src=""stim/more-stim/food-agent.png""> 
        "
"","","","","","instructions","17","1419218","0.0-6.0-10.0","6395","","[{""page_index"":0,""viewing_time"":6394}]","","","","","","",""
"","","","","","instructions","18","1420099","0.0-6.0-0.1","879","","[{""page_index"":0,""viewing_time"":879}]","","","","","","",""
