"success","timeout","failed_images","failed_audio","failed_video","trial_type","trial_index","time_elapsed","internal_node_id","rt","response","view_history","scenario","ask_size","interaction_history","buttons","button_pressed","correct","stimulus"
"true","false","[]","[]","[]","preload","0","1780","0.0-0.0","","","","","","","","","",""
"","","","","","survey-text","1","486015","0.0-1.0","484264","{""Q0"":""p056""}","","","","","","","",""
"","","","","","instructions","2","614039","0.0-2.0","128030","","[{""page_index"":0,""viewing_time"":128026}]","","","","","","",""
"","","","","","instructions","3","625425","0.0-3.0-0.0","11385","","[{""page_index"":0,""viewing_time"":3907},{""page_index"":1,""viewing_time"":2987},{""page_index"":2,""viewing_time"":4491}]","","","","","","",""
"","","","","","KiN_response","4","634229","0.0-3.0-1.0","","Can I get crayons?","","warmup","","","[""Can I get crayons?"",""Can I get a teddy bear?""]","left","true",""
"","","","","","instructions","5","642097","0.0-3.0-2.0","7868","","[{""page_index"":0,""viewing_time"":4206},{""page_index"":1,""viewing_time"":3661}]","","","","","","",""
"","","","","","instructions","6","649759","0.0-5.0","7661","","[{""page_index"":0,""viewing_time"":7661}]","","","","","","",""
"","","","","","instructions","7","651552","0.0-6.0-0.0","1792","","[{""page_index"":0,""viewing_time"":1792}]","","","","","","",""
"","","","","","instructions","8","676451","0.0-6.0-1.0","24899","","[{""page_index"":0,""viewing_time"":11396},{""page_index"":1,""viewing_time"":3586},{""page_index"":2,""viewing_time"":2903},{""page_index"":3,""viewing_time"":3435},{""page_index"":4,""viewing_time"":3579}]","","","","","","",""
"","","","","","survey-text","9","697963","0.0-6.0-2.0","21492","{""Q0"":""3""}","","","","","","","",""
"","","","","","instructions","10","703098","0.0-6.0-3.0","5134","","[{""page_index"":0,""viewing_time"":5134}]","","","","","","",""
"","","","","","KiN_response","11","719209","0.0-6.0-4.0","","alot","","food","big","none","[""alot"",""alittle""]","left","",""
"","","","","","instructions","12","727029","0.0-6.0-5.0","7818","","[{""page_index"":0,""viewing_time"":3498},{""page_index"":1,""viewing_time"":4320}]","","","","","","",""
"","","","","","KiN_response","13","736663","0.0-6.0-6.0","","Can I have ten more candies?","","food","big","none","[""If I brush my teeth, can I have ten more candies?"",""Can I have ten more candies?""]","right","",""
"","","","","","html-button-response","14","745439","0.0-6.0-7.0","8772","1","","","","","","","","
          <span style=""font-size: 2vw; font-weight:bold;"">Can I have ten more candies?</span><br><br>
          <img style = 'width: 10vw;' src=""stim/more-stim/food-agent.png""> 
            "
"","","","","","instructions","15","747431","0.0-6.0-8.0","1990","","[{""page_index"":0,""viewing_time"":1990}]","","","","","","",""
"","","","","","html-button-response","16","756466","0.0-6.0-9.0","9032","2","","","","","","","","
          <span style=""font-size: 2vw; font-weight:bold;"">If I brush my teeth, can I have ten more candies?</span><br><br>
          <img style = 'width: 10vw;' src=""stim/more-stim/food-agent.png""> 
        "
"","","","","","instructions","17","765276","0.0-6.0-10.0","8809","","[{""page_index"":0,""viewing_time"":8808}]","","","","","","",""
"","","","","","instructions","18","766509","0.0-6.0-0.1","1232","","[{""page_index"":0,""viewing_time"":1231}]","","","","","","",""
"","","","","","instructions","19","786113","0.0-6.0-1.1","19603","","[{""page_index"":0,""viewing_time"":13383},{""page_index"":1,""viewing_time"":3543},{""page_index"":2,""viewing_time"":2676}]","","","","","","",""
"","","","","","survey-text","20","793383","0.0-6.0-2.1","7253","{""Q0"":""1""}","","","","","","","",""
"","","","","","instructions","21","797591","0.0-6.0-3.1","4200","","[{""page_index"":0,""viewing_time"":4200}]","","","","","","",""
"","","","","","KiN_response","22","806068","0.0-6.0-4.1","","alittle","","toy","small","failed","[""alot"",""alittle""]","right","",""
"","","","","","instructions","23","825377","0.0-6.0-5.1","19308","","[{""page_index"":0,""viewing_time"":3782},{""page_index"":1,""viewing_time"":2935},{""page_index"":2,""viewing_time"":3952},{""page_index"":3,""viewing_time"":3875},{""page_index"":4,""viewing_time"":4764}]","","","","","","",""
"","","","","","KiN_response","24","837625","0.0-6.0-6.1","","If I share my toys, can I get one more toy?","","toy","small","failed","[""If I share my toys, can I get one more toy?"",""Can I get one more toy?""]","left","",""
"","","","","","html-button-response","25","846097","0.0-6.0-7.1","8469","1","","","","","","","","
          <span style=""font-size: 2vw; font-weight:bold;"">Can I get one more toy?</span><br><br>
          <img style = 'width: 10vw;' src=""stim/more-stim/toy-agent.png""> 
            "
"","","","","","instructions","26","849148","0.0-6.0-8.1","3050","","[{""page_index"":0,""viewing_time"":3050}]","","","","","","",""
"","","","","","html-button-response","27","858888","0.0-6.0-9.1","9738","1","","","","","","","","
          <span style=""font-size: 2vw; font-weight:bold;"">If I share my toys, can I get one more toy?</span><br><br>
          <img style = 'width: 10vw;' src=""stim/more-stim/toy-agent.png""> 
        "
"","","","","","instructions","28","869457","0.0-6.0-10.1","10568","","[{""page_index"":0,""viewing_time"":10568}]","","","","","","",""
"","","","","","instructions","29","871999","0.0-6.0-0.2","2540","","[{""page_index"":0,""viewing_time"":2539}]","","","","","","",""
"","","","","","instructions","30","896248","0.0-6.0-1.2","24249","","[{""page_index"":0,""viewing_time"":10201},{""page_index"":1,""viewing_time"":3144},{""page_index"":2,""viewing_time"":3193},{""page_index"":3,""viewing_time"":4108},{""page_index"":4,""viewing_time"":3603}]","","","","","","",""
"","","","","","survey-text","31","903835","0.0-6.0-2.2","7577","{""Q0"":""2""}","","","","","","","",""
"","","","","","instructions","32","908423","0.0-6.0-3.2","4588","","[{""page_index"":0,""viewing_time"":4588}]","","","","","","",""
"","","","","","KiN_response","33","918980","0.0-6.0-4.2","","alot","","activity","big","failed","[""alittle"",""alot""]","right","",""
"","","","","","instructions","34","946061","0.0-6.0-5.2","27082","","[{""page_index"":0,""viewing_time"":7938},{""page_index"":1,""viewing_time"":4006},{""page_index"":2,""viewing_time"":3640},{""page_index"":3,""viewing_time"":5153},{""page_index"":4,""viewing_time"":6345}]","","","","","","",""
"","","","","","KiN_response","35","958429","0.0-6.0-6.2","","If I clean my room, can I play five more rounds of games?","","activity","big","failed","[""If I clean my room, can I play five more rounds of games?"",""Can I play five more rounds of games?""]","left","",""
"","","","","","html-button-response","36","969927","0.0-6.0-7.2","11496","1","","","","","","","","
          <span style=""font-size: 2vw; font-weight:bold;"">If I clean my room, can I play five more rounds of games?</span><br><br>
          <img style = 'width: 10vw;' src=""stim/more-stim/activity-agent.png""> 
            "
"","","","","","instructions","37","971485","0.0-6.0-8.2","1558","","[{""page_index"":0,""viewing_time"":1558}]","","","","","","",""
"","","","","","html-button-response","38","978931","0.0-6.0-9.2","7444","2","","","","","","","","
          <span style=""font-size: 2vw; font-weight:bold;"">Can I play five more rounds of games?</span><br><br>
          <img style = 'width: 10vw;' src=""stim/more-stim/activity-agent.png""> 
        "
"","","","","","instructions","39","985586","0.0-6.0-10.2","6654","","[{""page_index"":0,""viewing_time"":6653}]","","","","","","",""
"","","","","","instructions","40","986087","0.0-6.0-0.3","494","","[{""page_index"":0,""viewing_time"":494}]","","","","","","",""
"","","","","","instructions","41","1009022","0.0-6.0-1.3","22936","","[{""page_index"":0,""viewing_time"":12306},{""page_index"":1,""viewing_time"":7037},{""page_index"":2,""viewing_time"":3593}]","","","","","","",""
"","","","","","survey-text","42","1015220","0.0-6.0-2.3","6189","{""Q0"":""9""}","","","","","","","",""
"","","","","","instructions","43","1022599","0.0-6.0-3.3","7379","","[{""page_index"":0,""viewing_time"":7378}]","","","","","","",""
"","","","","","KiN_response","44","1034098","0.0-6.0-4.3","","alot","","bedtime","small","none","[""alittle"",""alot""]","right","",""
"","","","","","instructions","45","1046179","0.0-6.0-5.3","12080","","[{""page_index"":0,""viewing_time"":6344},{""page_index"":1,""viewing_time"":5736}]","","","","","","",""
"","","","","","KiN_response","46","1057362","0.0-6.0-6.3","","If I wake up early tomorrow, can I stay up for 10 more minutes after bedtime?","","bedtime","small","none","[""Can I stay up for 10 more minutes after bedtime?"",""If I wake up early tomorrow, can I stay up for 10 more minutes after bedtime?""]","right","",""
"","","","","","html-button-response","47","1067560","0.0-6.0-7.3","10195","2","","","","","","","","
          <span style=""font-size: 2vw; font-weight:bold;"">Can I stay up for 10 more minutes after bedtime?</span><br><br>
          <img style = 'width: 10vw;' src=""stim/more-stim/bedtime-agent.png""> 
            "
"","","","","","instructions","48","1068993","0.0-6.0-8.3","1431","","[{""page_index"":0,""viewing_time"":1431}]","","","","","","",""
"","","","","","html-button-response","49","1078622","0.0-6.0-9.3","9627","1","","","","","","","","
          <span style=""font-size: 2vw; font-weight:bold;"">If I wake up early tomorrow, can I stay up for 10 more minutes after bedtime?</span><br><br>
          <img style = 'width: 10vw;' src=""stim/more-stim/bedtime-agent.png""> 
        "
"","","","","","instructions","50","1088996","0.0-6.0-10.3","10372","","[{""page_index"":0,""viewing_time"":10372}]","","","","","","",""
