"success","timeout","failed_images","failed_audio","failed_video","trial_type","trial_index","time_elapsed","internal_node_id","rt","response","view_history","scenario","ask_size","interaction_history","buttons","button_pressed","correct","stimulus"
"true","false","[]","[]","[]","preload","0","875","0.0-0.0","","","","","","","","","",""
"","","","","","survey-text","1","973715","0.0-1.0","972908","{""Q0"":""p046""}","","","","","","","",""
"","","","","","instructions","2","1024796","0.0-2.0","51081","","[{""page_index"":0,""viewing_time"":51081}]","","","","","","",""
"","","","","","instructions","3","1039888","0.0-3.0-0.0","15092","","[{""page_index"":0,""viewing_time"":11037},{""page_index"":1,""viewing_time"":1795},{""page_index"":2,""viewing_time"":2260}]","","","","","","",""
"","","","","","KiN_response","4","1048665","0.0-3.0-1.0","","Can I get crayons?","","warmup","","","[""Can I get crayons?"",""Can I get a teddy bear?""]","left","true",""
"","","","","","instructions","5","1057231","0.0-3.0-2.0","8566","","[{""page_index"":0,""viewing_time"":4786},{""page_index"":1,""viewing_time"":3780}]","","","","","","",""
"","","","","","instructions","6","1064748","0.0-5.0","7516","","[{""page_index"":0,""viewing_time"":7516}]","","","","","","",""
"","","","","","instructions","7","1068774","0.0-6.0-0.0","4026","","[{""page_index"":0,""viewing_time"":4026}]","","","","","","",""
"","","","","","instructions","8","1088251","0.0-6.0-1.0","19478","","[{""page_index"":0,""viewing_time"":10060},{""page_index"":1,""viewing_time"":5855},{""page_index"":2,""viewing_time"":3563}]","","","","","","",""
"","","","","","survey-text","9","1093616","0.0-6.0-2.0","5356","{""Q0"":""9""}","","","","","","","",""
"","","","","","instructions","10","1100522","0.0-6.0-3.0","6907","","[{""page_index"":0,""viewing_time"":6907}]","","","","","","",""
"","","","","","KiN_response","11","1119416","0.0-6.0-4.0","","alot","","bedtime","small","none","[""alot"",""alittle""]","left","",""
"","","","","","instructions","12","1129030","0.0-6.0-5.0","9614","","[{""page_index"":0,""viewing_time"":4702},{""page_index"":1,""viewing_time"":4912}]","","","","","","",""
"","","","","","KiN_response","13","1143163","0.0-6.0-6.0","","If I wake up early tomorrow, can I stay up for 10 more minutes after bedtime?","","bedtime","small","none","[""If I wake up early tomorrow, can I stay up for 10 more minutes after bedtime?"",""Can I stay up for 10 more minutes after bedtime?""]","left","",""
"","","","","","html-button-response","14","1155787","0.0-6.0-7.0","12612","1","","","","","","","","
          <span style=""font-size: 2vw; font-weight:bold;"">If I wake up early tomorrow, can I stay up for 10 more minutes after bedtime?</span><br><br>
          <img style = 'width: 10vw;' src=""stim/more-stim/bedtime-agent.png""> 
            "
"","","","","","instructions","15","1160266","0.0-6.0-8.0","4478","","[{""page_index"":0,""viewing_time"":4477}]","","","","","","",""
"","","","","","html-button-response","16","1172789","0.0-6.0-9.0","12520","1","","","","","","","","
          <span style=""font-size: 2vw; font-weight:bold;"">Can I stay up for 10 more minutes after bedtime?</span><br><br>
          <img style = 'width: 10vw;' src=""stim/more-stim/bedtime-agent.png""> 
        "
"","","","","","instructions","17","1178568","0.0-6.0-10.0","5778","","[{""page_index"":0,""viewing_time"":5778}]","","","","","","",""
"","","","","","instructions","18","1183539","0.0-6.0-0.1","4970","","[{""page_index"":0,""viewing_time"":4970}]","","","","","","",""
"","","","","","instructions","19","1204442","0.0-6.0-1.1","20904","","[{""page_index"":0,""viewing_time"":6841},{""page_index"":1,""viewing_time"":3291},{""page_index"":2,""viewing_time"":3132},{""page_index"":3,""viewing_time"":3444},{""page_index"":4,""viewing_time"":4196}]","","","","","","",""
"","","","","","survey-text","20","1214332","0.0-6.0-2.1","9875","{""Q0"":""3""}","","","","","","","",""
"","","","","","instructions","21","1219274","0.0-6.0-3.1","4941","","[{""page_index"":0,""viewing_time"":4941}]","","","","","","",""
"","","","","","KiN_response","22","1229354","0.0-6.0-4.1","","alot","","food","big","none","[""alittle"",""alot""]","right","",""
"","","","","","instructions","23","1241104","0.0-6.0-5.1","11749","","[{""page_index"":0,""viewing_time"":4326},{""page_index"":1,""viewing_time"":7423}]","","","","","","",""
"","","","","","KiN_response","24","1255328","0.0-6.0-6.1","","If I brush my teeth, can I have ten more candies?","","food","big","none","[""Can I have ten more candies?"",""If I brush my teeth, can I have ten more candies?""]","right","",""
