"success","timeout","failed_images","failed_audio","failed_video","trial_type","trial_index","time_elapsed","internal_node_id","rt","response","view_history","scenario","ask_size","interaction_history","buttons","button_pressed","correct","stimulus"
"true","false","[]","[]","[]","preload","0","12","0.0-0.0","","","","","","","","","",""
"","","","","","survey-text","1","9373","0.0-1.0","9359","{""Q0"":""p091""}","","","","","","","",""
"","","","","","instructions","2","17061","0.0-2.0","7687","","[{""page_index"":0,""viewing_time"":7687}]","","","","","","",""
"","","","","","instructions","3","24656","0.0-3.0-0.0","7593","","[{""page_index"":0,""viewing_time"":2805},{""page_index"":1,""viewing_time"":1946},{""page_index"":2,""viewing_time"":2842}]","","","","","","",""
"","","","","","KiN_response","4","31537","0.0-3.0-1.0","","Can I get crayons?","","warmup","","","[""Can I get a teddy bear?"",""Can I get crayons?""]","right","true",""
"","","","","","instructions","5","38357","0.0-3.0-2.0","6819","","[{""page_index"":0,""viewing_time"":4710},{""page_index"":1,""viewing_time"":2109}]","","","","","","",""
"","","","","","instructions","6","43569","0.0-5.0","5211","","[{""page_index"":0,""viewing_time"":5211}]","","","","","","",""
"","","","","","instructions","7","47254","0.0-6.0-0.0","3684","","[{""page_index"":0,""viewing_time"":3684}]","","","","","","",""
"","","","","","instructions","8","56960","0.0-6.0-1.0","9705","","[{""page_index"":0,""viewing_time"":5178},{""page_index"":1,""viewing_time"":2593},{""page_index"":2,""viewing_time"":1934}]","","","","","","",""
"","","","","","survey-text","9","62521","0.0-6.0-2.0","5548","{""Q0"":""1""}","","","","","","","",""
"","","","","","instructions","10","66273","0.0-6.0-3.0","3752","","[{""page_index"":0,""viewing_time"":3752}]","","","","","","",""
"","","","","","KiN_response","11","72012","0.0-6.0-4.0","","alot","","toy","big","failed","[""alittle"",""alot""]","right","",""
"","","","","","instructions","12","87863","0.0-6.0-5.0","15849","","[{""page_index"":0,""viewing_time"":4817},{""page_index"":1,""viewing_time"":1890},{""page_index"":2,""viewing_time"":3287},{""page_index"":3,""viewing_time"":2358},{""page_index"":4,""viewing_time"":3497}]","","","","","","",""
"","","","","","KiN_response","13","96447","0.0-6.0-6.0","","If I share my toys, can I get five more toys?","","toy","big","failed","[""Can I get five more toys?"",""If I share my toys, can I get five more toys?""]","right","",""
