"success","timeout","failed_images","failed_audio","failed_video","trial_type","trial_index","time_elapsed","internal_node_id","rt","response","view_history","scenario","ask_size","interaction_history","buttons","button_pressed","correct","stimulus"
"true","false","[]","[]","[]","preload","0","2738","0.0-0.0","","","","","","","","","",""
"","","","","","survey-text","1","7450","0.0-1.0","4706","{""Q0"":""p070""}","","","","","","","",""
"","","","","","instructions","2","36823","0.0-2.0","29374","","[{""page_index"":0,""viewing_time"":29369}]","","","","","","",""
"","","","","","instructions","3","46476","0.0-3.0-0.0","9651","","[{""page_index"":0,""viewing_time"":3366},{""page_index"":1,""viewing_time"":2768},{""page_index"":2,""viewing_time"":3517}]","","","","","","",""
"","","","","","KiN_response","4","56293","0.0-3.0-1.0","","Can I get crayons?","","warmup","","","[""Can I get a teddy bear?"",""Can I get crayons?""]","right","true",""
"","","","","","instructions","5","62346","0.0-3.0-2.0","6052","","[{""page_index"":0,""viewing_time"":4350},{""page_index"":1,""viewing_time"":1702}]","","","","","","",""
"","","","","","instructions","6","69433","0.0-5.0","7086","","[{""page_index"":0,""viewing_time"":7086}]","","","","","","",""
"","","","","","instructions","7","73126","0.0-6.0-0.0","3693","","[{""page_index"":0,""viewing_time"":3692}]","","","","","","",""
"","","","","","instructions","8","90479","0.0-6.0-1.0","17352","","[{""page_index"":0,""viewing_time"":8714},{""page_index"":1,""viewing_time"":5610},{""page_index"":2,""viewing_time"":3027}]","","","","","","",""
"","","","","","survey-text","9","100228","0.0-6.0-2.0","9736","{""Q0"":""9""}","","","","","","","",""
"","","","","","instructions","10","105728","0.0-6.0-3.0","5500","","[{""page_index"":0,""viewing_time"":5500}]","","","","","","",""
"","","","","","KiN_response","11","121784","0.0-6.0-4.0","","alot","","bedtime","small","none","[""alot"",""alittle""]","left","",""
"","","","","","instructions","12","129492","0.0-6.0-5.0","7708","","[{""page_index"":0,""viewing_time"":3330},{""page_index"":1,""viewing_time"":4377}]","","","","","","",""
"","","","","","KiN_response","13","142249","0.0-6.0-6.0","","Can I stay up for 10 more minutes after bedtime?","","bedtime","small","none","[""If I wake up early tomorrow, can I stay up for 10 more minutes after bedtime?"",""Can I stay up for 10 more minutes after bedtime?""]","right","",""
